frame_no,status,type,slave,func,start_reg,count,byte_count,crc_ok,start_sample,end_sample,start_us,end_us,duration_us,gap_from_previous_us,raw_hex,summary,decoded,error
1,ok,request,2,97,,,,true,106410546,110868833,532052.730,554344.165,22291.435,,7E 32 30 30 32 34 36 36 31 30 30 30 30 46 44 41 42 0D,Pylon req addr=0x02 cid2=0x61 analog/telemetry chk=OK len=0 empty,request analog/telemetry empty payload,
2,ok,request,18,97,,,,true,282340564,286798852,1411702.820,1433994.260,22291.440,857358.655,7E 32 30 31 32 34 36 36 31 30 30 30 30 46 44 41 41 0D,Pylon req addr=0x12 cid2=0x61 analog/telemetry chk=OK len=0 empty,request analog/telemetry empty payload,
3,ok,response,18,0,,,,true,288642669,312809192,1443213.345,1564045.960,120832.615,9219.085,7E 32 30 31 32 34 36 30 30 38 30 36 32 44 38 41 45 30 30 30 30 34 36 30 30 30 30 30 30 30 30 36 34 36 34 30 44 38 46 30 30 30 31 30 44 38 35 30 30 30 31 30 42 41 45 30 42 42 32 30 30 30 31 30 42 41 42 30 30 30 31 30 42 42 31 30 42 42 31 30 30 30 31 30 42 42 31 30 30 30 31 30 42 41 45 30 42 42 32 30 30 30 31 30 42 41 42 30 30 30 31 45 38 46 31 0D,Pylon rsp addr=0x12 OK cid2=0x61 chk=OK analog/telemetry len=98,0x61 V=55.470V I=0.0A SOC=70% SOH=100% cycles=0 cell_max=3.471V#1 cell_min=3.461V#1 MOS=25.9C T1=26.3C T2=25.6C T4=26.2C T5=26.2C,
4,ok,request,18,99,,,,true,442408886,446867175,2212044.430,2234335.875,22291.445,647998.470,7E 32 30 31 32 34 36 36 33 30 30 30 30 46 44 41 38 0D,Pylon req addr=0x12 cid2=0x63 charge/discharge status chk=OK len=0 empty,request charge/discharge status empty payload,
5,ok,response,18,0,,,,true,448827846,456327806,2244139.230,2281639.030,37499.800,9803.355,7E 32 30 31 32 34 36 30 30 44 30 31 32 45 31 30 30 43 38 30 30 30 37 30 38 46 38 46 38 43 30 46 39 41 42 0D,Pylon rsp addr=0x12 OK cid2=0x63 chk=OK charge/discharge status len=18,"0x63 status=0xC0 (charge=ON, discharge=ON, balance=OFF)",
6,ok,request,18,97,,,,true,602398400,606856688,3011992.000,3034283.440,22291.440,730352.970,7E 32 30 31 32 34 36 36 31 30 30 30 30 46 44 41 41 0D,Pylon req addr=0x12 cid2=0x61 analog/telemetry chk=OK len=0 empty,request analog/telemetry empty payload,
7,ok,response,18,0,,,,true,608841157,633007680,3044205.785,3165038.400,120832.615,9922.345,7E 32 30 31 32 34 36 30 30 38 30 36 32 44 38 41 45 30 30 30 30 34 36 30 30 30 30 30 30 30 30 36 34 36 34 30 44 38 46 30 30 30 31 30 44 38 35 30 30 30 31 30 42 41 45 30 42 42 32 30 30 30 31 30 42 41 42 30 30 30 31 30 42 42 31 30 42 42 31 30 30 30 31 30 42 42 31 30 30 30 31 30 42 41 45 30 42 42 32 30 30 30 31 30 42 41 42 30 30 30 31 45 38 46 31 0D,Pylon rsp addr=0x12 OK cid2=0x61 chk=OK analog/telemetry len=98,0x61 V=55.470V I=0.0A SOC=70% SOH=100% cycles=0 cell_max=3.471V#1 cell_min=3.461V#1 MOS=25.9C T1=26.3C T2=25.6C T4=26.2C T5=26.2C,
8,ok,request,34,97,,,,true,762384711,766842999,3811923.555,3834214.995,22291.440,646885.155,7E 32 30 32 32 34 36 36 31 30 30 30 30 46 44 41 39 0D,Pylon req addr=0x22 cid2=0x61 analog/telemetry chk=OK len=0 empty,request analog/telemetry empty payload,
9,ok,request,18,99,,,,true,938402443,942860731,4692012.215,4714303.655,22291.440,857797.220,7E 32 30 31 32 34 36 36 33 30 30 30 30 46 44 41 38 0D,Pylon req addr=0x12 cid2=0x63 charge/discharge status chk=OK len=0 empty,request charge/discharge status empty payload,
10,ok,response,18,0,,,,true,944824676,952324637,4724123.380,4761623.185,37499.805,9819.725,7E 32 30 31 32 34 36 30 30 44 30 31 32 45 31 30 30 43 38 30 30 30 37 30 38 46 38 46 38 43 30 46 39 41 42 0D,Pylon rsp addr=0x12 OK cid2=0x63 chk=OK charge/discharge status len=18,"0x63 status=0xC0 (charge=ON, discharge=ON, balance=OFF)",
