target,kind,capture,duration_s,runtime_s,frames,requests,responses,sequence_rows,complete_sequences,incomplete_orphan_rows,can_cycles,unique_can_ids,bad_or_invalid_frames,decode_errors,request_to_response_avg_us,request_to_response_p95_us,full_exchange_avg_us,full_exchange_p95_us,cycle_duration_avg_us,cycle_duration_p95_us,inter_cycle_gap_avg_us,inter_cycle_gap_p95_us
china_tower_modbus,modbus,examples/bridge/china-tower-modbus-rs485-raw-capture.sr,10.000002,10.625,79,40,39,40,39,1,0,0,0,3,5015.035,5337.927,42238.361,53525.724,,,,
daly_rs485,modbus,examples/bridge/easun-daly-rs485-raw-capture.sr,25.000004,45.171,88,44,44,44,44,0,0,0,0,0,14458.976,18060.297,294045.479,297646.802,,,,
growatt_rs485,modbus,examples/bridge/growatt-rs485-raw-capture.sr,10.000007,9.265,50,25,25,25,25,0,0,0,0,0,4759.997,5294.317,49094.793,53520.070,,,,
growatt_seplos_rs485,modbus,examples/bridge/growatt-seplos-rs485-raw-capture.sr,10.000005,8.859,49,25,16,25,24,1,0,0,0,0,49517.093,49863.536,86044.643,97806.109,,,,
direct_growatt_rs485,modbus,examples/direct/growatt-rs485-raw-capture.sr,25.000003,23.406,100,50,50,50,50,0,0,0,0,0,5126.758,5438.647,59337.414,75000.908,,,,
forward_growatt_rs485,modbus,examples/bridge_forward/growatt-rs485-raw-capture.sr,10.000001,9.829,50,25,25,25,25,0,0,0,0,0,5008.099,5293.782,48926.211,53484.774,,,,
forward_growatt_seplos_rs485,modbus,examples/bridge_forward/growatt-seplos-rs485-raw-capture.sr,10.000000,9.344,49,25,16,25,24,1,0,0,0,0,49604.182,50490.317,86131.735,97846.399,,,,
jkbms_modbus,modbus,examples/bridge/jkbms-modbus-rs485-raw-capture.sr,10.000001,7.953,78,39,39,39,39,0,0,0,0,1,4903.504,5191.553,9281.989,13115.590,,,,
pace_modbus,modbus,examples/bridge/pace-modbus-rs485-raw-capture.sr,10.000004,11.969,79,40,39,40,39,1,0,0,0,4,4987.736,5260.878,56207.464,66064.784,,,,
pylon_rs485,pylon_rs485,examples/bridge/pylon-rs485-raw-capture.sr,50.000005,36.813,49,23,18,23,18,5,0,0,0,2,4817.499,5537.460,88917.290,148667.742,,,,
anenji_pylon_rs485,pylon_rs485,examples/bridge/anenji-pylon-rs485-raw-capture.sr,10.000003,8.891,20,12,8,12,8,4,0,0,0,0,9706.670,9912.793,111164.319,153034.215,,,,
direct_anenji_jkbms_pylon_rs485,pylon_rs485,examples/direct/anenji-jkbms-pylon-rs485-raw-capture.sr,25.000008,24.906,61,31,30,41,20,21,0,0,0,0,5124.941,5692.958,102917.894,145154.533,,,,
direct_anenji_seplos_pylon_rs485,pylon_rs485,examples/direct/anenji-seplos-pylon-rs485-raw-capture.sr,25.000002,21.328,50,30,20,30,20,10,0,0,0,0,9887.208,12043.433,107676.065,151498.699,,,,
forward_anenji_pylon_rs485,pylon_rs485,examples/bridge_forward/anenji-pylon-rs485-raw-capture.sr,10.000004,9.766,24,12,12,16,8,8,0,0,0,0,5488.619,6190.079,106950.364,149320.428,,,,
forward_anenji_seplos_pylon_rs485,pylon_rs485,examples/bridge_forward/anenji-seplos-pylon-rs485-raw-capture.sr,10.000006,8.625,20,12,8,12,8,4,0,0,0,0,9469.731,9877.579,110927.388,153001.644,,,,
voltronic_modbus,modbus,examples/bridge/voltronic-modbus-rs485-raw-capture.sr,10.000004,8.875,78,39,39,39,39,0,0,0,0,0,99796.750,101837.191,117921.656,119962.102,,,,
wow_modbus,modbus,examples/bridge/wow-modbus-rs485-raw-capture.sr,10.000003,12.156,78,39,39,39,39,0,0,0,0,0,4799.126,5093.604,56499.652,65808.754,,,,
deye_can,can,examples/bridge/deye-can-raw-capture.sr,10.000004,7.937,100,0,0,0,0,0,9,8,0,0,,,,,1011013.334,1599871.234,100194.479,100202.133
goodwe_can,can,examples/bridge/goodwe-can-raw-capture.sr,10.000002,7.640,100,0,0,0,0,0,4,8,0,0,,,,,2399973.046,6275024.243,100265.227,100269.021
growatt_can,can,examples/bridge/growatt-can-raw-capture.sr,10.000004,12.922,519,0,0,0,0,0,1,10,0,0,,,,,9980699.265,9980699.265,,
growatt_seplos_can,can,examples/bridge/growatt-seplos-can-raw-capture.sr,10.000002,8.093,130,0,0,0,0,0,10,12,0,0,,,,,851373.724,1221318.481,155493.468,165776.235
direct_growatt_can,can,examples/direct/growatt-can-raw-capture.sr,5.000001,6.500,260,0,0,0,0,0,1,10,0,0,,,,,4980232.085,4980232.085,,
direct_growatt_seplos_can,can,examples/direct/growatt-seplos-can-raw-capture.sr,5.000000,4.125,65,0,0,0,0,0,6,12,0,0,,,,,687125.942,831768.787,168228.483,168229.680
forward_growatt_can,can,examples/bridge_forward/growatt-can-raw-capture.sr,10.000003,13.250,520,0,0,0,0,0,1,10,0,0,,,,,9980680.500,9980680.500,,
forward_growatt_seplos_can,can,examples/bridge_forward/growatt-seplos-can-raw-capture.sr,10.000005,7.969,129,0,0,0,0,0,11,12,0,0,,,,,755942.000,861952.157,160226.810,165777.835
jkbms_can,can,examples/bridge/jkbms-can-raw-capture.sr,10.000004,8.344,344,0,0,0,0,0,1,12,0,0,,,,,9907992.715,9907992.715,,
pylon_can,can,examples/bridge/pylon-can-raw-capture.sr,10.000006,7.687,100,0,0,0,0,0,5,8,0,0,,,,,1900011.264,2299945.203,100172.068,100176.970
sma_can,can,examples/bridge/sma-can-raw-capture.sr,10.000007,7.297,60,0,0,0,0,0,60,6,0,0,,,,,230.733,237.400,166404.548,168235.921
sofar_can,can,examples/bridge/sofar-can-raw-capture.sr,25.000002,17.688,148,0,0,0,0,0,148,6,0,0,,,,,228.765,237.400,168953.744,377763.690
victron_can,can,examples/bridge/victron-can-raw-capture.sr,10.000001,9.625,250,0,0,0,0,0,1,19,0,0,,,,,9960725.835,9960725.835,,
