frame_no,status,type,slave,func,start_reg,count,byte_count,crc_ok,start_sample,end_sample,start_us,end_us,duration_us,gap_from_previous_us,raw_hex,summary,decoded,error
1,ok,request,66,97,,,,true,99347372,103805660,496736.860,519028.300,22291.440,,7E 32 30 34 32 34 36 36 31 30 30 30 30 46 44 41 37 0D,Pylon req addr=0x42 cid2=0x61 analog/telemetry chk=OK len=0 empty,request analog/telemetry empty payload,
2,ok,response,2,0,,,,true,104793819,128961598,523969.095,644807.990,120838.895,4940.795,7E 32 30 30 32 34 36 30 30 38 30 36 32 44 45 46 36 30 30 30 30 35 36 30 30 30 30 30 30 30 30 36 34 36 34 30 44 46 33 30 30 30 31 30 44 45 45 30 30 30 32 30 42 45 36 30 42 45 38 30 30 30 34 30 42 45 34 30 30 30 32 30 42 44 33 30 42 44 33 30 30 30 30 30 42 44 33 30 30 30 30 30 42 44 33 30 42 44 33 30 30 30 30 30 42 44 33 30 30 30 30 45 38 45 44 0D,Pylon rsp addr=0x02 OK cid2=0x61 chk=OK analog/telemetry len=98,0x61 V=57.078V I=0.0A SOC=86% SOH=100% cycles=0 cell_max=3.571V#1 cell_min=3.566V#2 MOS=31.5C T1=31.7C T2=31.3C T4=29.6C T5=29.6C,
3,ok,request,2,99,,,,true,267303554,271761842,1336517.770,1358809.210,22291.440,691709.780,7E 32 30 30 32 34 36 36 33 30 30 30 30 46 44 41 39 0D,Pylon req addr=0x02 cid2=0x63 charge/discharge status chk=OK len=0 empty,request charge/discharge status empty payload,
4,ok,response,2,0,,,,true,272801636,280301975,1364008.180,1401509.875,37501.695,5198.970,7E 32 30 30 32 34 36 30 30 44 30 31 32 45 31 30 30 41 32 38 30 30 31 37 43 30 37 36 43 43 30 46 39 42 43 0D,Pylon rsp addr=0x02 OK cid2=0x63 chk=OK charge/discharge status len=18,"0x63 status=0xC0 (charge=ON, discharge=ON, balance=OFF)",
5,ok,request,2,97,,,,true,427293660,431751948,2136468.300,2158759.740,22291.440,734958.425,7E 32 30 30 32 34 36 36 31 30 30 30 30 46 44 41 42 0D,Pylon req addr=0x02 cid2=0x61 analog/telemetry chk=OK len=0 empty,request analog/telemetry empty payload,
6,ok,response,2,0,,,,true,432809081,456976863,2164045.405,2284884.315,120838.910,5285.665,7E 32 30 30 32 34 36 30 30 38 30 36 32 44 45 46 36 30 30 30 30 35 36 30 30 30 30 30 30 30 30 36 34 36 34 30 44 46 33 30 30 30 31 30 44 45 45 30 30 30 32 30 42 45 36 30 42 45 38 30 30 30 34 30 42 45 34 30 30 30 32 30 42 44 33 30 42 44 33 30 30 30 30 30 42 44 33 30 30 30 30 30 42 44 33 30 42 44 33 30 30 30 30 30 42 44 33 30 30 30 30 45 38 45 44 0D,Pylon rsp addr=0x02 OK cid2=0x61 chk=OK analog/telemetry len=98,0x61 V=57.078V I=0.0A SOC=86% SOH=100% cycles=0 cell_max=3.571V#1 cell_min=3.566V#2 MOS=31.5C T1=31.7C T2=31.3C T4=29.6C T5=29.6C,
7,ok,request,18,97,,,,true,587304195,591762484,2936520.975,2958812.420,22291.445,651636.660,7E 32 30 31 32 34 36 36 31 30 30 30 30 46 44 41 41 0D,Pylon req addr=0x12 cid2=0x61 analog/telemetry chk=OK len=0 empty,request analog/telemetry empty payload,
8,ok,response,2,0,,,,true,592816528,616984309,2964082.640,3084921.545,120838.905,5270.220,7E 32 30 30 32 34 36 30 30 38 30 36 32 44 45 46 35 30 30 30 30 35 36 30 30 30 30 30 30 30 30 36 34 36 34 30 44 46 32 30 30 30 31 30 44 45 46 30 30 30 32 30 42 45 36 30 42 45 38 30 30 30 34 30 42 45 34 30 30 30 32 30 42 44 33 30 42 44 33 30 30 30 30 30 42 44 33 30 30 30 30 30 42 44 33 30 42 44 33 30 30 30 30 30 42 44 33 30 30 30 30 45 38 45 45 0D,Pylon rsp addr=0x02 OK cid2=0x61 chk=OK analog/telemetry len=98,0x61 V=57.077V I=0.0A SOC=86% SOH=100% cycles=0 cell_max=3.570V#1 cell_min=3.567V#2 MOS=31.5C T1=31.7C T2=31.3C T4=29.6C T5=29.6C,
9,ok,request,2,99,,,,true,755256387,759714675,3776281.935,3798573.375,22291.440,691360.390,7E 32 30 30 32 34 36 36 33 30 30 30 30 46 44 41 39 0D,Pylon req addr=0x02 cid2=0x63 charge/discharge status chk=OK len=0 empty,request charge/discharge status empty payload,
10,ok,response,2,0,,,,true,760824345,768324684,3804121.725,3841623.420,37501.695,5548.350,7E 32 30 30 32 34 36 30 30 44 30 31 32 45 31 30 30 41 32 38 30 30 31 37 43 30 37 36 43 43 30 46 39 42 43 0D,Pylon rsp addr=0x02 OK cid2=0x63 chk=OK charge/discharge status len=18,"0x63 status=0xC0 (charge=ON, discharge=ON, balance=OFF)",
