sequence_no,complete,status,request_frame_no,response_frame_no,slave,func,start_reg,count,request_start_us,request_end_us,response_start_us,response_end_us,request_to_response_us,full_exchange_us,request_summary,response_summary
1,false,orphan_response,,2,2,0,,,,,523969.095,644807.990,,,,Pylon rsp addr=0x02 OK cid2=0x61 chk=OK analog/telemetry len=98
2,true,complete,3,4,2,99,,,1336517.770,1358809.210,1364008.180,1401509.875,5198.970,64992.105,Pylon req addr=0x02 cid2=0x63 charge/discharge status chk=OK len=0 empty,Pylon rsp addr=0x02 OK cid2=0x63 chk=OK charge/discharge status len=18
3,true,complete,5,6,2,97,,,2136468.300,2158759.740,2164045.405,2284884.315,5285.665,148416.015,Pylon req addr=0x02 cid2=0x61 analog/telemetry chk=OK len=0 empty,Pylon rsp addr=0x02 OK cid2=0x61 chk=OK analog/telemetry len=98
4,false,orphan_response,,8,2,0,,,,,2964082.640,3084921.545,,,,Pylon rsp addr=0x02 OK cid2=0x61 chk=OK analog/telemetry len=98
5,true,complete,9,10,2,99,,,3776281.935,3798573.375,3804121.725,3841623.420,5548.350,65341.485,Pylon req addr=0x02 cid2=0x63 charge/discharge status chk=OK len=0 empty,Pylon rsp addr=0x02 OK cid2=0x63 chk=OK charge/discharge status len=18
6,true,complete,11,12,2,97,,,4576509.695,4598801.140,4604158.950,4724997.865,5357.810,148488.170,Pylon req addr=0x02 cid2=0x61 analog/telemetry chk=OK len=0 empty,Pylon rsp addr=0x02 OK cid2=0x61 chk=OK analog/telemetry len=98
7,false,orphan_response,,14,2,0,,,,,5404196.185,5525035.080,,,,Pylon rsp addr=0x02 OK cid2=0x61 chk=OK analog/telemetry len=98
8,true,complete,15,16,2,99,,,6216337.690,6238629.135,6243714.420,6281216.115,5085.285,64878.425,Pylon req addr=0x02 cid2=0x63 charge/discharge status chk=OK len=0 empty,Pylon rsp addr=0x02 OK cid2=0x63 chk=OK charge/discharge status len=18
9,true,complete,17,18,2,97,,,7016556.415,7038847.855,7045210.050,7166048.955,6362.195,149492.540,Pylon req addr=0x02 cid2=0x61 analog/telemetry chk=OK len=0 empty,Pylon rsp addr=0x02 OK cid2=0x61 chk=OK analog/telemetry len=98
10,false,orphan_response,,20,2,0,,,,,7844309.735,7965148.635,,,,Pylon rsp addr=0x02 OK cid2=0x61 chk=OK analog/telemetry len=98
11,true,complete,21,22,2,99,,,8655815.420,8678106.860,8683307.105,8720808.805,5200.245,64993.385,Pylon req addr=0x02 cid2=0x63 charge/discharge status chk=OK len=0 empty,Pylon rsp addr=0x02 OK cid2=0x63 chk=OK charge/discharge status len=18
12,true,complete,23,24,2,97,,,9456640.855,9478932.300,9484802.735,9605641.645,5870.435,149000.790,Pylon req addr=0x02 cid2=0x61 analog/telemetry chk=OK len=0 empty,Pylon rsp addr=0x02 OK cid2=0x61 chk=OK analog/telemetry len=98
13,false,unmatched_request,1,,66,97,,,496736.860,519028.300,,,,,Pylon req addr=0x42 cid2=0x61 analog/telemetry chk=OK len=0 empty,
14,false,unmatched_request,7,,18,97,,,2936520.975,2958812.420,,,,,Pylon req addr=0x12 cid2=0x61 analog/telemetry chk=OK len=0 empty,
15,false,unmatched_request,13,,34,97,,,5376447.325,5398738.760,,,,,Pylon req addr=0x22 cid2=0x61 analog/telemetry chk=OK len=0 empty,
16,false,unmatched_request,19,,50,97,,,7816526.855,7838818.295,,,,,Pylon req addr=0x32 cid2=0x61 analog/telemetry chk=OK len=0 empty,
