frame_no,status,type,slave,func,start_reg,count,byte_count,crc_ok,start_sample,end_sample,start_us,end_us,duration_us,gap_from_previous_us,raw_hex,summary,decoded,error
1,ok,request,18,99,,,,true,83448483,87906771,417242.415,439533.855,22291.440,,7E 32 30 31 32 34 36 36 33 30 30 30 30 46 44 41 38 0D,Pylon req addr=0x12 cid2=0x63 charge/discharge status chk=OK len=0 empty,request charge/discharge status empty payload,
2,ok,response,18,0,,,,true,89788850,97288811,448944.250,486444.055,37499.805,9410.395,7E 32 30 31 32 34 36 30 30 44 30 31 32 45 31 30 30 43 38 30 30 30 37 30 38 46 38 46 38 43 30 46 39 41 42 0D,Pylon rsp addr=0x12 OK cid2=0x63 chk=OK charge/discharge status len=18,"0x63 status=0xC0 (charge=ON, discharge=ON, balance=OFF)",
3,ok,request,18,97,,,,true,243407201,247865489,1217036.005,1239327.445,22291.440,730591.950,7E 32 30 31 32 34 36 36 31 30 30 30 30 46 44 41 41 0D,Pylon req addr=0x12 cid2=0x61 analog/telemetry chk=OK len=0 empty,request analog/telemetry empty payload,
4,ok,response,18,0,,,,true,249803442,273969967,1249017.210,1369849.835,120832.625,9689.765,7E 32 30 31 32 34 36 30 30 38 30 36 32 44 38 42 38 30 30 30 30 34 36 30 30 30 30 30 30 30 30 36 34 36 34 30 44 38 46 30 30 30 31 30 44 38 35 30 30 30 31 30 42 41 45 30 42 42 34 30 30 30 31 30 42 41 43 30 30 30 31 30 42 42 30 30 42 42 30 30 30 30 31 30 42 42 30 30 30 30 31 30 42 41 45 30 42 42 34 30 30 30 31 30 42 41 43 30 30 30 31 45 38 46 41 0D,Pylon rsp addr=0x12 OK cid2=0x61 chk=OK analog/telemetry len=98,0x61 V=55.480V I=0.0A SOC=70% SOH=100% cycles=0 cell_max=3.471V#1 cell_min=3.461V#1 MOS=25.9C T1=26.5C T2=25.7C T4=26.1C T5=26.1C,
5,ok,request,66,97,,,,true,403500641,407958930,2017503.205,2039794.650,22291.445,647653.370,7E 32 30 34 32 34 36 36 31 30 30 30 30 46 44 41 37 0D,Pylon req addr=0x42 cid2=0x61 analog/telemetry chk=OK len=0 empty,request analog/telemetry empty payload,
6,ok,request,18,99,,,,true,579392209,583850498,2896961.045,2919252.490,22291.445,857166.395,7E 32 30 31 32 34 36 36 33 30 30 30 30 46 44 41 38 0D,Pylon req addr=0x12 cid2=0x63 charge/discharge status chk=OK len=0 empty,request charge/discharge status empty payload,
7,ok,response,18,0,,,,true,585785723,593285685,2928928.615,2966428.425,37499.810,9676.125,7E 32 30 31 32 34 36 30 30 44 30 31 32 45 31 30 30 43 38 30 30 30 37 30 38 46 38 46 38 43 30 46 39 41 42 0D,Pylon rsp addr=0x12 OK cid2=0x63 chk=OK charge/discharge status len=18,"0x63 status=0xC0 (charge=ON, discharge=ON, balance=OFF)",
8,ok,request,2,97,,,,true,739460030,743918318,3697300.150,3719591.590,22291.440,730871.725,7E 32 30 30 32 34 36 36 31 30 30 30 30 46 44 41 42 0D,Pylon req addr=0x02 cid2=0x61 analog/telemetry chk=OK len=0 empty,request analog/telemetry empty payload,
9,ok,request,18,97,,,,true,915544407,920002695,4577722.035,4600013.475,22291.440,858130.445,7E 32 30 31 32 34 36 36 31 30 30 30 30 46 44 41 41 0D,Pylon req addr=0x12 cid2=0x61 analog/telemetry chk=OK len=0 empty,request analog/telemetry empty payload,
10,ok,response,18,0,,,,true,921998437,946164962,4609992.185,4730824.810,120832.625,9978.710,7E 32 30 31 32 34 36 30 30 38 30 36 32 44 38 42 38 30 30 30 30 34 36 30 30 30 30 30 30 30 30 36 34 36 34 30 44 38 46 30 30 30 31 30 44 38 35 30 30 30 31 30 42 41 45 30 42 42 34 30 30 30 31 30 42 41 43 30 30 30 31 30 42 42 31 30 42 42 31 30 30 30 31 30 42 42 31 30 30 30 31 30 42 41 45 30 42 42 34 30 30 30 31 30 42 41 43 30 30 30 31 45 38 46 37 0D,Pylon rsp addr=0x12 OK cid2=0x61 chk=OK analog/telemetry len=98,0x61 V=55.480V I=0.0A SOC=70% SOH=100% cycles=0 cell_max=3.471V#1 cell_min=3.461V#1 MOS=25.9C T1=26.5C T2=25.7C T4=26.2C T5=26.2C,
11,ok,request,18,99,,,,true,1075496068,1079954356,5377480.340,5399771.780,22291.440,646655.530,7E 32 30 31 32 34 36 36 33 30 30 30 30 46 44 41 38 0D,Pylon req addr=0x12 cid2=0x63 charge/discharge status chk=OK len=0 empty,request charge/discharge status empty payload,
12,ok,response,18,0,,,,true,1081782596,1089282558,5408912.980,5446412.790,37499.810,9141.200,7E 32 30 31 32 34 36 30 30 44 30 31 32 45 31 30 30 43 38 30 30 30 37 30 38 46 38 46 38 43 30 46 39 41 42 0D,Pylon rsp addr=0x12 OK cid2=0x63 chk=OK charge/discharge status len=18,"0x63 status=0xC0 (charge=ON, discharge=ON, balance=OFF)",
13,ok,request,18,97,,,,true,1235450016,1239908304,6177250.080,6199541.520,22291.440,730837.290,7E 32 30 31 32 34 36 36 31 30 30 30 30 46 44 41 41 0D,Pylon req addr=0x12 cid2=0x61 analog/telemetry chk=OK len=0 empty,request analog/telemetry empty payload,
14,ok,response,18,0,,,,true,1241797187,1265963712,6208985.935,6329818.560,120832.625,9444.415,7E 32 30 31 32 34 36 30 30 38 30 36 32 44 38 42 38 30 30 30 30 34 36 30 30 30 30 30 30 30 30 36 34 36 34 30 44 38 46 30 30 30 31 30 44 38 35 30 30 30 31 30 42 41 45 30 42 42 34 30 30 30 31 30 42 41 43 30 30 30 31 30 42 42 31 30 42 42 31 30 30 30 31 30 42 42 31 30 30 30 31 30 42 41 45 30 42 42 34 30 30 30 31 30 42 41 43 30 30 30 31 45 38 46 37 0D,Pylon rsp addr=0x12 OK cid2=0x61 chk=OK analog/telemetry len=98,0x61 V=55.480V I=0.0A SOC=70% SOH=100% cycles=0 cell_max=3.471V#1 cell_min=3.461V#1 MOS=25.9C T1=26.5C T2=25.7C T4=26.2C T5=26.2C,
15,ok,request,34,97,,,,true,1395456254,1399914542,6977281.270,6999572.710,22291.440,647462.710,7E 32 30 32 32 34 36 36 31 30 30 30 30 46 44 41 39 0D,Pylon req addr=0x22 cid2=0x61 analog/telemetry chk=OK len=0 empty,request analog/telemetry empty payload,
16,ok,request,18,99,,,,true,1571487149,1575945438,7857435.745,7879727.190,22291.445,857863.035,7E 32 30 31 32 34 36 36 33 30 30 30 30 46 44 41 38 0D,Pylon req addr=0x12 cid2=0x63 charge/discharge status chk=OK len=0 empty,request charge/discharge status empty payload,
17,ok,response,18,0,,,,true,1577779469,1585279430,7888897.345,7926397.150,37499.805,9170.155,7E 32 30 31 32 34 36 30 30 44 30 31 32 45 31 30 30 43 38 30 30 30 37 30 38 46 38 46 38 43 30 46 39 41 42 0D,Pylon rsp addr=0x12 OK cid2=0x63 chk=OK charge/discharge status len=18,"0x63 status=0xC0 (charge=ON, discharge=ON, balance=OFF)",
18,ok,request,18,97,,,,true,1731485055,1735943343,8657425.275,8679716.715,22291.440,731028.125,7E 32 30 31 32 34 36 36 31 30 30 30 30 46 44 41 41 0D,Pylon req addr=0x12 cid2=0x61 analog/telemetry chk=OK len=0 empty,request analog/telemetry empty payload,
19,ok,response,18,0,,,,true,1737792759,1761959284,8688963.795,8809796.420,120832.625,9247.080,7E 32 30 31 32 34 36 30 30 38 30 36 32 44 38 42 38 30 30 30 30 34 36 30 30 30 30 30 30 30 30 36 34 36 34 30 44 38 46 30 30 30 31 30 44 38 35 30 30 30 31 30 42 41 45 30 42 42 34 30 30 30 31 30 42 41 43 30 30 30 31 30 42 42 31 30 42 42 31 30 30 30 31 30 42 42 31 30 30 30 31 30 42 41 45 30 42 42 34 30 30 30 31 30 42 41 43 30 30 30 31 45 38 46 37 0D,Pylon rsp addr=0x12 OK cid2=0x61 chk=OK analog/telemetry len=98,0x61 V=55.480V I=0.0A SOC=70% SOH=100% cycles=0 cell_max=3.471V#1 cell_min=3.461V#1 MOS=25.9C T1=26.5C T2=25.7C T4=26.2C T5=26.2C,
20,ok,request,50,97,,,,true,1891437337,1895895625,9457186.685,9479478.125,22291.440,647390.265,7E 32 30 33 32 34 36 36 31 30 30 30 30 46 44 41 38 0D,Pylon req addr=0x32 cid2=0x61 analog/telemetry chk=OK len=0 empty,request analog/telemetry empty payload,
