frame_no,status,frame_type,can_id,rtr_type,dlc,start_sample,end_sample,start_us,end_us,duration_us,gap_from_previous_us,data_hex,summary,decoded,error
1,ok,standard,0x312,data,8,2088342,2136622,10441.710,10683.110,241.400,,00 00 00 00 01 00 00 00,Growatt CAN 0x312 protections/alarms DLC=8 [00 00 00 00 01 00 00 00],0x312 prot1=0x00 prot2=0x00 alm1=0x00 alm2=0x00 pack=1 pwrred=0x0000,
2,ok,standard,0x313,data,8,6098194,6143274,30490.970,30716.370,225.400,19807.860,16 4B 00 00 01 3C 56 64,Growatt CAN 0x313 pack V/I/SOC/SOH DLC=8 [16 4B 00 00 01 3C 56 64],0x313 pack V=57.07V I=+0.0A Tavg=31.6C SOC=86%% SOH=100%% lifeWarn=0,
3,ok,standard,0x301,data,8,7867434,7911714,39337.170,39558.570,221.400,8620.800,0B 16 21 2C 37 42 4D 58,Growatt CAN 0x301 Growatt? DLC=8 [0B 16 21 2C 37 42 4D 58],0x301 unknown raw=0B 16 21 2C 37 42 4D 58,
4,ok,standard,0x314,data,8,10096329,10143809,50481.645,50719.045,237.400,10923.075,01 AE 01 F4 00 04 00 00,Growatt CAN 0x314 capacity/delta/cycles DLC=8 [01 AE 01 F4 00 04 00 00],0x314 RM=4.30Ah FCC=5.00Ah dV=4mV cycles=0,
5,ok,standard,0x319,data,8,14087771,14133251,70438.855,70666.255,227.400,19719.810,C0 0D F1 0D ED 01 02 00,Growatt CAN 0x319 cell extremes/status DLC=8 [C0 0D F1 0D ED 01 02 00],0x319 cell_max=3.569V#1 cell_min=3.565V#2 dV=4mV flags=0xC0 chem=LFP chgEn=0 disEn=0,
6,ok,standard,0x320,data,8,18087631,18132311,90438.155,90661.555,223.400,19771.900,4A 4B 0F 26 0F 13 07 80,Growatt CAN 0x320 maker/software DLC=8 [4A 4B 0F 26 0F 13 07 80],0x320 maker='JK' hw=0x0F swL=0x26 swHext=0x0F compat=0x13 ext=0x07,
7,ok,standard,0x321,data,8,22175487,22223767,110877.435,111118.835,241.400,20215.880,00 00 00 00 00 00 00 00,Growatt CAN 0x321 upgrade info DLC=8 [00 00 00 00 00 00 00 00],0x321 remote-upgrade unused (all zero),
8,ok,standard,0x322,data,8,26107329,26153209,130536.645,130766.045,229.400,19417.810,01 3B 00 00 02 04 56 56,Growatt CAN 0x322 temperature/SOC range DLC=8 [01 3B 00 00 02 04 56 56],0x322 Tmax=31.5C#2 Tmin=0.0C#4 SOCmax=86%% SOCmin=86%%,
9,ok,standard,0x323,data,8,30088774,30137454,150443.870,150687.270,243.400,19677.825,10 00 00 00 00 00 00 00,Growatt CAN 0x323 cell count/protection/warning DLC=8 [10 00 00 00 00 00 00 00],0x323 cellCount=16 prot3=0x00 prot4=0x00 prot5=0x00 warn3=0x00,
10,ok,standard,0x311,data,8,34088627,34134507,170443.135,170672.535,229.400,19755.865,02 40 01 7C 23 B6 00 34,Growatt CAN 0x311 status/limits DLC=8 [02 40 01 7C 23 B6 00 34],0x311 limits chgV=57.6V chgI=38.0A disI=914.2A status_tail=0x0034,
11,ok,standard,0x312,data,8,38108484,38156764,190542.420,190783.820,241.400,19869.885,00 00 00 00 01 00 00 00,Growatt CAN 0x312 protections/alarms DLC=8 [00 00 00 00 01 00 00 00],0x312 prot1=0x00 prot2=0x00 alm1=0x00 alm2=0x00 pack=1 pwrred=0x0000,
12,ok,standard,0x313,data,8,42097945,42143025,210489.725,210715.125,225.400,19705.905,16 4B 00 00 01 3C 56 64,Growatt CAN 0x313 pack V/I/SOC/SOH DLC=8 [16 4B 00 00 01 3C 56 64],0x313 pack V=57.07V I=+0.0A Tavg=31.6C SOC=86%% SOH=100%% lifeWarn=0,
13,ok,standard,0x314,data,8,46109733,46157213,230548.665,230786.065,237.400,19833.540,01 AE 01 F4 00 04 00 00,Growatt CAN 0x314 capacity/delta/cycles DLC=8 [01 AE 01 F4 00 04 00 00],0x314 RM=4.30Ah FCC=5.00Ah dV=4mV cycles=0,
14,ok,standard,0x319,data,8,50089570,50135050,250447.850,250675.250,227.400,19661.785,C0 0D F1 0D ED 01 02 00,Growatt CAN 0x319 cell extremes/status DLC=8 [C0 0D F1 0D ED 01 02 00],0x319 cell_max=3.569V#1 cell_min=3.565V#2 dV=4mV flags=0xC0 chem=LFP chgEn=0 disEn=0,
15,ok,standard,0x320,data,8,54089434,54134114,270447.170,270670.570,223.400,19771.920,4A 4B 0F 26 0F 13 07 80,Growatt CAN 0x320 maker/software DLC=8 [4A 4B 0F 26 0F 13 07 80],0x320 maker='JK' hw=0x0F swL=0x26 swHext=0x0F compat=0x13 ext=0x07,
16,ok,standard,0x321,data,8,58101284,58149564,290506.420,290747.820,241.400,19835.850,00 00 00 00 00 00 00 00,Growatt CAN 0x321 upgrade info DLC=8 [00 00 00 00 00 00 00 00],0x321 remote-upgrade unused (all zero),
17,ok,standard,0x322,data,8,62097127,62143007,310485.635,310715.035,229.400,19737.815,01 3B 00 00 02 04 56 56,Growatt CAN 0x322 temperature/SOC range DLC=8 [01 3B 00 00 02 04 56 56],0x322 Tmax=31.5C#2 Tmin=0.0C#4 SOCmax=86%% SOCmin=86%%,
