frame_no,status,type,slave,func,start_reg,count,byte_count,crc_ok,start_sample,end_sample,start_us,end_us,duration_us,gap_from_previous_us,raw_hex,summary,decoded,error
1,ok,request,0x01,0x03,0x0020,11,,true,34955022,36913337,174775.110,184566.685,9791.575,,01 03 00 20 00 0B 05 C7,Growatt RS485 req slave=0x01 func=0x03 start=0x0020 count=11 crc=OK,read holding registers start=0x0020 count=11,
2,ok,response,0x01,0x03,0x0020,11,22,true,37885641,43510891,189428.205,217554.455,28126.250,4861.520,01 03 16 00 64 16 80 00 00 4A 38 00 00 0D F4 0D EF 00 01 00 02 00 00 00 00 EB 01,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0020..0x002A bytes=22 crc=OK,"response regs 0x0020..0x002A: SOH=100%%, chg_v_target=57.60V, warn=0x0000 (none), dis_lim=190.00A, ext_err=0x0000, cell_max=3.572V",
3,ok,request,0x01,0x03,0x0071,16,,true,115551278,117509593,577756.390,587547.965,9791.575,360201.935,01 03 00 71 00 10 14 1D,Growatt RS485 req slave=0x01 func=0x03 start=0x0071 count=16 crc=OK,read holding registers start=0x0071 count=16,
4,ok,response,0x01,0x03,0x0071,16,32,true,118493561,126202246,592467.805,631011.230,38543.425,4919.840,01 03 20 0D EF 0D F1 0D EE 0D EE 0D EE 0D EE 0D EE 0D F1 0D F1 0D F1 0D F1 0D F1 0D EF 0D EE 0D EE 00 00 CD BD,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0071..0x0080 bytes=32 crc=OK,response regs 0x0071..0x0080: cells count=15 min=3.566V#3 max=3.569V#2,
5,ok,request,0x01,0x03,0x0010,15,,true,196182965,198141280,980914.825,990706.400,9791.575,349903.595,01 03 00 10 00 0F 04 0B,Growatt RS485 req slave=0x01 func=0x03 start=0x0010 count=15 crc=OK,read holding registers start=0x0010 count=15,
6,ok,response,0x01,0x03,0x0010,15,30,true,199205656,206497652,996028.280,1032488.260,36459.980,5321.880,01 03 1E 00 00 00 00 00 00 04 69 00 00 00 56 16 4C 00 00 00 1F 0E D8 01 B0 01 F4 01 01 00 00 00 00 8A 9B,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0010..0x001E bytes=30 crc=OK,"response regs 0x0010..0x001E: status=0x0469 mode=standby err=NO bal=ON master=standalone sp=standby, prot=0x0000 (none), SOC=86%%, pack_v=57.08V, |pack_i|=0.00A, temp=31C",
7,ok,request,0x01,0x03,0x0020,11,,true,276560678,278518993,1382803.390,1392594.965,9791.575,350315.130,01 03 00 20 00 0B 05 C7,Growatt RS485 req slave=0x01 func=0x03 start=0x0020 count=11 crc=OK,read holding registers start=0x0020 count=11,
8,ok,response,0x01,0x03,0x0020,11,22,true,279501063,285126314,1397505.315,1425631.570,28126.255,4910.350,01 03 16 00 64 16 80 00 00 4A 38 00 00 0D F3 0D EE 00 01 00 04 00 00 00 00 74 E5,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0020..0x002A bytes=22 crc=OK,"response regs 0x0020..0x002A: SOH=100%%, chg_v_target=57.60V, warn=0x0000 (none), dis_lim=190.00A, ext_err=0x0000, cell_max=3.571V",
9,ok,request,0x01,0x03,0x0071,16,,true,357151955,359110270,1785759.775,1795551.350,9791.575,360128.205,01 03 00 71 00 10 14 1D,Growatt RS485 req slave=0x01 func=0x03 start=0x0071 count=16 crc=OK,read holding registers start=0x0071 count=16,
10,ok,response,0x01,0x03,0x0071,16,32,true,360108984,367817666,1800544.920,1839088.330,38543.410,4993.570,01 03 20 0D EE 0D EF 0D EE 0D EF 0D EE 0D EE 0D EE 0D EF 0D F1 0D F1 0D F1 0D F2 0D F1 0D EF 0D EE 00 00 36 05,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0071..0x0080 bytes=32 crc=OK,response regs 0x0071..0x0080: cells count=15 min=3.566V#1 max=3.570V#12,
11,ok,request,0x01,0x03,0x0010,15,,true,437751549,439709864,2188757.745,2198549.320,9791.575,349669.415,01 03 00 10 00 0F 04 0B,Growatt RS485 req slave=0x01 func=0x03 start=0x0010 count=15 crc=OK,read holding registers start=0x0010 count=15,
12,ok,response,0x01,0x03,0x0010,15,30,true,440696070,447988066,2203480.350,2239940.330,36459.980,4931.030,01 03 1E 00 00 00 00 00 00 04 69 00 00 00 56 16 4B 00 00 00 1F 0E D8 01 B0 01 F4 01 01 00 00 00 00 38 AA,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0010..0x001E bytes=30 crc=OK,"response regs 0x0010..0x001E: status=0x0469 mode=standby err=NO bal=ON master=standalone sp=standby, prot=0x0000 (none), SOC=86%%, pack_v=57.07V, |pack_i|=0.00A, temp=31C",
13,ok,request,0x01,0x03,0x0020,11,,true,517965132,519923448,2589825.660,2599617.240,9791.580,349885.330,01 03 00 20 00 0B 05 C7,Growatt RS485 req slave=0x01 func=0x03 start=0x0020 count=11 crc=OK,read holding registers start=0x0020 count=11,
14,ok,response,0x01,0x03,0x0020,11,22,true,520908139,526533390,2604540.695,2632666.950,28126.255,4923.455,01 03 16 00 64 16 80 00 00 4A 38 00 00 0D F3 0D EE 00 01 00 04 00 00 00 00 74 E5,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0020..0x002A bytes=22 crc=OK,"response regs 0x0020..0x002A: SOH=100%%, chg_v_target=57.60V, warn=0x0000 (none), dis_lim=190.00A, ext_err=0x0000, cell_max=3.571V",
