sequence_no,complete,status,request_frame_no,response_frame_no,slave,func,start_reg,count,request_start_us,request_end_us,response_start_us,response_end_us,request_to_response_us,full_exchange_us,request_summary,response_summary
1,true,complete,1,2,0x01,0x03,0x0020,11,174775.110,184566.685,189428.205,217554.455,4861.520,42779.345,Growatt RS485 req slave=0x01 func=0x03 start=0x0020 count=11 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0020..0x002A bytes=22 crc=OK
2,true,complete,3,4,0x01,0x03,0x0071,16,577756.390,587547.965,592467.805,631011.230,4919.840,53254.840,Growatt RS485 req slave=0x01 func=0x03 start=0x0071 count=16 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0071..0x0080 bytes=32 crc=OK
3,true,complete,5,6,0x01,0x03,0x0010,15,980914.825,990706.400,996028.280,1032488.260,5321.880,51573.435,Growatt RS485 req slave=0x01 func=0x03 start=0x0010 count=15 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0010..0x001E bytes=30 crc=OK
4,true,complete,7,8,0x01,0x03,0x0020,11,1382803.390,1392594.965,1397505.315,1425631.570,4910.350,42828.180,Growatt RS485 req slave=0x01 func=0x03 start=0x0020 count=11 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0020..0x002A bytes=22 crc=OK
5,true,complete,9,10,0x01,0x03,0x0071,16,1785759.775,1795551.350,1800544.920,1839088.330,4993.570,53328.555,Growatt RS485 req slave=0x01 func=0x03 start=0x0071 count=16 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0071..0x0080 bytes=32 crc=OK
6,true,complete,11,12,0x01,0x03,0x0010,15,2188757.745,2198549.320,2203480.350,2239940.330,4931.030,51182.585,Growatt RS485 req slave=0x01 func=0x03 start=0x0010 count=15 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0010..0x001E bytes=30 crc=OK
7,true,complete,13,14,0x01,0x03,0x0020,11,2589825.660,2599617.240,2604540.695,2632666.950,4923.455,42841.290,Growatt RS485 req slave=0x01 func=0x03 start=0x0020 count=11 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0020..0x002A bytes=22 crc=OK
8,true,complete,15,16,0x01,0x03,0x0071,16,2992908.235,3002699.805,3007580.305,3046123.705,4880.500,53215.470,Growatt RS485 req slave=0x01 func=0x03 start=0x0071 count=16 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0071..0x0080 bytes=32 crc=OK
9,true,complete,17,18,0x01,0x03,0x0010,15,3395886.250,3405677.825,3410619.905,3447079.885,4942.080,51193.635,Growatt RS485 req slave=0x01 func=0x03 start=0x0010 count=15 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0010..0x001E bytes=30 crc=OK
10,true,complete,19,20,0x01,0x03,0x0020,11,3796807.620,3806599.195,3811576.075,3839702.335,4976.880,42894.715,Growatt RS485 req slave=0x01 func=0x03 start=0x0020 count=11 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0020..0x002A bytes=22 crc=OK
11,true,complete,21,22,0x01,0x03,0x0071,16,4199855.050,4209646.625,4214615.680,4253159.095,4969.055,53304.045,Growatt RS485 req slave=0x01 func=0x03 start=0x0071 count=16 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0071..0x0080 bytes=32 crc=OK
12,true,complete,23,24,0x01,0x03,0x0010,15,4602877.805,4612669.380,4617655.285,4654115.265,4985.905,51237.460,Growatt RS485 req slave=0x01 func=0x03 start=0x0010 count=15 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0010..0x001E bytes=30 crc=OK
13,true,complete,25,26,0x01,0x03,0x0020,11,5003887.600,5013679.175,5018715.635,5046841.885,5036.460,42954.285,Growatt RS485 req slave=0x01 func=0x03 start=0x0020 count=11 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0020..0x002A bytes=22 crc=OK
14,true,complete,27,28,0x01,0x03,0x0071,16,5406768.190,5416559.765,5421651.065,5460194.465,5091.300,53426.275,Growatt RS485 req slave=0x01 func=0x03 start=0x0071 count=16 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0071..0x0080 bytes=32 crc=OK
15,true,complete,29,30,0x01,0x03,0x0010,15,5809764.285,5819555.860,5824690.665,5861150.650,5134.805,51386.365,Growatt RS485 req slave=0x01 func=0x03 start=0x0010 count=15 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0010..0x001E bytes=30 crc=OK
16,true,complete,31,32,0x01,0x03,0x0020,11,6210746.780,6220538.350,6225751.015,6253877.270,5212.665,43130.490,Growatt RS485 req slave=0x01 func=0x03 start=0x0020 count=11 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0020..0x002A bytes=22 crc=OK
