frame_no,status,frame_type,can_id,rtr_type,dlc,start_sample,end_sample,start_us,end_us,duration_us,gap_from_previous_us,data_hex,summary,decoded,error
1,ok,standard,0x313,data,8,8523660,8569140,42618.300,42845.700,227.400,,15 B2 00 00 01 0B 46 64,Growatt CAN 0x313 pack V/I/SOC/SOH DLC=8 [15 B2 00 00 01 0B 46 64],0x313 pack V=55.54V I=+0.0A Tavg=26.7C SOC=70%% SOH=100%% lifeWarn=0,
2,ok,standard,0x314,data,8,25122808,25169088,125614.040,125845.440,231.400,82768.340,36 D8 71 48 00 0B 00 00,Growatt CAN 0x314 capacity/delta/cycles DLC=8 [36 D8 71 48 00 0B 00 00],0x314 RM=140.40Ah FCC=290.00Ah dV=11mV cycles=0,
3,ok,standard,0x319,data,8,41723156,41768636,208615.780,208843.180,227.400,82770.340,C1 0D 94 0D 89 01 01 00,Growatt CAN 0x319 cell extremes/status DLC=8 [C1 0D 94 0D 89 01 01 00],0x319 cell_max=3.476V#1 cell_min=3.465V#1 dV=11mV flags=0xC1 chem=Ternary chgEn=0 disEn=0,
4,ok,standard,0x320,data,8,58322705,58369385,291613.525,291846.925,233.400,82770.345,47 54 0A 0A 00 00 00 00,Growatt CAN 0x320 maker/software DLC=8 [47 54 0A 0A 00 00 00 00],0x320 maker='GT' hw=0x0A swL=0x0A swHext=0x00 compat=0x00 ext=0x00,
5,ok,standard,0x301,data,8,65337538,65381818,326687.690,326909.090,221.400,34840.765,0B 16 21 2C 37 42 4D 58,Growatt CAN 0x301 Growatt? DLC=8 [0B 16 21 2C 37 42 4D 58],0x301 unknown raw=0B 16 21 2C 37 42 4D 58,
6,ok,standard,0x322,data,8,74923503,74968983,374617.515,374844.915,227.400,47708.425,01 0B 01 04 01 01 46 46,Growatt CAN 0x322 temperature/SOC range DLC=8 [01 0B 01 04 01 01 46 46],0x322 Tmax=26.7C#1 Tmin=26.0C#1 SOCmax=70%% SOCmin=70%%,
7,ok,standard,0x315,data,8,92013449,92057329,460067.245,460286.645,219.400,85222.330,0D 90 0D 89 0D 8F 0D 8E,Growatt CAN 0x315 cell group 1 DLC=8 [0D 90 0D 89 0D 8F 0D 8E],0x315 cells C01=3.472V C02=3.465V C03=3.471V C04=3.470V,
8,ok,standard,0x316,data,8,108522997,108567677,542614.985,542838.385,223.400,82328.340,0D 8E 0D 90 0D 8E 0D 91,Growatt CAN 0x316 cell group 2 DLC=8 [0D 8E 0D 90 0D 8E 0D 91],0x316 cells C05=3.470V C06=3.472V C07=3.470V C08=3.473V,
9,ok,standard,0x317,data,8,125122546,125166826,625612.730,625834.130,221.400,82774.345,0D 92 0D 90 0D 91 0D 94,Growatt CAN 0x317 cell group 3 DLC=8 [0D 92 0D 90 0D 91 0D 94],0x317 cells C09=3.474V C10=3.472V C11=3.473V C12=3.476V,
10,ok,standard,0x318,data,8,141723294,141768774,708616.470,708843.870,227.400,82782.340,0D 92 0D 8C 0D 90 0D 8F,Growatt CAN 0x318 cell group 4 DLC=8 [0D 92 0D 8C 0D 90 0D 8F],0x318 cells C13=3.474V C14=3.468V C15=3.472V C16=3.471V,
11,ok,standard,0x301,data,8,167403718,167447998,837018.590,837239.990,221.400,128174.720,0B 16 21 2C 37 42 4D 58,Growatt CAN 0x301 Growatt? DLC=8 [0B 16 21 2C 37 42 4D 58],0x301 unknown raw=0B 16 21 2C 37 42 4D 58,
