sequence_no,frame_count,start_us,end_us,duration_us,gap_from_previous_us,unique_can_ids,first_frame_no,last_frame_no
1,10,42618.300,708843.870,666225.570,,0x301 0x313 0x314 0x315 0x316 0x317 0x318 0x319 0x320 0x322,1,10
2,13,837018.590,1708833.495,871814.905,128174.720,0x301 0x311 0x312 0x313 0x314 0x315 0x316 0x317 0x318 0x319 0x320 0x322,11,23
3,13,1856732.205,2708821.615,852089.410,147898.710,0x301 0x311 0x312 0x313 0x314 0x315 0x316 0x317 0x318 0x319 0x320 0x322,24,36
4,13,2874597.450,3708816.235,834218.785,165775.835,0x301 0x311 0x312 0x313 0x314 0x315 0x316 0x317 0x318 0x319 0x320 0x322,37,49
5,13,3874594.070,4708809.355,834215.285,165777.835,0x301 0x311 0x312 0x313 0x314 0x315 0x316 0x317 0x318 0x319 0x320 0x322,50,62
6,13,4874585.190,5708808.475,834223.285,165775.835,0x301 0x311 0x312 0x313 0x314 0x315 0x316 0x317 0x318 0x319 0x320 0x322,63,75
7,13,5874576.305,6708800.090,834223.785,165767.830,0x301 0x311 0x312 0x313 0x314 0x315 0x316 0x317 0x318 0x319 0x320 0x322,76,88
8,13,6874571.920,7708791.200,834219.280,165771.830,0x301 0x311 0x312 0x313 0x314 0x315 0x316 0x317 0x318 0x319 0x320 0x322,89,101
9,13,7874569.035,8708788.320,834219.285,165777.835,0x301 0x311 0x312 0x313 0x314 0x315 0x316 0x317 0x318 0x319 0x320 0x322,102,114
10,13,8874562.150,9708783.435,834221.285,165773.830,0x301 0x311 0x312 0x313 0x314 0x315 0x316 0x317 0x318 0x319 0x320 0x322,115,127
11,2,9874557.270,9960248.395,85691.125,165773.835,0x311 0x312,128,129
