frame_no,status,type,slave,func,start_reg,count,byte_count,crc_ok,start_sample,end_sample,start_us,end_us,duration_us,gap_from_previous_us,raw_hex,summary,decoded,error
1,ok,request,0x01,0x03,0x0010,15,,true,38113803,40072118,190569.015,200360.590,9791.575,,01 03 00 10 00 0F 04 0B,Growatt RS485 req slave=0x01 func=0x03 start=0x0010 count=15 crc=OK,read holding registers start=0x0010 count=15,
2,ok,response,0x01,0x03,0x0010,15,30,true,49965760,57257391,249828.800,286286.955,36458.155,49468.210,01 03 1E 00 00 00 00 00 00 00 69 00 00 00 46 15 AF 00 00 00 1A 46 50 36 D8 4E 20 00 00 00 00 00 00 88 03,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0010..0x001E bytes=30 crc=OK,"response regs 0x0010..0x001E: status=0x0069 mode=standby err=NO bal=ON master=standalone sp=none, prot=0x0000 (none), SOC=70%%, pack_v=55.51V, |pack_i|=0.00A, temp=26C",
3,ok,request,0x01,0x03,0x0020,11,,true,119303443,121261757,596517.215,606308.785,9791.570,310230.260,01 03 00 20 00 0B 05 C7,Growatt RS485 req slave=0x01 func=0x03 start=0x0020 count=11 crc=OK,read holding registers start=0x0020 count=11,
4,ok,exception,0x01,0x03,,,,true,131161847,132203513,655809.235,661017.565,5208.330,49500.450,01 83 01 80 F0,Growatt RS485 exception slave=0x01 func=0x03 code=0x01 crc=OK,exception func=0x03 code=0x01,
5,ok,request,0x01,0x03,0x0071,16,,true,200117131,202075446,1000585.655,1010377.230,9791.575,339568.090,01 03 00 71 00 10 14 1D,Growatt RS485 req slave=0x01 func=0x03 start=0x0071 count=16 crc=OK,read holding registers start=0x0071 count=16,
6,ok,response,0x01,0x03,0x0071,16,32,true,211964737,219673028,1059823.685,1098365.140,38541.455,49446.455,01 03 20 0D 8E 0D 87 0D 8D 0D 8C 0D 8C 0D 8F 0D 8C 0D 8F 0D 90 0D 8E 0D 8F 0D 91 0D 90 0D 8A 0D 8E 0D 8D 65 05,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0071..0x0080 bytes=32 crc=OK,response regs 0x0071..0x0080: cells count=16 min=3.463V#2 max=3.473V#12,
7,ok,request,0x01,0x03,0x0010,15,,true,281707085,283665400,1408535.425,1418327.000,9791.575,310170.285,01 03 00 10 00 0F 04 0B,Growatt RS485 req slave=0x01 func=0x03 start=0x0010 count=15 crc=OK,read holding registers start=0x0010 count=15,
8,ok,response,0x01,0x03,0x0010,15,30,true,293563188,300854819,1467815.940,1504274.095,36458.155,49488.940,01 03 1E 00 00 00 00 00 00 00 69 00 00 00 46 15 AF 00 00 00 1A 46 50 36 D8 4E 20 00 00 00 00 00 00 88 03,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0010..0x001E bytes=30 crc=OK,"response regs 0x0010..0x001E: status=0x0069 mode=standby err=NO bal=ON master=standalone sp=none, prot=0x0000 (none), SOC=70%%, pack_v=55.51V, |pack_i|=0.00A, temp=26C",
9,ok,request,0x01,0x03,0x0020,11,,true,362905398,364863712,1814526.990,1824318.560,9791.570,310252.895,01 03 00 20 00 0B 05 C7,Growatt RS485 req slave=0x01 func=0x03 start=0x0020 count=11 crc=OK,read holding registers start=0x0020 count=11,
10,ok,exception,0x01,0x03,,,,true,374759276,375800941,1873796.380,1879004.705,5208.325,49477.820,01 83 01 80 F0,Growatt RS485 exception slave=0x01 func=0x03 code=0x01 crc=OK,exception func=0x03 code=0x01,
11,ok,request,0x01,0x03,0x0071,16,,true,443723221,445681535,2218616.105,2228407.675,9791.570,339611.400,01 03 00 71 00 10 14 1D,Growatt RS485 req slave=0x01 func=0x03 start=0x0071 count=16 crc=OK,read holding registers start=0x0071 count=16,
12,ok,response,0x01,0x03,0x0071,16,32,true,455563466,463271756,2277817.330,2316358.780,38541.450,49409.655,01 03 20 0D 8E 0D 87 0D 8D 0D 8C 0D 8C 0D 8F 0D 8C 0D 8F 0D 90 0D 8E 0D 8F 0D 91 0D 90 0D 8A 0D 8E 0D 8D 65 05,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0071..0x0080 bytes=32 crc=OK,response regs 0x0071..0x0080: cells count=16 min=3.463V#2 max=3.473V#12,
13,ok,request,0x01,0x03,0x0010,15,,true,525314533,527272849,2626572.665,2636364.245,9791.580,310213.885,01 03 00 10 00 0F 04 0B,Growatt RS485 req slave=0x01 func=0x03 start=0x0010 count=15 crc=OK,read holding registers start=0x0010 count=15,
14,ok,response,0x01,0x03,0x0010,15,30,true,537161918,544453548,2685809.590,2722267.740,36458.150,49445.345,01 03 1E 00 00 00 00 00 00 00 69 00 00 00 46 15 AF 00 00 00 1A 46 50 36 D8 4E 20 00 00 00 00 00 00 88 03,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0010..0x001E bytes=30 crc=OK,"response regs 0x0010..0x001E: status=0x0069 mode=standby err=NO bal=ON master=standalone sp=none, prot=0x0000 (none), SOC=70%%, pack_v=55.51V, |pack_i|=0.00A, temp=26C",
15,ok,request,0x01,0x03,0x0020,11,,true,606523212,608481526,3032616.060,3042407.630,9791.570,310348.320,01 03 00 20 00 0B 05 C7,Growatt RS485 req slave=0x01 func=0x03 start=0x0020 count=11 crc=OK,read holding registers start=0x0020 count=11,
16,ok,exception,0x01,0x03,,,,true,618358005,619399671,3091790.025,3096998.355,5208.330,49382.395,01 83 01 80 F0,Growatt RS485 exception slave=0x01 func=0x03 code=0x01 crc=OK,exception func=0x03 code=0x01,
17,ok,request,0x01,0x03,0x0071,16,,true,687300940,689259255,3436504.700,3446296.275,9791.575,339506.345,01 03 00 71 00 10 14 1D,Growatt RS485 req slave=0x01 func=0x03 start=0x0071 count=16 crc=OK,read holding registers start=0x0071 count=16,
18,ok,response,0x01,0x03,0x0071,16,32,true,699162195,706870487,3495810.975,3534352.435,38541.460,49514.700,01 03 20 0D 8E 0D 87 0D 8D 0D 8C 0D 8C 0D 8F 0D 8C 0D 8F 0D 90 0D 8E 0D 8F 0D 91 0D 90 0D 8A 0D 8D 0D 8D 95 05,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0071..0x0080 bytes=32 crc=OK,response regs 0x0071..0x0080: cells count=16 min=3.463V#2 max=3.473V#12,
19,ok,request,0x01,0x03,0x0010,15,,true,768902025,770860340,3844510.125,3854301.700,9791.575,310157.690,01 03 00 10 00 0F 04 0B,Growatt RS485 req slave=0x01 func=0x03 start=0x0010 count=15 crc=OK,read holding registers start=0x0010 count=15,
20,ok,response,0x01,0x03,0x0010,15,30,true,780760613,788052243,3903803.065,3940261.215,36458.150,49501.365,01 03 1E 00 00 00 00 00 00 00 69 00 00 00 46 15 AF 00 00 00 1A 46 50 36 D8 4E 20 00 00 00 00 00 00 88 03,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0010..0x001E bytes=30 crc=OK,"response regs 0x0010..0x001E: status=0x0069 mode=standby err=NO bal=ON master=standalone sp=none, prot=0x0000 (none), SOC=70%%, pack_v=55.51V, |pack_i|=0.00A, temp=26C",
