sequence_no,complete,status,request_frame_no,response_frame_no,slave,func,start_reg,count,request_start_us,request_end_us,response_start_us,response_end_us,request_to_response_us,full_exchange_us,request_summary,response_summary
1,true,complete,1,2,0x01,0x03,0x0010,15,190569.015,200360.590,249828.800,286286.955,49468.210,95717.940,Growatt RS485 req slave=0x01 func=0x03 start=0x0010 count=15 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0010..0x001E bytes=30 crc=OK
2,true,complete,3,4,0x01,0x03,0x0020,11,596517.215,606308.785,655809.235,661017.565,49500.450,64500.350,Growatt RS485 req slave=0x01 func=0x03 start=0x0020 count=11 crc=OK,Growatt RS485 exception slave=0x01 func=0x03 code=0x01 crc=OK
3,true,complete,5,6,0x01,0x03,0x0071,16,1000585.655,1010377.230,1059823.685,1098365.140,49446.455,97779.485,Growatt RS485 req slave=0x01 func=0x03 start=0x0071 count=16 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0071..0x0080 bytes=32 crc=OK
4,true,complete,7,8,0x01,0x03,0x0010,15,1408535.425,1418327.000,1467815.940,1504274.095,49488.940,95738.670,Growatt RS485 req slave=0x01 func=0x03 start=0x0010 count=15 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0010..0x001E bytes=30 crc=OK
5,true,complete,9,10,0x01,0x03,0x0020,11,1814526.990,1824318.560,1873796.380,1879004.705,49477.820,64477.715,Growatt RS485 req slave=0x01 func=0x03 start=0x0020 count=11 crc=OK,Growatt RS485 exception slave=0x01 func=0x03 code=0x01 crc=OK
6,true,complete,11,12,0x01,0x03,0x0071,16,2218616.105,2228407.675,2277817.330,2316358.780,49409.655,97742.675,Growatt RS485 req slave=0x01 func=0x03 start=0x0071 count=16 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0071..0x0080 bytes=32 crc=OK
7,true,complete,13,14,0x01,0x03,0x0010,15,2626572.665,2636364.245,2685809.590,2722267.740,49445.345,95695.075,Growatt RS485 req slave=0x01 func=0x03 start=0x0010 count=15 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0010..0x001E bytes=30 crc=OK
8,true,complete,15,16,0x01,0x03,0x0020,11,3032616.060,3042407.630,3091790.025,3096998.355,49382.395,64382.295,Growatt RS485 req slave=0x01 func=0x03 start=0x0020 count=11 crc=OK,Growatt RS485 exception slave=0x01 func=0x03 code=0x01 crc=OK
9,true,complete,17,18,0x01,0x03,0x0071,16,3436504.700,3446296.275,3495810.975,3534352.435,49514.700,97847.735,Growatt RS485 req slave=0x01 func=0x03 start=0x0071 count=16 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0071..0x0080 bytes=32 crc=OK
10,true,complete,19,20,0x01,0x03,0x0010,15,3844510.125,3854301.700,3903803.065,3940261.215,49501.365,95751.090,Growatt RS485 req slave=0x01 func=0x03 start=0x0010 count=15 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0010..0x001E bytes=30 crc=OK
11,true,complete,21,22,0x01,0x03,0x0020,11,4250616.555,4260408.130,4309783.665,4314991.995,49375.535,64375.440,Growatt RS485 req slave=0x01 func=0x03 start=0x0020 count=11 crc=OK,Growatt RS485 exception slave=0x01 func=0x03 code=0x01 crc=OK
12,true,complete,23,24,0x01,0x03,0x0071,16,4654613.465,4664405.030,4713797.950,4752339.405,49392.920,97725.940,Growatt RS485 req slave=0x01 func=0x03 start=0x0071 count=16 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0071..0x0080 bytes=32 crc=OK
13,true,complete,25,26,0x01,0x03,0x0010,15,5062515.760,5072307.335,5121796.705,5158254.860,49489.370,95739.100,Growatt RS485 req slave=0x01 func=0x03 start=0x0010 count=15 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0010..0x001E bytes=30 crc=OK
14,true,complete,27,28,0x01,0x03,0x0020,11,5468574.600,5478366.175,5527777.305,5532985.640,49411.130,64411.040,Growatt RS485 req slave=0x01 func=0x03 start=0x0020 count=11 crc=OK,Growatt RS485 exception slave=0x01 func=0x03 code=0x01 crc=OK
15,true,complete,29,30,0x01,0x03,0x0071,16,5872494.215,5882285.790,5931791.585,5970333.045,49505.795,97838.830,Growatt RS485 req slave=0x01 func=0x03 start=0x0071 count=16 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0071..0x0080 bytes=32 crc=OK
16,true,complete,31,32,0x01,0x03,0x0010,15,6280497.245,6290288.815,6342244.830,6378702.985,51956.015,98205.740,Growatt RS485 req slave=0x01 func=0x03 start=0x0010 count=15 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0010..0x001E bytes=30 crc=OK
17,true,complete,33,34,0x01,0x03,0x0020,11,6689626.700,6699418.270,6750080.755,6755289.080,50662.485,65662.380,Growatt RS485 req slave=0x01 func=0x03 start=0x0020 count=11 crc=OK,Growatt RS485 exception slave=0x01 func=0x03 code=0x01 crc=OK
18,true,complete,35,36,0x01,0x03,0x0071,16,7094535.115,7104326.690,7153782.535,7192323.985,49455.845,97788.870,Growatt RS485 req slave=0x01 func=0x03 start=0x0071 count=16 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0071..0x0080 bytes=32 crc=OK
19,true,complete,37,38,0x01,0x03,0x0010,15,7502547.220,7512338.795,7561781.290,7598239.445,49442.495,95692.225,Growatt RS485 req slave=0x01 func=0x03 start=0x0010 count=15 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0010..0x001E bytes=30 crc=OK
20,true,complete,39,40,0x01,0x03,0x0020,11,7908503.575,7918295.150,7967761.890,7972970.220,49466.740,64466.645,Growatt RS485 req slave=0x01 func=0x03 start=0x0020 count=11 crc=OK,Growatt RS485 exception slave=0x01 func=0x03 code=0x01 crc=OK
21,true,complete,41,42,0x01,0x03,0x0071,16,8312504.720,8322296.290,8371776.170,8410317.630,49479.880,97812.910,Growatt RS485 req slave=0x01 func=0x03 start=0x0071 count=16 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0071..0x0080 bytes=32 crc=OK
22,true,complete,43,44,0x01,0x03,0x0010,15,8720606.340,8730397.910,8779768.425,8816226.580,49370.515,95620.240,Growatt RS485 req slave=0x01 func=0x03 start=0x0010 count=15 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0010..0x001E bytes=30 crc=OK
23,true,complete,45,46,0x01,0x03,0x0020,11,9126563.630,9136355.205,9185748.865,9190957.195,49393.660,64393.565,Growatt RS485 req slave=0x01 func=0x03 start=0x0020 count=11 crc=OK,Growatt RS485 exception slave=0x01 func=0x03 code=0x01 crc=OK
24,true,complete,47,48,0x01,0x03,0x0071,16,9530515.575,9540307.150,9589769.810,9628311.265,49462.660,97795.690,Growatt RS485 req slave=0x01 func=0x03 start=0x0071 count=16 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0071..0x0080 bytes=32 crc=OK
25,false,unmatched_request,49,,0x01,0x03,0x0010,15,9938563.945,9948355.520,,,,,Growatt RS485 req slave=0x01 func=0x03 start=0x0010 count=15 crc=OK,
