frame_no,status,type,slave,func,start_reg,count,byte_count,crc_ok,start_sample,end_sample,start_us,end_us,duration_us,gap_from_previous_us,raw_hex,summary,decoded,error
1,ok,request,0x01,0x03,0x0000,13,,true,23461310,25419625,117306.550,127098.125,9791.575,,01 03 00 00 00 0D 84 0F,China Tower Modbus req slave=0x01 func=0x03 start=0x0000 count=13 crc=OK,read holding registers start=0x0000 count=13 poll-block,
2,ok,response,0x01,0x03,0x0000,13,26,true,26374301,32832919,131871.505,164164.595,32293.090,4773.380,01 03 1A 16 55 00 10 00 5D 01 F4 00 64 00 00 00 1A 00 1A 00 1A 0D F7 0D F4 0D F5 0D F5 0B 7B,China Tower Modbus rsp slave=0x01 func=0x03 regs=0x0000..0x000C bytes=26 crc=OK,"response regs 0x0000..0x000C: pack_v=57.17V, cell_count=16, SOC=93%, temp1=26C, temp2=26C, mos_temp=26C, cells count=4 C01=3.575V C02=3.572V C03=3.573V C04=3.573V min=3.572V#2 max=3.575V#1",
3,ok,request,0x01,0x03,0x0009,16,,true,73642365,75600681,368211.825,378003.405,9791.580,204047.230,01 03 00 09 00 10 94 04,China Tower Modbus req slave=0x01 func=0x03 start=0x0009 count=16 crc=OK,read holding registers start=0x0009 count=16 poll-block,
4,ok,response,0x01,0x03,0x0009,16,32,true,76584911,84293582,382924.555,421467.910,38543.355,4921.150,01 03 20 0D F7 0D F4 0D F5 0D F5 0D F5 0D F5 0D F4 0D F4 0D F5 0D F5 0D F5 0D F4 0D F5 0D F7 0D F5 0D F5 A4 C7,China Tower Modbus rsp slave=0x01 func=0x03 regs=0x0009..0x0018 bytes=32 crc=OK,response regs 0x0009..0x0018: cells count=16 C01=3.575V C02=3.572V C03=3.573V C04=3.573V C05=3.573V C06=3.573V C07=3.572V C08=3.572V C09=3.573V C10=3.573V C11=3.573V C12=3.572V C13=3.573V C14=3.575V C15=3.573V C16=3.573V min=3.572V#2 max=3.575V#1,
5,ok,request,0x01,0x03,0x0019,3,,true,123645026,125603342,618225.130,628016.710,9791.580,196757.220,01 03 00 19 00 03 D4 0C,China Tower Modbus req slave=0x01 func=0x03 start=0x0019 count=3 crc=OK,read holding registers start=0x0019 count=3 poll-block,
6,ok,response,0x01,0x03,0x0019,3,6,true,126566339,128858101,632831.695,644290.505,11458.810,4814.985,01 03 06 00 00 00 00 00 00 21 75,China Tower Modbus rsp slave=0x01 func=0x03 regs=0x0019..0x001B bytes=6 crc=OK,"response regs 0x0019..0x001B: warning=0x0000 (none), protection=0x0000 (none), status=0x0000 (none)",
7,ok,request,0x01,0x03,0x0000,13,,true,173654744,175613059,868273.720,878065.295,9791.575,223983.215,01 03 00 00 00 0D 84 0F,China Tower Modbus req slave=0x01 func=0x03 start=0x0000 count=13 crc=OK,read holding registers start=0x0000 count=13 poll-block,
8,ok,response,0x01,0x03,0x0000,13,26,true,176568605,183027221,882843.025,915136.105,32293.080,4777.730,01 03 1A 16 55 00 10 00 5D 01 F4 00 64 00 00 00 1A 00 1A 00 1A 0D F7 0D F4 0D F5 0D F5 0B 7B,China Tower Modbus rsp slave=0x01 func=0x03 regs=0x0000..0x000C bytes=26 crc=OK,"response regs 0x0000..0x000C: pack_v=57.17V, cell_count=16, SOC=93%, temp1=26C, temp2=26C, mos_temp=26C, cells count=4 C01=3.575V C02=3.572V C03=3.573V C04=3.573V min=3.572V#2 max=3.575V#1",
9,ok,request,0x01,0x03,0x0009,16,,true,223850837,225809152,1119254.185,1129045.760,9791.575,204118.080,01 03 00 09 00 10 94 04,China Tower Modbus req slave=0x01 func=0x03 start=0x0009 count=16 crc=OK,read holding registers start=0x0009 count=16 poll-block,
10,ok,response,0x01,0x03,0x0009,16,32,true,226779214,234487885,1133896.070,1172439.425,38543.355,4850.310,01 03 20 0D F7 0D F4 0D F5 0D F5 0D F5 0D F5 0D F4 0D F4 0D F5 0D F5 0D F5 0D F4 0D F5 0D F7 0D F7 0D F5 05 07,China Tower Modbus rsp slave=0x01 func=0x03 regs=0x0009..0x0018 bytes=32 crc=OK,response regs 0x0009..0x0018: cells count=16 C01=3.575V C02=3.572V C03=3.573V C04=3.573V C05=3.573V C06=3.573V C07=3.572V C08=3.572V C09=3.573V C10=3.573V C11=3.573V C12=3.572V C13=3.573V C14=3.575V C15=3.575V C16=3.573V min=3.572V#2 max=3.575V#1,
