sequence_no,complete,status,request_frame_no,response_frame_no,slave,func,start_reg,count,request_start_us,request_end_us,response_start_us,response_end_us,request_to_response_us,full_exchange_us,request_summary,response_summary
1,true,complete,1,2,0x01,0x03,0x0000,13,117306.550,127098.125,131871.505,164164.595,4773.380,46858.045,China Tower Modbus req slave=0x01 func=0x03 start=0x0000 count=13 crc=OK,China Tower Modbus rsp slave=0x01 func=0x03 regs=0x0000..0x000C bytes=26 crc=OK
2,true,complete,3,4,0x01,0x03,0x0009,16,368211.825,378003.405,382924.555,421467.910,4921.150,53256.085,China Tower Modbus req slave=0x01 func=0x03 start=0x0009 count=16 crc=OK,China Tower Modbus rsp slave=0x01 func=0x03 regs=0x0009..0x0018 bytes=32 crc=OK
3,true,complete,5,6,0x01,0x03,0x0019,3,618225.130,628016.710,632831.695,644290.505,4814.985,26065.375,China Tower Modbus req slave=0x01 func=0x03 start=0x0019 count=3 crc=OK,China Tower Modbus rsp slave=0x01 func=0x03 regs=0x0019..0x001B bytes=6 crc=OK
4,true,complete,7,8,0x01,0x03,0x0000,13,868273.720,878065.295,882843.025,915136.105,4777.730,46862.385,China Tower Modbus req slave=0x01 func=0x03 start=0x0000 count=13 crc=OK,China Tower Modbus rsp slave=0x01 func=0x03 regs=0x0000..0x000C bytes=26 crc=OK
5,true,complete,9,10,0x01,0x03,0x0009,16,1119254.185,1129045.760,1133896.070,1172439.425,4850.310,53185.240,China Tower Modbus req slave=0x01 func=0x03 start=0x0009 count=16 crc=OK,China Tower Modbus rsp slave=0x01 func=0x03 regs=0x0009..0x0018 bytes=32 crc=OK
6,true,complete,11,12,0x01,0x03,0x0019,3,1370172.065,1379963.640,1384949.115,1396407.910,4985.475,26235.845,China Tower Modbus req slave=0x01 func=0x03 start=0x0019 count=3 crc=OK,China Tower Modbus rsp slave=0x01 func=0x03 regs=0x0019..0x001B bytes=6 crc=OK
7,true,complete,13,14,0x01,0x03,0x0000,13,1620306.750,1630098.325,1634960.440,1667253.525,4862.115,46946.775,China Tower Modbus req slave=0x01 func=0x03 start=0x0000 count=13 crc=OK,China Tower Modbus rsp slave=0x01 func=0x03 regs=0x0000..0x000C bytes=26 crc=OK
8,true,complete,15,16,0x01,0x03,0x0009,16,1880267.600,1890059.180,1894972.220,1933515.585,4913.040,53247.985,China Tower Modbus req slave=0x01 func=0x03 start=0x0009 count=16 crc=OK,China Tower Modbus rsp slave=0x01 func=0x03 regs=0x0009..0x0018 bytes=32 crc=OK
9,true,complete,17,18,0x01,0x03,0x0019,3,2130259.825,2140051.405,2144983.545,2156442.340,4932.140,26182.515,China Tower Modbus req slave=0x01 func=0x03 start=0x0019 count=3 crc=OK,China Tower Modbus rsp slave=0x01 func=0x03 regs=0x0019..0x001B bytes=6 crc=OK
10,true,complete,19,20,0x01,0x03,0x0000,13,2380185.265,2389976.845,2394994.875,2427287.955,5018.030,47102.690,China Tower Modbus req slave=0x01 func=0x03 start=0x0000 count=13 crc=OK,China Tower Modbus rsp slave=0x01 func=0x03 regs=0x0000..0x000C bytes=26 crc=OK
11,true,complete,21,22,0x01,0x03,0x0009,16,2631149.495,2640941.070,2646047.925,2684591.285,5106.855,53441.790,China Tower Modbus req slave=0x01 func=0x03 start=0x0009 count=16 crc=OK,China Tower Modbus rsp slave=0x01 func=0x03 regs=0x0009..0x0018 bytes=32 crc=OK
12,true,complete,23,24,0x01,0x03,0x0019,3,2881210.080,2891001.660,2896059.245,2907518.045,5057.585,26307.965,China Tower Modbus req slave=0x01 func=0x03 start=0x0019 count=3 crc=OK,China Tower Modbus rsp slave=0x01 func=0x03 regs=0x0019..0x001B bytes=6 crc=OK
13,true,complete,25,26,0x01,0x03,0x0000,13,3131323.805,3141115.390,3145966.395,3178259.480,4851.005,46935.675,China Tower Modbus req slave=0x01 func=0x03 start=0x0000 count=13 crc=OK,China Tower Modbus rsp slave=0x01 func=0x03 regs=0x0000..0x000C bytes=26 crc=OK
14,true,complete,27,28,0x01,0x03,0x0009,16,3391283.835,3401075.415,3406394.870,3444938.230,5319.455,53654.395,China Tower Modbus req slave=0x01 func=0x03 start=0x0009 count=16 crc=OK,China Tower Modbus rsp slave=0x01 func=0x03 regs=0x0009..0x0018 bytes=32 crc=OK
15,true,complete,29,30,0x01,0x03,0x0019,3,3641193.750,3650985.330,3655989.500,3667448.310,5004.170,26254.560,China Tower Modbus req slave=0x01 func=0x03 start=0x0019 count=3 crc=OK,China Tower Modbus rsp slave=0x01 func=0x03 regs=0x0019..0x001B bytes=6 crc=OK
16,true,complete,31,32,0x01,0x03,0x0000,13,3891253.965,3901045.540,3906000.835,3938293.910,4955.295,47039.945,China Tower Modbus req slave=0x01 func=0x03 start=0x0000 count=13 crc=OK,China Tower Modbus rsp slave=0x01 func=0x03 regs=0x0000..0x000C bytes=26 crc=OK
17,true,complete,33,34,0x01,0x03,0x0009,16,4151271.290,4161062.870,4166012.615,4204555.975,4949.745,53284.685,China Tower Modbus req slave=0x01 func=0x03 start=0x0009 count=16 crc=OK,China Tower Modbus rsp slave=0x01 func=0x03 regs=0x0009..0x0018 bytes=32 crc=OK
18,true,complete,35,36,0x01,0x03,0x0019,3,4401304.880,4411096.460,4416023.945,4427482.740,4927.485,26177.860,China Tower Modbus req slave=0x01 func=0x03 start=0x0019 count=3 crc=OK,China Tower Modbus rsp slave=0x01 func=0x03 regs=0x0019..0x001B bytes=6 crc=OK
19,true,complete,37,38,0x01,0x03,0x0000,13,4661199.020,4670990.600,4676035.725,4708328.795,5045.125,47129.775,China Tower Modbus req slave=0x01 func=0x03 start=0x0000 count=13 crc=OK,China Tower Modbus rsp slave=0x01 func=0x03 regs=0x0000..0x000C bytes=26 crc=OK
20,true,complete,39,40,0x01,0x03,0x0009,16,4911271.910,4921063.490,4926047.045,4964590.410,4983.555,53318.500,China Tower Modbus req slave=0x01 func=0x03 start=0x0009 count=16 crc=OK,China Tower Modbus rsp slave=0x01 func=0x03 regs=0x0009..0x0018 bytes=32 crc=OK
21,true,complete,41,42,0x01,0x03,0x0019,3,5161280.710,5171072.290,5176162.535,5187621.340,5090.245,26340.630,China Tower Modbus req slave=0x01 func=0x03 start=0x0019 count=3 crc=OK,China Tower Modbus rsp slave=0x01 func=0x03 regs=0x0019..0x001B bytes=6 crc=OK
22,true,complete,43,44,0x01,0x03,0x0000,13,5412165.665,5421957.240,5427111.410,5459404.485,5154.170,47238.820,China Tower Modbus req slave=0x01 func=0x03 start=0x0000 count=13 crc=OK,China Tower Modbus rsp slave=0x01 func=0x03 regs=0x0000..0x000C bytes=26 crc=OK
23,true,complete,45,46,0x01,0x03,0x0009,16,5662269.715,5672061.295,5677122.735,5715666.100,5061.440,53396.385,China Tower Modbus req slave=0x01 func=0x03 start=0x0009 count=16 crc=OK,China Tower Modbus rsp slave=0x01 func=0x03 regs=0x0009..0x0018 bytes=32 crc=OK
24,true,complete,47,48,0x01,0x03,0x0019,3,5923190.115,5932981.695,5938176.230,5949635.025,5194.535,26444.910,China Tower Modbus req slave=0x01 func=0x03 start=0x0019 count=3 crc=OK,China Tower Modbus rsp slave=0x01 func=0x03 regs=0x0019..0x001B bytes=6 crc=OK
25,true,complete,49,50,0x01,0x03,0x0000,13,6173308.495,6183100.070,6188604.250,6220897.325,5504.180,47588.830,China Tower Modbus req slave=0x01 func=0x03 start=0x0000 count=13 crc=OK,China Tower Modbus rsp slave=0x01 func=0x03 regs=0x0000..0x000C bytes=26 crc=OK
26,true,complete,51,52,0x01,0x03,0x0009,16,6423264.195,6433055.775,6438094.705,6476638.065,5038.930,53373.870,China Tower Modbus req slave=0x01 func=0x03 start=0x0009 count=16 crc=OK,China Tower Modbus rsp slave=0x01 func=0x03 regs=0x0009..0x0018 bytes=32 crc=OK
27,true,complete,53,54,0x01,0x03,0x0019,3,6683287.715,6693079.290,6698106.485,6709565.295,5027.195,26277.580,China Tower Modbus req slave=0x01 func=0x03 start=0x0019 count=3 crc=OK,China Tower Modbus rsp slave=0x01 func=0x03 regs=0x0019..0x001B bytes=6 crc=OK
28,true,complete,55,56,0x01,0x03,0x0000,13,6933219.750,6943011.330,6948117.820,6980410.895,5106.490,47191.145,China Tower Modbus req slave=0x01 func=0x03 start=0x0000 count=13 crc=OK,China Tower Modbus rsp slave=0x01 func=0x03 regs=0x0000..0x000C bytes=26 crc=OK
29,true,complete,57,58,0x01,0x03,0x0009,16,7184240.680,7194032.255,7199170.860,7237714.210,5138.605,53473.530,China Tower Modbus req slave=0x01 func=0x03 start=0x0009 count=16 crc=OK,China Tower Modbus rsp slave=0x01 func=0x03 regs=0x0009..0x0018 bytes=32 crc=OK
30,true,complete,59,60,0x01,0x03,0x0019,3,7434282.590,7444074.170,7449182.180,7460640.985,5108.010,26358.395,China Tower Modbus req slave=0x01 func=0x03 start=0x0019 count=3 crc=OK,China Tower Modbus rsp slave=0x01 func=0x03 regs=0x0019..0x001B bytes=6 crc=OK
31,true,complete,61,62,0x01,0x03,0x0000,13,7684264.015,7694055.595,7699193.500,7731486.590,5137.905,47222.575,China Tower Modbus req slave=0x01 func=0x03 start=0x0000 count=13 crc=OK,China Tower Modbus rsp slave=0x01 func=0x03 regs=0x0000..0x000C bytes=26 crc=OK
32,true,complete,63,64,0x01,0x03,0x0009,16,7934218.930,7944010.510,7949204.835,7987748.195,5194.325,53529.265,China Tower Modbus req slave=0x01 func=0x03 start=0x0009 count=16 crc=OK,China Tower Modbus rsp slave=0x01 func=0x03 regs=0x0009..0x0018 bytes=32 crc=OK
33,true,complete,65,66,0x01,0x03,0x0019,3,8194267.310,8204058.885,8209216.610,8220675.410,5157.725,26408.100,China Tower Modbus req slave=0x01 func=0x03 start=0x0019 count=3 crc=OK,China Tower Modbus rsp slave=0x01 func=0x03 regs=0x0019..0x001B bytes=6 crc=OK
34,true,complete,67,68,0x01,0x03,0x0000,13,8454303.685,8464095.265,8469645.075,8501938.155,5549.810,47634.470,China Tower Modbus req slave=0x01 func=0x03 start=0x0000 count=13 crc=OK,China Tower Modbus rsp slave=0x01 func=0x03 regs=0x0000..0x000C bytes=26 crc=OK
35,true,complete,69,70,0x01,0x03,0x0009,16,8714258.200,8724049.775,8729240.155,8767783.530,5190.380,53525.330,China Tower Modbus req slave=0x01 func=0x03 start=0x0009 count=16 crc=OK,China Tower Modbus rsp slave=0x01 func=0x03 regs=0x0009..0x0018 bytes=32 crc=OK
36,true,complete,71,72,0x01,0x03,0x0019,3,8965155.640,8974947.220,8979251.485,8990710.295,4304.265,25554.655,China Tower Modbus req slave=0x01 func=0x03 start=0x0019 count=3 crc=OK,China Tower Modbus rsp slave=0x01 func=0x03 regs=0x0019..0x001B bytes=6 crc=OK
37,true,complete,73,74,0x01,0x03,0x0000,13,9215283.430,9225075.005,9230304.525,9262597.610,5229.520,47314.180,China Tower Modbus req slave=0x01 func=0x03 start=0x0000 count=13 crc=OK,China Tower Modbus rsp slave=0x01 func=0x03 regs=0x0000..0x000C bytes=26 crc=OK
38,true,complete,75,76,0x01,0x03,0x0009,16,9465460.790,9475252.370,9480315.855,9518859.215,5063.485,53398.425,China Tower Modbus req slave=0x01 func=0x03 start=0x0009 count=16 crc=OK,China Tower Modbus rsp slave=0x01 func=0x03 regs=0x0009..0x0018 bytes=32 crc=OK
39,true,complete,77,78,0x01,0x03,0x0019,3,9725207.820,9734999.400,9739285.925,9750744.720,4286.525,25536.900,China Tower Modbus req slave=0x01 func=0x03 start=0x0019 count=3 crc=OK,China Tower Modbus rsp slave=0x01 func=0x03 regs=0x0019..0x001B bytes=6 crc=OK
40,false,unmatched_request,79,,0x01,0x03,0x0000,13,9976143.885,9985935.465,,,,,China Tower Modbus req slave=0x01 func=0x03 start=0x0000 count=13 crc=OK,
