frame_no,status,frame_type,can_id,rtr_type,dlc,start_sample,end_sample,start_us,end_us,duration_us,gap_from_previous_us,data_hex,summary,decoded,error
1,ok,standard,0x355,data,8,11298754,11345434,56493.770,56727.170,233.400,,63 00 64 00 00 00 00 00,Deye CAN v2026.07.03a 0x355 SOC/SOH DLC=8 [63 00 64 00 00 00 00 00],0x355 SOC=99% SOH=100%,
2,ok,standard,0x356,data,8,31299662,31345542,156498.310,156727.710,229.400,99771.140,52 16 00 00 2B 01 00 00,Deye CAN v2026.07.03a 0x356 pack DLC=8 [52 16 00 00 2B 01 00 00],0x356 pack V=57.14V I=+0.0A temp=29.9C,
3,ok,standard,0x35C,data,8,51311446,51360126,256557.230,256800.630,243.400,99829.520,C0 00 00 00 00 00 00 00,Deye CAN v2026.07.03a 0x35C status DLC=8 [C0 00 00 00 00 00 00 00],0x35C state raw=0xC0 charge=ON discharge=ON balance=OFF raw=C0 00 00 00 00 00 00 00,
4,ok,standard,0x35E,data,8,71301625,71346305,356508.125,356731.525,223.400,99707.495,4A 4B 2D 42 4D 53 00 00,Deye CAN v2026.07.03a 0x35E identity DLC=8 [4A 4B 2D 42 4D 53 00 00],0x35E identity 'JK-BMS' raw=4A 4B 2D 42 4D 53 00 00,
5,ok,standard,0x370,data,8,91302600,91348080,456513.000,456740.400,227.400,99781.475,1E 00 1D 00 F5 0D F3 0D,Deye CAN v2026.07.03a 0x370 temperature/cell extremes DLC=8 [1E 00 1D 00 F5 0D F3 0D],0x370 temp max=30.0C min=29.0C cell_max=3.573V cell_min=3.571V,
6,ok,standard,0x371,data,8,111303515,111350995,556517.575,556754.975,237.400,99777.175,04 00 03 00 01 00 04 00,Deye CAN v2026.07.03a 0x371 extreme indexes DLC=8 [04 00 03 00 01 00 04 00],0x371 temp_max_sensor=4 temp_min_sensor=3 cell_max_idx=1 cell_min_idx=4,
7,ok,standard,0x359,data,8,131305227,131352707,656526.135,656763.535,237.400,99771.160,00 00 00 00 01 50 4E 00,Deye CAN v2026.07.03a 0x359 module info DLC=8 [00 00 00 00 01 50 4E 00],0x359 module info modules=1 tag='PN' raw=00 00 00 00 01 50 4E 00,
8,ok,standard,0x351,data,8,151312544,151358024,756562.720,756790.120,227.400,99799.185,9E 02 7C 20 B6 03 E3 00,Deye CAN v2026.07.03a 0x351 limits DLC=8 [9E 02 7C 20 B6 03 E3 00],0x351 limits chgV=67.0V chgI=831.6A disI=95.0A lowV=22.7V,
9,ok,standard,0x355,data,8,171324661,171371341,856623.305,856856.705,233.400,99833.185,63 00 64 00 00 00 00 00,Deye CAN v2026.07.03a 0x355 SOC/SOH DLC=8 [63 00 64 00 00 00 00 00],0x355 SOC=99% SOH=100%,
10,ok,standard,0x356,data,8,191317967,191363847,956589.835,956819.235,229.400,99733.130,52 16 00 00 2B 01 00 00,Deye CAN v2026.07.03a 0x356 pack DLC=8 [52 16 00 00 2B 01 00 00],0x356 pack V=57.14V I=+0.0A temp=29.9C,
