frame_no,status,type,slave,func,start_reg,count,byte_count,crc_ok,start_sample,end_sample,start_us,end_us,duration_us,gap_from_previous_us,raw_hex,summary,decoded,error
1,ok,request,2,99,,,,true,116334822,120059338,581674.110,600296.690,18622.580,,7E 32 30 30 32 34 36 36 33 30 30 30 30 46 44 41 39 0D,Pylon req addr=0x02 cid2=0x63 charge/discharge status chk=OK len=0 empty,request charge/discharge status empty payload,
2,ok,response,2,0,,,,true,121143794,128644133,605718.970,643220.665,37501.695,5422.280,7E 32 30 30 32 34 36 30 30 44 30 31 32 45 31 30 30 41 32 38 30 30 31 37 43 30 37 36 43 43 30 46 39 42 43 0D,Pylon rsp addr=0x02 OK cid2=0x63 chk=OK charge/discharge status len=18,"0x63 status=0xC0 (charge=ON, discharge=ON, balance=OFF)",
3,ok,request,2,97,,,,true,276326753,280051283,1381633.765,1400256.415,18622.650,738413.100,7E 32 30 30 32 34 36 36 31 30 30 30 30 46 44 41 42 0D,Pylon req addr=0x02 cid2=0x61 analog/telemetry chk=OK len=0 empty,request analog/telemetry empty payload,
4,ok,response,2,0,,,,true,281151255,305319040,1405756.275,1526595.200,120838.925,5499.860,7E 32 30 30 32 34 36 30 30 38 30 36 32 44 45 46 33 30 30 30 30 35 36 30 30 30 30 30 30 30 30 36 34 36 34 30 44 46 31 30 30 30 31 30 44 45 44 30 30 30 32 30 42 45 41 30 42 45 43 30 30 30 34 30 42 45 38 30 30 30 32 30 42 44 36 30 42 44 36 30 30 30 30 30 42 44 36 30 30 30 30 30 42 44 36 30 42 44 36 30 30 30 30 30 42 44 36 30 30 30 30 45 38 43 37 0D,Pylon rsp addr=0x02 OK cid2=0x61 chk=OK analog/telemetry len=98,0x61 V=57.075V I=0.0A SOC=86% SOH=100% cycles=0 cell_max=3.569V#1 cell_min=3.565V#2 MOS=31.9C T1=32.1C T2=31.7C T4=29.9C T5=29.9C,
5,ok,request,34,97,,,,true,436310404,440034930,2181552.020,2200174.650,18622.630,654956.820,7E 32 30 32 32 34 36 36 31 30 30 30 30 46 44 41 39 0D,Pylon req addr=0x22 cid2=0x61 analog/telemetry chk=OK len=0 empty,request analog/telemetry empty payload,
6,ok,response,2,0,,,,true,441158717,465326501,2205793.585,2326632.505,120838.920,5618.935,7E 32 30 30 32 34 36 30 30 38 30 36 32 44 45 46 33 30 30 30 30 35 36 30 30 30 30 30 30 30 30 36 34 36 34 30 44 46 31 30 30 30 31 30 44 45 44 30 30 30 32 30 42 45 41 30 42 45 43 30 30 30 34 30 42 45 38 30 30 30 32 30 42 44 36 30 42 44 36 30 30 30 30 30 42 44 36 30 30 30 30 30 42 44 36 30 42 44 36 30 30 30 30 30 42 44 36 30 30 30 30 45 38 43 37 0D,Pylon rsp addr=0x02 OK cid2=0x61 chk=OK analog/telemetry len=98,0x61 V=57.075V I=0.0A SOC=86% SOH=100% cycles=0 cell_max=3.569V#1 cell_min=3.565V#2 MOS=31.9C T1=32.1C T2=31.7C T4=29.9C T5=29.9C,
7,ok,request,2,99,,,,true,604299776,608024299,3021498.880,3040121.495,18622.615,694866.375,7E 32 30 30 32 34 36 36 33 30 30 30 30 46 44 41 39 0D,Pylon req addr=0x02 cid2=0x63 charge/discharge status chk=OK len=0 empty,request charge/discharge status empty payload,
8,ok,response,2,0,,,,true,609083214,616583555,3045416.070,3082917.775,37501.705,5294.575,7E 32 30 30 32 34 36 30 30 44 30 31 32 45 31 30 30 41 32 38 30 30 31 37 43 30 37 36 43 43 30 46 39 42 43 0D,Pylon rsp addr=0x02 OK cid2=0x63 chk=OK charge/discharge status len=18,"0x63 status=0xC0 (charge=ON, discharge=ON, balance=OFF)",
9,ok,request,2,97,,,,true,764291641,768016174,3821458.205,3840080.870,18622.665,738540.430,7E 32 30 30 32 34 36 36 31 30 30 30 30 46 44 41 42 0D,Pylon req addr=0x02 cid2=0x61 analog/telemetry chk=OK len=0 empty,request analog/telemetry empty payload,
10,ok,response,2,0,,,,true,769194847,793362630,3845974.235,3966813.150,120838.915,5893.365,7E 32 30 30 32 34 36 30 30 38 30 36 32 44 45 46 35 30 30 30 30 35 36 30 30 30 30 30 30 30 30 36 34 36 34 30 44 46 31 30 30 30 31 30 44 45 44 30 30 30 32 30 42 45 41 30 42 45 43 30 30 30 34 30 42 45 38 30 30 30 32 30 42 44 36 30 42 44 36 30 30 30 30 30 42 44 36 30 30 30 30 30 42 44 36 30 42 44 36 30 30 30 30 30 42 44 36 30 30 30 30 45 38 43 35 0D,Pylon rsp addr=0x02 OK cid2=0x61 chk=OK analog/telemetry len=98,0x61 V=57.077V I=0.0A SOC=86% SOH=100% cycles=0 cell_max=3.569V#1 cell_min=3.565V#2 MOS=31.9C T1=32.1C T2=31.7C T4=29.9C T5=29.9C,
