frame_no,status,type,slave,func,start_reg,count,byte_count,crc_ok,start_sample,end_sample,start_us,end_us,duration_us,gap_from_previous_us,raw_hex,summary,decoded,error
1,ok,request,2,97,,,,true,47851415,51575949,239257.075,257879.745,18622.670,,7E 32 30 30 32 34 36 36 31 30 30 30 30 46 44 41 42 0D,Pylon req addr=0x02 cid2=0x61 analog/telemetry chk=OK len=0 empty,request analog/telemetry empty payload,
2,ok,request,18,97,,,,true,223841958,227566488,1119209.790,1137832.440,18622.650,861330.045,7E 32 30 31 32 34 36 36 31 30 30 30 30 46 44 41 41 0D,Pylon req addr=0x12 cid2=0x61 analog/telemetry chk=OK len=0 empty,request analog/telemetry empty payload,
3,ok,response,18,0,,,,true,229974013,254140536,1149870.065,1270702.680,120832.615,12037.625,7E 32 30 31 32 34 36 30 30 38 30 36 32 44 38 41 34 30 30 30 30 34 36 30 30 30 30 30 30 30 30 36 34 36 34 30 44 38 45 30 30 30 31 30 44 38 35 30 30 30 31 30 42 41 45 30 42 42 31 30 30 30 31 30 42 41 43 30 30 30 31 30 42 42 31 30 42 42 31 30 30 30 31 30 42 42 31 30 30 30 31 30 42 41 45 30 42 42 31 30 30 30 31 30 42 41 43 30 30 30 31 45 39 30 33 0D,Pylon rsp addr=0x12 OK cid2=0x61 chk=OK analog/telemetry len=98,0x61 V=55.460V I=0.0A SOC=70% SOH=100% cycles=0 cell_max=3.470V#1 cell_min=3.461V#1 MOS=25.9C T1=26.2C T2=25.7C T4=26.2C T5=26.2C,
4,ok,request,18,99,,,,true,386632965,390357496,1933164.825,1951787.480,18622.655,662462.145,7E 32 30 31 32 34 36 36 33 30 30 30 30 46 44 41 38 0D,Pylon req addr=0x12 cid2=0x63 charge/discharge status chk=OK len=0 empty,request charge/discharge status empty payload,
5,ok,response,18,0,,,,true,392267237,399767197,1961336.185,1998835.985,37499.800,9548.705,7E 32 30 31 32 34 36 30 30 44 30 31 32 45 31 30 30 43 38 30 30 30 37 30 38 46 38 46 38 43 30 46 39 41 42 0D,Pylon rsp addr=0x12 OK cid2=0x63 chk=OK charge/discharge status len=18,"0x63 status=0xC0 (charge=ON, discharge=ON, balance=OFF)",
6,ok,request,18,97,,,,true,543817963,547542497,2719089.815,2737712.485,18622.670,720253.830,7E 32 30 31 32 34 36 36 31 30 30 30 30 46 44 41 41 0D,Pylon req addr=0x12 cid2=0x61 analog/telemetry chk=OK len=0 empty,request analog/telemetry empty payload,
7,ok,response,18,0,,,,true,549973256,574139778,2749866.280,2870698.890,120832.610,12153.795,7E 32 30 31 32 34 36 30 30 38 30 36 32 44 38 41 45 30 30 30 30 34 36 30 30 30 30 30 30 30 30 36 34 36 34 30 44 38 45 30 30 30 31 30 44 38 35 30 30 30 31 30 42 41 45 30 42 42 31 30 30 30 31 30 42 41 43 30 30 30 31 30 42 42 31 30 42 42 31 30 30 30 31 30 42 42 31 30 30 30 31 30 42 41 45 30 42 42 31 30 30 30 31 30 42 41 43 30 30 30 31 45 38 46 32 0D,Pylon rsp addr=0x12 OK cid2=0x61 chk=OK analog/telemetry len=98,0x61 V=55.470V I=0.0A SOC=70% SOH=100% cycles=0 cell_max=3.470V#1 cell_min=3.461V#1 MOS=25.9C T1=26.2C T2=25.7C T4=26.2C T5=26.2C,
8,ok,request,34,97,,,,true,703805766,707530300,3519028.830,3537651.500,18622.670,648329.940,7E 32 30 32 32 34 36 36 31 30 30 30 30 46 44 41 39 0D,Pylon req addr=0x22 cid2=0x61 analog/telemetry chk=OK len=0 empty,request analog/telemetry empty payload,
9,ok,request,18,99,,,,true,879792069,883516596,4398960.345,4417582.980,18622.635,861308.845,7E 32 30 31 32 34 36 36 33 30 30 30 30 46 44 41 38 0D,Pylon req addr=0x12 cid2=0x63 charge/discharge status chk=OK len=0 empty,request charge/discharge status empty payload,
10,ok,response,18,0,,,,true,885464562,892964524,4427322.810,4464822.620,37499.810,9739.830,7E 32 30 31 32 34 36 30 30 44 30 31 32 45 31 30 30 43 38 30 30 30 37 30 38 46 38 46 38 43 30 46 39 41 42 0D,Pylon rsp addr=0x12 OK cid2=0x63 chk=OK charge/discharge status len=18,"0x63 status=0xC0 (charge=ON, discharge=ON, balance=OFF)",
11,ok,request,18,97,,,,true,1039784233,1043508767,5198921.165,5217543.835,18622.670,734098.545,7E 32 30 31 32 34 36 36 31 30 30 30 30 46 44 41 41 0D,Pylon req addr=0x12 cid2=0x61 analog/telemetry chk=OK len=0 empty,request analog/telemetry empty payload,
