sequence_no,complete,status,request_frame_no,response_frame_no,slave,func,start_reg,count,request_start_us,request_end_us,response_start_us,response_end_us,request_to_response_us,full_exchange_us,request_summary,response_summary
1,true,complete,2,3,18,97,,,1119209.790,1137832.440,1149870.065,1270702.680,12037.625,151492.890,Pylon req addr=0x12 cid2=0x61 analog/telemetry chk=OK len=0 empty,Pylon rsp addr=0x12 OK cid2=0x61 chk=OK analog/telemetry len=98
2,true,complete,4,5,18,99,,,1933164.825,1951787.480,1961336.185,1998835.985,9548.705,65671.160,Pylon req addr=0x12 cid2=0x63 charge/discharge status chk=OK len=0 empty,Pylon rsp addr=0x12 OK cid2=0x63 chk=OK charge/discharge status len=18
3,true,complete,6,7,18,97,,,2719089.815,2737712.485,2749866.280,2870698.890,12153.795,151609.075,Pylon req addr=0x12 cid2=0x61 analog/telemetry chk=OK len=0 empty,Pylon rsp addr=0x12 OK cid2=0x61 chk=OK analog/telemetry len=98
4,true,complete,9,10,18,99,,,4398960.345,4417582.980,4427322.810,4464822.620,9739.830,65862.275,Pylon req addr=0x12 cid2=0x63 charge/discharge status chk=OK len=0 empty,Pylon rsp addr=0x12 OK cid2=0x63 chk=OK charge/discharge status len=18
5,true,complete,11,12,18,97,,,5198921.165,5217543.835,5227395.830,5348228.450,9851.995,149307.285,Pylon req addr=0x12 cid2=0x61 analog/telemetry chk=OK len=0 empty,Pylon rsp addr=0x12 OK cid2=0x61 chk=OK analog/telemetry len=98
6,true,complete,14,15,18,99,,,6878767.205,6897389.875,6907306.865,6944806.670,9916.990,66039.465,Pylon req addr=0x12 cid2=0x63 charge/discharge status chk=OK len=0 empty,Pylon rsp addr=0x12 OK cid2=0x63 chk=OK charge/discharge status len=18
7,true,complete,16,17,18,97,,,7678729.875,7697352.540,7707373.390,7828206.000,10020.850,149476.125,Pylon req addr=0x12 cid2=0x61 analog/telemetry chk=OK len=0 empty,Pylon rsp addr=0x12 OK cid2=0x61 chk=OK analog/telemetry len=98
8,true,complete,19,20,18,99,,,9358602.845,9377225.515,9386294.945,9423794.750,9069.430,65191.905,Pylon req addr=0x12 cid2=0x63 charge/discharge status chk=OK len=0 empty,Pylon rsp addr=0x12 OK cid2=0x63 chk=OK charge/discharge status len=18
9,false,request_replaced,1,,2,97,,,239257.075,257879.745,,,,,Pylon req addr=0x02 cid2=0x61 analog/telemetry chk=OK len=0 empty,
10,true,complete,22,23,18,97,,,11038494.065,11057116.710,11066349.325,11187181.940,9232.615,148687.875,Pylon req addr=0x12 cid2=0x61 analog/telemetry chk=OK len=0 empty,Pylon rsp addr=0x12 OK cid2=0x61 chk=OK analog/telemetry len=98
