frame_no,status,frame_type,can_id,rtr_type,dlc,start_sample,end_sample,start_us,end_us,duration_us,gap_from_previous_us,data_hex,summary,decoded,error
1,ok,standard,0x311,data,8,810804,856704,4054.020,4283.520,229.500,,02 40 01 7C 23 B6 00 34,Growatt CAN 0x311 status/limits DLC=8 [02 40 01 7C 23 B6 00 34],0x311 limits chgV=57.6V chgI=38.0A disI=914.2A status_tail=0x0034,
2,ok,standard,0x312,data,8,4765458,4813758,23827.290,24068.790,241.500,19543.770,00 00 00 00 01 00 00 00,Growatt CAN 0x312 protections/alarms DLC=8 [00 00 00 00 01 00 00 00],0x312 prot1=0x00 prot2=0x00 alm1=0x00 alm2=0x00 pack=1 pwrred=0x0000,
3,ok,standard,0x313,data,8,8753312,8799612,43766.560,43998.060,231.500,19697.770,16 4C 00 00 01 3E 56 64,Growatt CAN 0x313 pack V/I/SOC/SOH DLC=8 [16 4C 00 00 01 3E 56 64],0x313 pack V=57.08V I=+0.0A Tavg=31.8C SOC=86%% SOH=100%% lifeWarn=0,
4,ok,standard,0x314,data,8,12771566,12819466,63857.830,64097.330,239.500,19859.770,01 AE 01 F4 00 06 00 00,Growatt CAN 0x314 capacity/delta/cycles DLC=8 [01 AE 01 F4 00 06 00 00],0x314 RM=4.30Ah FCC=5.00Ah dV=6mV cycles=0,
5,ok,standard,0x319,data,8,16763020,16808920,83815.100,84044.600,229.500,19717.770,C0 0D F3 0D ED 01 04 00,Growatt CAN 0x319 cell extremes/status DLC=8 [C0 0D F3 0D ED 01 04 00],0x319 cell_max=3.571V#1 cell_min=3.565V#4 dV=6mV flags=0xC0 chem=LFP chgEn=0 disEn=0,
6,ok,standard,0x320,data,8,20754069,20798769,103770.345,103993.845,223.500,19725.745,4A 4B 0F 26 0F 13 07 80,Growatt CAN 0x320 maker/software DLC=8 [4A 4B 0F 26 0F 13 07 80],0x320 maker='JK' hw=0x0F swL=0x26 swHext=0x0F compat=0x13 ext=0x07,
7,ok,standard,0x321,data,8,24772721,24821021,123863.605,124105.105,241.500,19869.760,00 00 00 00 00 00 00 00,Growatt CAN 0x321 upgrade info DLC=8 [00 00 00 00 00 00 00 00],0x321 remote-upgrade unused (all zero),
8,ok,standard,0x322,data,8,28754175,28800075,143770.875,144000.375,229.500,19665.770,01 3D 00 00 02 04 56 56,Growatt CAN 0x322 temperature/SOC range DLC=8 [01 3D 00 00 02 04 56 56],0x322 Tmax=31.7C#2 Tmin=0.0C#4 SOCmax=86%% SOCmin=86%%,
9,ok,standard,0x323,data,8,32766030,32814730,163830.150,164073.650,243.500,19829.775,10 00 00 00 00 00 00 00,Growatt CAN 0x323 cell count/protection/warning DLC=8 [10 00 00 00 00 00 00 00],0x323 cellCount=16 prot3=0x00 prot4=0x00 prot5=0x00 warn3=0x00,
10,ok,standard,0x311,data,8,36764681,36810581,183823.405,184052.905,229.500,19749.755,02 40 01 7C 23 B6 00 34,Growatt CAN 0x311 status/limits DLC=8 [02 40 01 7C 23 B6 00 34],0x311 limits chgV=57.6V chgI=38.0A disI=914.2A status_tail=0x0034,
11,ok,standard,0x312,data,8,40900543,40948843,204502.715,204744.215,241.500,20449.810,00 00 00 00 01 00 00 00,Growatt CAN 0x312 protections/alarms DLC=8 [00 00 00 00 01 00 00 00],0x312 prot1=0x00 prot2=0x00 alm1=0x00 alm2=0x00 pack=1 pwrred=0x0000,
12,ok,standard,0x301,data,8,43348745,43393045,216743.725,216965.225,221.500,11999.510,0B 16 21 2C 37 46 4D 58,Growatt CAN 0x301 Growatt? DLC=8 [0B 16 21 2C 37 46 4D 58],0x301 unknown raw=0B 16 21 2C 37 46 4D 58,
13,ok,standard,0x313,data,8,44765988,44811888,223829.940,224059.440,229.500,6864.715,16 4B 00 00 01 3E 56 64,Growatt CAN 0x313 pack V/I/SOC/SOH DLC=8 [16 4B 00 00 01 3E 56 64],0x313 pack V=57.07V I=+0.0A Tavg=31.8C SOC=86%% SOH=100%% lifeWarn=0,
14,ok,standard,0x314,data,8,48755439,48802939,243777.195,244014.695,237.500,19717.755,01 AE 01 F4 00 02 00 00,Growatt CAN 0x314 capacity/delta/cycles DLC=8 [01 AE 01 F4 00 02 00 00],0x314 RM=4.30Ah FCC=5.00Ah dV=2mV cycles=0,
15,ok,standard,0x319,data,8,52755693,52801993,263778.465,264009.965,231.500,19763.770,C0 0D F3 0D F1 01 04 00,Growatt CAN 0x319 cell extremes/status DLC=8 [C0 0D F3 0D F1 01 04 00],0x319 cell_max=3.571V#1 cell_min=3.569V#4 dV=2mV flags=0xC0 chem=LFP chgEn=0 disEn=0,
16,ok,standard,0x320,data,8,56773548,56818248,283867.740,284091.240,223.500,19857.775,4A 4B 0F 26 0F 13 07 80,Growatt CAN 0x320 maker/software DLC=8 [4A 4B 0F 26 0F 13 07 80],0x320 maker='JK' hw=0x0F swL=0x26 swHext=0x0F compat=0x13 ext=0x07,
17,ok,standard,0x321,data,8,60764599,60812899,303822.995,304064.495,241.500,19731.755,00 00 00 00 00 00 00 00,Growatt CAN 0x321 upgrade info DLC=8 [00 00 00 00 00 00 00 00],0x321 remote-upgrade unused (all zero),
18,ok,standard,0x322,data,8,64774854,64820754,323874.270,324103.770,229.500,19809.775,01 3D 00 00 02 04 56 56,Growatt CAN 0x322 temperature/SOC range DLC=8 [01 3D 00 00 02 04 56 56],0x322 Tmax=31.7C#2 Tmin=0.0C#4 SOCmax=86%% SOCmin=86%%,
19,ok,standard,0x323,data,8,68756703,68805403,343783.515,344027.015,243.500,19679.745,10 00 00 00 00 00 00 00,Growatt CAN 0x323 cell count/protection/warning DLC=8 [10 00 00 00 00 00 00 00],0x323 cellCount=16 prot3=0x00 prot4=0x00 prot5=0x00 warn3=0x00,
20,ok,standard,0x311,data,8,72842162,72888062,364210.810,364440.310,229.500,20183.795,02 40 01 7C 23 B6 00 34,Growatt CAN 0x311 status/limits DLC=8 [02 40 01 7C 23 B6 00 34],0x311 limits chgV=57.6V chgI=38.0A disI=914.2A status_tail=0x0034,
21,ok,standard,0x312,data,8,76758013,76806313,383790.065,384031.565,241.500,19349.755,00 00 00 00 01 00 00 00,Growatt CAN 0x312 protections/alarms DLC=8 [00 00 00 00 01 00 00 00],0x312 prot1=0x00 prot2=0x00 alm1=0x00 alm2=0x00 pack=1 pwrred=0x0000,
