frame_no,status,type,slave,func,start_reg,count,byte_count,crc_ok,start_sample,end_sample,start_us,end_us,duration_us,gap_from_previous_us,raw_hex,summary,decoded,error
1,ok,request,0x01,0x03,0x0001,15,,true,75318923,76985635,376594.615,384928.175,8333.560,,01 03 00 01 00 0F 54 0E,Growatt RS485 req slave=0x01 func=0x03 start=0x0001 count=15 crc=OK,read holding registers start=0x0001 count=15,
2,ok,response,0x01,0x03,0x0001,15,30,true,77961307,85253304,389806.535,426266.520,36459.985,4878.360,01 03 1E F0 FF F0 FF F0 FF FF FF 00 00 56 00 00 00 00 64 00 00 F1 00 01 0D EE 00 4A 00 4B 00 00 00 A2 32,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0001..0x000F bytes=30 crc=OK,response regs 0x0001..0x000F: regs 0x0001..0x000F,
3,ok,request,0x01,0x03,0x0070,17,,true,175321935,176988648,876609.675,884943.240,8333.565,450343.155,01 03 00 70 00 11 84 1D,Growatt RS485 req slave=0x01 func=0x03 start=0x0070 count=17 crc=OK,read holding registers start=0x0070 count=17,
4,ok,response,0x01,0x03,0x0070,17,34,true,177965972,186091343,889829.860,930456.715,40626.855,4886.620,01 03 22 0D F1 0D ED 0D EF 0D EF 0D F1 0D F1 0D EE 0D EE 0D EF 0D EE 0D EE 0D EE 0D EE 0D EF 0D F1 0D F1 00 00 50 9A,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0070..0x0080 bytes=34 crc=OK,response regs 0x0070..0x0080: cells count=15 min=3.565V#1 max=3.569V#4,
5,ok,request,0x01,0x03,0x0010,27,,true,275324948,276991660,1376624.740,1384958.300,8333.560,446168.025,01 03 00 10 00 1B 04 04,Growatt RS485 req slave=0x01 func=0x03 start=0x0010 count=27 crc=OK,read holding registers start=0x0010 count=27,
6,ok,response,0x01,0x03,0x0010,27,54,true,277991471,290283701,1389957.355,1451418.505,61461.150,4999.055,01 03 36 00 00 00 00 02 0B 04 69 00 00 00 56 16 4B 00 00 00 20 0E D8 01 AE 01 F4 01 01 00 00 00 00 00 00 00 64 16 80 00 00 4A 38 00 00 0D F1 0D EE 00 01 00 07 00 00 00 00 F1 71,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0010..0x002A bytes=54 crc=OK,"response regs 0x0010..0x002A: status=0x0469 mode=standby err=NO bal=ON master=standalone sp=standby, prot=0x0000 (none), SOC=86%%, pack_v=57.07V, |pack_i|=0.00A, temp=32C",
7,ok,request,0x01,0x03,0x0001,15,,true,375327960,376994673,1876639.800,1884973.365,8333.565,425221.295,01 03 00 01 00 0F 54 0E,Growatt RS485 req slave=0x01 func=0x03 start=0x0001 count=15 crc=OK,read holding registers start=0x0001 count=15,
8,ok,response,0x01,0x03,0x0001,15,30,true,377975302,385267301,1889876.510,1926336.505,36459.995,4903.145,01 03 1E F0 FF F0 FF F0 FF FF FF 00 00 56 00 00 00 00 64 00 00 F1 00 01 0D EE 00 4A 00 4B 00 00 00 A2 32,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0001..0x000F bytes=30 crc=OK,response regs 0x0001..0x000F: regs 0x0001..0x000F,
9,ok,request,0x01,0x03,0x0070,17,,true,475330972,476997685,2376654.860,2384988.425,8333.565,450318.355,01 03 00 70 00 11 84 1D,Growatt RS485 req slave=0x01 func=0x03 start=0x0070 count=17 crc=OK,read holding registers start=0x0070 count=17,
10,ok,response,0x01,0x03,0x0070,17,34,true,478084139,486209510,2390420.695,2431047.550,40626.855,5432.270,01 03 22 0D F1 0D ED 0D EE 0D EE 0D F1 0D F1 0D EF 0D EF 0D EF 0D EE 0D EE 0D ED 0D EE 0D EF 0D EF 0D F1 00 00 E4 72,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0070..0x0080 bytes=34 crc=OK,response regs 0x0070..0x0080: cells count=15 min=3.565V#1 max=3.569V#4,
