sequence_no,complete,status,request_frame_no,response_frame_no,slave,func,start_reg,count,request_start_us,request_end_us,response_start_us,response_end_us,request_to_response_us,full_exchange_us,request_summary,response_summary
1,true,complete,1,2,0x01,0x03,0x0001,15,376594.615,384928.175,389806.535,426266.520,4878.360,49671.905,Growatt RS485 req slave=0x01 func=0x03 start=0x0001 count=15 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0001..0x000F bytes=30 crc=OK
2,true,complete,3,4,0x01,0x03,0x0070,17,876609.675,884943.240,889829.860,930456.715,4886.620,53847.040,Growatt RS485 req slave=0x01 func=0x03 start=0x0070 count=17 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0070..0x0080 bytes=34 crc=OK
3,true,complete,5,6,0x01,0x03,0x0010,27,1376624.740,1384958.300,1389957.355,1451418.505,4999.055,74793.765,Growatt RS485 req slave=0x01 func=0x03 start=0x0010 count=27 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0010..0x002A bytes=54 crc=OK
4,true,complete,7,8,0x01,0x03,0x0001,15,1876639.800,1884973.365,1889876.510,1926336.505,4903.145,49696.705,Growatt RS485 req slave=0x01 func=0x03 start=0x0001 count=15 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0001..0x000F bytes=30 crc=OK
5,true,complete,9,10,0x01,0x03,0x0070,17,2376654.860,2384988.425,2390420.695,2431047.550,5432.270,54392.690,Growatt RS485 req slave=0x01 func=0x03 start=0x0070 count=17 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0070..0x0080 bytes=34 crc=OK
6,true,complete,11,12,0x01,0x03,0x0010,27,2876669.925,2885003.485,2889923.175,2951384.320,4919.690,74714.395,Growatt RS485 req slave=0x01 func=0x03 start=0x0010 count=27 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0010..0x002A bytes=54 crc=OK
7,true,complete,13,14,0x01,0x03,0x0001,15,3376684.985,3385018.545,3389946.505,3426406.490,4927.960,49721.505,Growatt RS485 req slave=0x01 func=0x03 start=0x0001 count=15 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0001..0x000F bytes=30 crc=OK
8,true,complete,15,16,0x01,0x03,0x0070,17,3876700.045,3885033.610,3889969.835,3930596.680,4936.225,53896.635,Growatt RS485 req slave=0x01 func=0x03 start=0x0070 count=17 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0070..0x0080 bytes=34 crc=OK
9,true,complete,17,18,0x01,0x03,0x0010,27,4376715.105,4385048.670,4389993.160,4451454.320,4944.490,74739.215,Growatt RS485 req slave=0x01 func=0x03 start=0x0010 count=27 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0010..0x002A bytes=54 crc=OK
10,true,complete,19,20,0x01,0x03,0x0001,15,4876730.170,4885063.730,4890016.495,4926476.485,4952.765,49746.315,Growatt RS485 req slave=0x01 func=0x03 start=0x0001 count=15 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0001..0x000F bytes=30 crc=OK
11,true,complete,21,22,0x01,0x03,0x0070,17,5376745.230,5385078.795,5390039.825,5430666.670,4961.030,53921.440,Growatt RS485 req slave=0x01 func=0x03 start=0x0070 count=17 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0070..0x0080 bytes=34 crc=OK
12,true,complete,23,24,0x01,0x03,0x0010,27,5876760.290,5885093.855,5890063.160,5951524.305,4969.305,74764.015,Growatt RS485 req slave=0x01 func=0x03 start=0x0010 count=27 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0010..0x002A bytes=54 crc=OK
13,true,complete,25,26,0x01,0x03,0x0001,15,6376775.355,6385108.915,6390190.655,6426650.635,5081.740,49875.280,Growatt RS485 req slave=0x01 func=0x03 start=0x0001 count=15 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0001..0x000F bytes=30 crc=OK
14,true,complete,27,28,0x01,0x03,0x0070,17,6876790.415,6885123.980,6890109.815,6930736.660,4985.835,53946.245,Growatt RS485 req slave=0x01 func=0x03 start=0x0070 count=17 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0070..0x0080 bytes=34 crc=OK
15,true,complete,29,30,0x01,0x03,0x0010,27,7376805.475,7385139.040,7390133.145,7451594.295,4994.105,74788.820,Growatt RS485 req slave=0x01 func=0x03 start=0x0010 count=27 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0010..0x002A bytes=54 crc=OK
16,true,complete,31,32,0x01,0x03,0x0001,15,7876820.540,7885154.100,7890156.470,7926616.470,5002.370,49795.930,Growatt RS485 req slave=0x01 func=0x03 start=0x0001 count=15 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0001..0x000F bytes=30 crc=OK
17,true,complete,33,34,0x01,0x03,0x0070,17,8376835.600,8385169.165,8390179.800,8430806.650,5010.635,53971.050,Growatt RS485 req slave=0x01 func=0x03 start=0x0070 count=17 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0070..0x0080 bytes=34 crc=OK
18,true,complete,35,36,0x01,0x03,0x0010,27,8876850.660,8885184.225,8890203.130,8951664.290,5018.905,74813.630,Growatt RS485 req slave=0x01 func=0x03 start=0x0010 count=27 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0010..0x002A bytes=54 crc=OK
19,true,complete,37,38,0x01,0x03,0x0001,15,9376865.720,9385199.285,9390643.150,9427103.135,5443.865,50237.415,Growatt RS485 req slave=0x01 func=0x03 start=0x0001 count=15 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0001..0x000F bytes=30 crc=OK
20,true,complete,39,40,0x01,0x03,0x0070,17,9876880.785,9885214.345,9890249.795,9930876.640,5035.450,53995.855,Growatt RS485 req slave=0x01 func=0x03 start=0x0070 count=17 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0070..0x0080 bytes=34 crc=OK
21,true,complete,41,42,0x01,0x03,0x0010,27,10376895.845,10385229.410,10390273.120,10451734.275,5043.710,74838.430,Growatt RS485 req slave=0x01 func=0x03 start=0x0010 count=27 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0010..0x002A bytes=54 crc=OK
22,true,complete,43,44,0x01,0x03,0x0001,15,10876910.910,10885244.470,10890400.620,10926860.610,5156.150,49949.700,Growatt RS485 req slave=0x01 func=0x03 start=0x0001 count=15 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0001..0x000F bytes=30 crc=OK
23,true,complete,45,46,0x01,0x03,0x0070,17,11376925.970,11385259.530,11390319.775,11430946.635,5060.245,54020.665,Growatt RS485 req slave=0x01 func=0x03 start=0x0070 count=17 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0070..0x0080 bytes=34 crc=OK
24,true,complete,47,48,0x01,0x03,0x0010,27,11876941.030,11885274.595,11890343.115,11951804.280,5068.520,74863.250,Growatt RS485 req slave=0x01 func=0x03 start=0x0010 count=27 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0010..0x002A bytes=54 crc=OK
25,true,complete,49,50,0x01,0x03,0x0001,15,12376956.090,12385289.655,12390366.445,12426826.430,5076.790,49870.340,Growatt RS485 req slave=0x01 func=0x03 start=0x0001 count=15 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0001..0x000F bytes=30 crc=OK
