frame_no,status,frame_type,can_id,rtr_type,dlc,start_sample,end_sample,start_us,end_us,duration_us,gap_from_previous_us,data_hex,summary,decoded,error
1,ok,standard,0x301,data,8,1844130,1888430,9220.650,9442.150,221.500,,0B 16 21 2C 37 42 4D 58,Growatt CAN 0x301 Growatt? DLC=8 [0B 16 21 2C 37 42 4D 58],0x301 unknown raw=0B 16 21 2C 37 42 4D 58,
2,ok,standard,0x317,data,8,11186079,11231179,55930.395,56155.895,225.500,46488.245,0D 8A 0D 88 0D 8A 0D 8C,Growatt CAN 0x317 cell group 3 DLC=8 [0D 8A 0D 88 0D 8A 0D 8C],0x317 cells C09=3.466V C10=3.464V C11=3.466V C12=3.468V,
3,ok,standard,0x318,data,8,27785623,27830723,138928.115,139153.615,225.500,82772.220,0D 8B 0D 84 0D 88 0D 87,Growatt CAN 0x318 cell group 4 DLC=8 [0D 8B 0D 84 0D 88 0D 87],0x318 cells C13=3.467V C14=3.460V C15=3.464V C16=3.463V,
4,ok,standard,0x311,data,8,61476261,61521761,307381.305,307608.805,227.500,168227.690,02 40 07 08 07 08 00 69,Growatt CAN 0x311 status/limits DLC=8 [02 40 07 08 07 08 00 69],0x311 limits chgV=57.6V chgI=180.0A disI=180.0A status_tail=0x0069,
5,ok,standard,0x312,data,8,77985006,78033306,389925.030,390166.530,241.500,82316.225,00 00 00 00 01 00 00 10,Growatt CAN 0x312 protections/alarms DLC=8 [00 00 00 00 01 00 00 10],0x312 prot1=0x00 prot2=0x00 alm1=0x00 alm2=0x00 pack=1 pwrred=0x0000,
6,ok,standard,0x313,data,8,94584951,94630851,472924.755,473154.255,229.500,82758.225,15 A6 00 00 01 09 46 64,Growatt CAN 0x313 pack V/I/SOC/SOH DLC=8 [15 A6 00 00 01 09 46 64],0x313 pack V=55.42V I=+0.0A Tavg=26.5C SOC=70%% SOH=100%% lifeWarn=0,
7,ok,standard,0x301,data,8,103847763,103892063,519238.815,519460.315,221.500,46084.560,0B 16 21 2C 37 42 4D 58,Growatt CAN 0x301 Growatt? DLC=8 [0B 16 21 2C 37 42 4D 58],0x301 unknown raw=0B 16 21 2C 37 42 4D 58,
8,ok,standard,0x314,data,8,111185695,111232395,555928.475,556161.975,233.500,36468.160,36 D8 71 48 00 0A 00 00,Growatt CAN 0x314 capacity/delta/cycles DLC=8 [36 D8 71 48 00 0A 00 00],0x314 RM=140.40Ah FCC=290.00Ah dV=10mV cycles=0,
9,ok,standard,0x319,data,8,127785240,127831140,638926.200,639155.700,229.500,82764.225,C1 0D 8C 0D 82 01 01 00,Growatt CAN 0x319 cell extremes/status DLC=8 [C1 0D 8C 0D 82 01 01 00],0x319 cell_max=3.468V#1 cell_min=3.458V#1 dV=10mV flags=0xC1 chem=Ternary chgEn=0 disEn=0,
10,ok,standard,0x320,data,8,144384785,144431485,721923.925,722157.425,233.500,82768.225,47 54 0A 0A 00 00 00 00,Growatt CAN 0x320 maker/software DLC=8 [47 54 0A 0A 00 00 00 00],0x320 maker='GT' hw=0x0A swL=0x0A swHext=0x00 compat=0x00 ext=0x00,
11,ok,standard,0x322,data,8,161475926,161521826,807379.630,807609.130,229.500,85222.205,01 09 01 02 01 01 46 46,Growatt CAN 0x322 temperature/SOC range DLC=8 [01 09 01 02 01 01 46 46],0x322 Tmax=26.5C#1 Tmin=25.8C#1 SOCmax=70%% SOCmin=70%%,
12,ok,standard,0x315,data,8,177984671,178029371,889923.355,890146.855,223.500,82314.225,0D 88 0D 82 0D 87 0D 86,Growatt CAN 0x315 cell group 1 DLC=8 [0D 88 0D 82 0D 87 0D 86],0x315 cells C01=3.464V C02=3.458V C03=3.463V C04=3.462V,
13,ok,standard,0x316,data,8,194585416,194630116,972927.080,973150.580,223.500,82780.225,0D 86 0D 89 0D 86 0D 89,Growatt CAN 0x316 cell group 2 DLC=8 [0D 86 0D 89 0D 86 0D 89],0x316 cells C05=3.462V C06=3.465V C07=3.462V C08=3.465V,
14,ok,standard,0x301,data,8,205850275,205894575,1029251.375,1029472.875,221.500,56100.795,0B 16 21 2C 37 42 4D 58,Growatt CAN 0x301 Growatt? DLC=8 [0B 16 21 2C 37 42 4D 58],0x301 unknown raw=0B 16 21 2C 37 42 4D 58,
15,ok,standard,0x317,data,8,211185462,211230562,1055927.310,1056152.810,225.500,26454.435,0D 8A 0D 88 0D 8A 0D 8C,Growatt CAN 0x317 cell group 3 DLC=8 [0D 8A 0D 88 0D 8A 0D 8C],0x317 cells C09=3.466V C10=3.464V C11=3.466V C12=3.468V,
16,ok,standard,0x318,data,8,227785006,227830106,1138925.030,1139150.530,225.500,82772.220,0D 8B 0D 84 0D 88 0D 87,Growatt CAN 0x318 cell group 4 DLC=8 [0D 8B 0D 84 0D 88 0D 87],0x318 cells C13=3.467V C14=3.460V C15=3.464V C16=3.463V,
17,ok,standard,0x311,data,8,261476042,261521542,1307380.210,1307607.710,227.500,168229.680,02 40 07 08 07 08 00 69,Growatt CAN 0x311 status/limits DLC=8 [02 40 07 08 07 08 00 69],0x311 limits chgV=57.6V chgI=180.0A disI=180.0A status_tail=0x0069,
18,ok,standard,0x312,data,8,277984787,278033087,1389923.935,1390165.435,241.500,82316.225,00 00 00 00 01 00 00 10,Growatt CAN 0x312 protections/alarms DLC=8 [00 00 00 00 01 00 00 10],0x312 prot1=0x00 prot2=0x00 alm1=0x00 alm2=0x00 pack=1 pwrred=0x0000,
19,ok,standard,0x313,data,8,294583932,294629832,1472919.660,1473149.160,229.500,82754.225,15 A6 00 00 01 09 46 64,Growatt CAN 0x313 pack V/I/SOC/SOH DLC=8 [15 A6 00 00 01 09 46 64],0x313 pack V=55.42V I=+0.0A Tavg=26.5C SOC=70%% SOH=100%% lifeWarn=0,
20,ok,standard,0x301,data,8,307854066,307898366,1539270.330,1539491.830,221.500,66121.170,0B 16 21 2C 37 42 4D 58,Growatt CAN 0x301 Growatt? DLC=8 [0B 16 21 2C 37 42 4D 58],0x301 unknown raw=0B 16 21 2C 37 42 4D 58,
21,ok,standard,0x314,data,8,311183626,311230326,1555918.130,1556151.630,233.500,16426.300,36 D8 71 48 00 0A 00 00,Growatt CAN 0x314 capacity/delta/cycles DLC=8 [36 D8 71 48 00 0A 00 00],0x314 RM=140.40Ah FCC=290.00Ah dV=10mV cycles=0,
22,ok,standard,0x319,data,8,327783572,327829472,1638917.860,1639147.360,229.500,82766.230,C1 0D 8C 0D 82 01 01 00,Growatt CAN 0x319 cell extremes/status DLC=8 [C1 0D 8C 0D 82 01 01 00],0x319 cell_max=3.468V#1 cell_min=3.458V#1 dV=10mV flags=0xC1 chem=Ternary chgEn=0 disEn=0,
23,ok,standard,0x320,data,8,344383916,344430616,1721919.580,1722153.080,233.500,82772.220,47 54 0A 0A 00 00 00 00,Growatt CAN 0x320 maker/software DLC=8 [47 54 0A 0A 00 00 00 00],0x320 maker='GT' hw=0x0A swL=0x0A swHext=0x00 compat=0x00 ext=0x00,
24,ok,standard,0x322,data,8,361475458,361521358,1807377.290,1807606.790,229.500,85224.210,01 09 01 02 01 01 46 46,Growatt CAN 0x322 temperature/SOC range DLC=8 [01 09 01 02 01 01 46 46],0x322 Tmax=26.5C#1 Tmin=25.8C#1 SOCmax=70%% SOCmin=70%%,
25,ok,standard,0x315,data,8,377983803,378028503,1889919.015,1890142.515,223.500,82312.225,0D 88 0D 82 0D 87 0D 86,Growatt CAN 0x315 cell group 1 DLC=8 [0D 88 0D 82 0D 87 0D 86],0x315 cells C01=3.464V C02=3.458V C03=3.463V C04=3.462V,
26,ok,standard,0x316,data,8,394584148,394628448,1972920.740,1973142.240,221.500,82778.225,0D 86 0D 89 0D 87 0D 89,Growatt CAN 0x316 cell group 2 DLC=8 [0D 86 0D 89 0D 87 0D 89],0x316 cells C05=3.462V C06=3.465V C07=3.463V C08=3.465V,
27,ok,standard,0x301,data,8,409856337,409900637,2049281.685,2049503.185,221.500,76139.445,0B 16 21 2C 37 42 4D 58,Growatt CAN 0x301 Growatt? DLC=8 [0B 16 21 2C 37 42 4D 58],0x301 unknown raw=0B 16 21 2C 37 42 4D 58,
28,ok,standard,0x317,data,8,411183942,411229042,2055919.710,2056145.210,225.500,6416.525,0D 8A 0D 88 0D 8A 0D 8C,Growatt CAN 0x317 cell group 3 DLC=8 [0D 8A 0D 88 0D 8A 0D 8C],0x317 cells C09=3.466V C10=3.464V C11=3.466V C12=3.468V,
29,ok,standard,0x318,data,8,427783487,427828587,2138917.435,2139142.935,225.500,82772.225,0D 8B 0D 84 0D 88 0D 87,Growatt CAN 0x318 cell group 4 DLC=8 [0D 8B 0D 84 0D 88 0D 87],0x318 cells C13=3.467V C14=3.460V C15=3.464V C16=3.463V,
30,ok,standard,0x311,data,8,461474523,461520023,2307372.615,2307600.115,227.500,168229.680,02 40 07 08 07 08 00 69,Growatt CAN 0x311 status/limits DLC=8 [02 40 07 08 07 08 00 69],0x311 limits chgV=57.6V chgI=180.0A disI=180.0A status_tail=0x0069,
31,ok,standard,0x312,data,8,477982469,478030769,2389912.345,2390153.845,241.500,82312.230,00 00 00 00 01 00 00 10,Growatt CAN 0x312 protections/alarms DLC=8 [00 00 00 00 01 00 00 10],0x312 prot1=0x00 prot2=0x00 alm1=0x00 alm2=0x00 pack=1 pwrred=0x0000,
32,ok,standard,0x313,data,8,494582814,494628714,2472914.070,2473143.570,229.500,82760.225,15 A6 00 00 01 09 46 64,Growatt CAN 0x313 pack V/I/SOC/SOH DLC=8 [15 A6 00 00 01 09 46 64],0x313 pack V=55.42V I=+0.0A Tavg=26.5C SOC=70%% SOH=100%% lifeWarn=0,
33,ok,standard,0x314,data,8,511183558,511230258,2555917.790,2556151.290,233.500,82774.220,36 D8 71 48 00 0A 00 00,Growatt CAN 0x314 capacity/delta/cycles DLC=8 [36 D8 71 48 00 0A 00 00],0x314 RM=140.40Ah FCC=290.00Ah dV=10mV cycles=0,
34,ok,standard,0x301,data,8,511860091,511904391,2559300.455,2559521.955,221.500,3149.165,0B 16 21 2C 37 4A 4D 58,Growatt CAN 0x301 Growatt? DLC=8 [0B 16 21 2C 37 4A 4D 58],0x301 unknown raw=0B 16 21 2C 37 4A 4D 58,
35,ok,standard,0x319,data,8,527782403,527828303,2638912.015,2639141.515,229.500,79390.060,C1 0D 8C 0D 82 01 01 00,Growatt CAN 0x319 cell extremes/status DLC=8 [C1 0D 8C 0D 82 01 01 00],0x319 cell_max=3.468V#1 cell_min=3.458V#1 dV=10mV flags=0xC1 chem=Ternary chgEn=0 disEn=0,
36,ok,standard,0x320,data,8,544382747,544429447,2721913.735,2722147.235,233.500,82772.220,47 54 0A 0A 00 00 00 00,Growatt CAN 0x320 maker/software DLC=8 [47 54 0A 0A 00 00 00 00],0x320 maker='GT' hw=0x0A swL=0x0A swHext=0x00 compat=0x00 ext=0x00,
37,ok,standard,0x322,data,8,561473889,561519789,2807369.445,2807598.945,229.500,85222.210,01 09 01 02 01 01 46 46,Growatt CAN 0x322 temperature/SOC range DLC=8 [01 09 01 02 01 01 46 46],0x322 Tmax=26.5C#1 Tmin=25.8C#1 SOCmax=70%% SOCmin=70%%,
38,ok,standard,0x315,data,8,577982235,578026935,2889911.175,2890134.675,223.500,82312.230,0D 88 0D 82 0D 87 0D 86,Growatt CAN 0x315 cell group 1 DLC=8 [0D 88 0D 82 0D 87 0D 86],0x315 cells C01=3.464V C02=3.458V C03=3.463V C04=3.462V,
39,ok,standard,0x316,data,8,594581779,594626079,2972908.895,2973130.395,221.500,82774.220,0D 86 0D 89 0D 87 0D 89,Growatt CAN 0x316 cell group 2 DLC=8 [0D 86 0D 89 0D 87 0D 89],0x316 cells C05=3.462V C06=3.465V C07=3.463V C08=3.465V,
40,ok,standard,0x317,data,8,611182524,611227624,3055912.620,3056138.120,225.500,82782.225,0D 8A 0D 88 0D 8A 0D 8C,Growatt CAN 0x317 cell group 3 DLC=8 [0D 8A 0D 88 0D 8A 0D 8C],0x317 cells C09=3.466V C10=3.464V C11=3.466V C12=3.468V,
41,ok,standard,0x301,remote,8,613862323,613906623,3069311.615,3069533.115,221.500,13173.495,0B 16 61 2C 37 62 4D 58,Growatt CAN 0x301 Growatt? DLC=8 [0B 16 61 2C 37 62 4D 58],0x301 unknown raw=0B 16 61 2C 37 62 4D 58,
42,ok,standard,0x318,data,8,627781819,627826919,3138909.095,3139134.595,225.500,69375.980,0D 8B 0D 84 0D 88 0D 87,Growatt CAN 0x318 cell group 4 DLC=8 [0D 8B 0D 84 0D 88 0D 87],0x318 cells C13=3.467V C14=3.460V C15=3.464V C16=3.463V,
43,ok,standard,0x311,data,8,661472855,661518355,3307364.275,3307591.775,227.500,168229.680,02 40 07 08 07 08 00 69,Growatt CAN 0x311 status/limits DLC=8 [02 40 07 08 07 08 00 69],0x311 limits chgV=57.6V chgI=180.0A disI=180.0A status_tail=0x0069,
44,ok,standard,0x312,data,8,677982001,678030301,3389910.005,3390151.505,241.500,82318.230,00 00 00 00 01 00 00 10,Growatt CAN 0x312 protections/alarms DLC=8 [00 00 00 00 01 00 00 10],0x312 prot1=0x00 prot2=0x00 alm1=0x00 alm2=0x00 pack=1 pwrred=0x0000,
45,ok,standard,0x313,data,8,694581145,694627045,3472905.725,3473135.225,229.500,82754.220,15 A6 00 00 01 09 46 64,Growatt CAN 0x313 pack V/I/SOC/SOH DLC=8 [15 A6 00 00 01 09 46 64],0x313 pack V=55.42V I=+0.0A Tavg=26.5C SOC=70%% SOH=100%% lifeWarn=0,
46,ok,standard,0x314,data,8,711182290,711228990,3555911.450,3556144.950,233.500,82776.225,36 D8 71 48 00 0A 00 00,Growatt CAN 0x314 capacity/delta/cycles DLC=8 [36 D8 71 48 00 0A 00 00],0x314 RM=140.40Ah FCC=290.00Ah dV=10mV cycles=0,
47,ok,standard,0x301,data,8,715866155,715910455,3579330.775,3579552.275,221.500,23185.825,0B 16 21 2C 37 42 4D 58,Growatt CAN 0x301 Growatt? DLC=8 [0B 16 21 2C 37 42 4D 58],0x301 unknown raw=0B 16 21 2C 37 42 4D 58,
48,ok,standard,0x319,data,8,727781285,727827185,3638906.425,3639135.925,229.500,59354.150,C1 0D 8C 0D 82 01 01 00,Growatt CAN 0x319 cell extremes/status DLC=8 [C1 0D 8C 0D 82 01 01 00],0x319 cell_max=3.468V#1 cell_min=3.458V#1 dV=10mV flags=0xC1 chem=Ternary chgEn=0 disEn=0,
49,ok,standard,0x320,data,8,744381630,744428330,3721908.150,3722141.650,233.500,82772.225,47 54 0A 0A 00 00 00 00,Growatt CAN 0x320 maker/software DLC=8 [47 54 0A 0A 00 00 00 00],0x320 maker='GT' hw=0x0A swL=0x0A swHext=0x00 compat=0x00 ext=0x00,
50,ok,standard,0x322,data,8,761472771,761518671,3807363.855,3807593.355,229.500,85222.205,01 09 01 02 01 01 46 46,Growatt CAN 0x322 temperature/SOC range DLC=8 [01 09 01 02 01 01 46 46],0x322 Tmax=26.5C#1 Tmin=25.8C#1 SOCmax=70%% SOCmin=70%%,
51,ok,standard,0x315,data,8,777981117,778025817,3889905.585,3890129.085,223.500,82312.230,0D 88 0D 82 0D 87 0D 86,Growatt CAN 0x315 cell group 1 DLC=8 [0D 88 0D 82 0D 87 0D 86],0x315 cells C01=3.464V C02=3.458V C03=3.463V C04=3.462V,
52,ok,standard,0x316,data,8,794580661,794624961,3972903.305,3973124.805,221.500,82774.220,0D 86 0D 89 0D 87 0D 89,Growatt CAN 0x316 cell group 2 DLC=8 [0D 86 0D 89 0D 87 0D 89],0x316 cells C05=3.462V C06=3.465V C07=3.463V C08=3.465V,
53,ok,standard,0x317,data,8,811181806,811226906,4055909.030,4056134.530,225.500,82784.225,0D 8A 0D 88 0D 8A 0D 8C,Growatt CAN 0x317 cell group 3 DLC=8 [0D 8A 0D 88 0D 8A 0D 8C],0x317 cells C09=3.466V C10=3.464V C11=3.466V C12=3.468V,
54,ok,standard,0x301,data,8,817868514,817912814,4089342.570,4089564.070,221.500,33208.040,0B 16 21 2C 37 42 4D 58,Growatt CAN 0x301 Growatt? DLC=8 [0B 16 21 2C 37 42 4D 58],0x301 unknown raw=0B 16 21 2C 37 42 4D 58,
55,ok,standard,0x318,data,8,827781250,827826350,4138906.250,4139131.750,225.500,49342.180,0D 8B 0D 84 0D 88 0D 87,Growatt CAN 0x318 cell group 4 DLC=8 [0D 8B 0D 84 0D 88 0D 87],0x318 cells C13=3.467V C14=3.460V C15=3.464V C16=3.463V,
56,ok,standard,0x311,data,8,861471487,861516987,4307357.435,4307584.935,227.500,168225.685,02 40 07 08 07 08 00 69,Growatt CAN 0x311 status/limits DLC=8 [02 40 07 08 07 08 00 69],0x311 limits chgV=57.6V chgI=180.0A disI=180.0A status_tail=0x0069,
