frame_no,status,type,slave,func,start_reg,count,byte_count,crc_ok,start_sample,end_sample,start_us,end_us,duration_us,gap_from_previous_us,raw_hex,summary,decoded,error
1,ok,request,0x81,0x03,0x0000,127,,true,41976157,43934472,209880.785,219672.360,9791.575,,81 03 00 00 00 7F 1B EA,Daly Modbus req slave=0x81 func=0x03 start=0x0000 count=127 crc=OK,read holding registers start=0x0000 count=127 cells/info block,
2,ok,response,0x51,0x03,0x0000,127,254,true,46562901,100521887,232814.505,502609.435,269794.930,13142.145,51 03 FE 0D 9B 0E 78 0E 5B 0E 74 0E 77 0E 2F 0E 78 0E 74 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 41 00 41 FF FF FF FF FF FF FF FF FF FF FF FF 01 25 75 2C 03 E8 00 F2 00 08 00 02 0E 78 00 02 0D 9B 00 01 00 DD 00 41 00 01 00 41 00 01 00 00 00 00 00 00 00 00 0A F0 00 01 00 01 75 30 02 00 00 00 00 00 00 01 00 01 00 00 00 00 00 00 00 00 00 0E 00 00 00 4A 00 FF 00 00 00 00 00 00 00 00 75 30 1A 06 13 03 1B 1C 00 00 00 00 00 11 00 00 00 00 00 00 75 30 00 00 00 00 00 01 00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 1D 00 FB 00 00 00 00 00 00 FF FF FF FF FF FF FF FF 00 FF A7 96,Daly Modbus rsp slave=0x51 func=0x03 regs=0x0000..0x007E bytes=254 crc=OK,"response regs 0x0000..0x007E: cells count=8 C01=3.483V C02=3.704V C03=3.675V C04=3.700V C05=3.703V C06=3.631V C07=3.704V C08=3.700V min=3.483V#1 max=3.704V#2, SOC=100.0%#58, SOC_candidate=0.0%#95 I=+0.0A, T1=25.0C, T2=25.0C, MOS=34.0C, temp_count=2",
3,ok,request,0x81,0x03,0x0000,127,,true,154590978,156549293,772954.890,782746.465,9791.575,270345.455,81 03 00 00 00 7F 1B EA,Daly Modbus req slave=0x81 func=0x03 start=0x0000 count=127 crc=OK,read holding registers start=0x0000 count=127 cells/info block,
4,ok,response,0x51,0x03,0x0000,127,254,true,159335111,213294097,796675.555,1066470.485,269794.930,13929.090,51 03 FE 0D AA 0E 75 0E 5F 0E 72 0E 77 0E 2F 0E 77 0E 78 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 41 00 41 FF FF FF FF FF FF FF FF FF FF FF FF 01 25 75 30 03 E8 00 F3 00 08 00 02 0E 78 00 08 0D AA 00 01 00 CE 00 41 00 01 00 41 00 01 00 00 00 00 00 00 00 00 0A F0 00 01 00 01 75 30 80 00 00 00 00 00 00 01 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 4A 00 FF 00 00 00 00 00 00 00 00 75 30 1A 06 13 03 1B 1D 00 00 00 00 00 11 00 00 00 00 00 00 75 30 00 00 00 00 00 01 00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 1D 00 FB 00 00 00 00 00 00 FF FF FF FF FF FF FF FF 00 FF 7B 65,Daly Modbus rsp slave=0x51 func=0x03 regs=0x0000..0x007E bytes=254 crc=OK,"response regs 0x0000..0x007E: cells count=8 C01=3.498V C02=3.701V C03=3.679V C04=3.698V C05=3.703V C06=3.631V C07=3.703V C08=3.704V min=3.498V#1 max=3.704V#8, SOC=100.0%#58, SOC_candidate=0.0%#95 I=+0.0A, T1=25.0C, T2=25.0C, MOS=34.0C, temp_count=2",
5,ok,request,0x81,0x03,0x0000,127,,true,267762373,269720688,1338811.865,1348603.440,9791.575,272341.380,81 03 00 00 00 7F 1B EA,Daly Modbus req slave=0x81 func=0x03 start=0x0000 count=127 crc=OK,read holding registers start=0x0000 count=127 cells/info block,
6,ok,response,0x51,0x03,0x0000,127,254,true,273315669,327274655,1366578.345,1636373.275,269794.930,17974.905,51 03 FE 0D 99 0E 78 0E 5C 0E 71 0E 77 0E 2D 0E 7A 0E 72 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 41 00 41 FF FF FF FF FF FF FF FF FF FF FF FF 01 24 75 2F 03 E8 00 F4 00 08 00 02 0E 7A 00 07 0D 99 00 01 00 E1 00 41 00 01 00 41 00 01 00 00 00 00 00 00 00 00 0A F0 00 01 00 01 75 30 40 00 00 00 00 00 00 01 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 4A 00 FF 00 00 00 00 00 00 00 00 75 30 1A 06 13 03 1B 1F 00 00 00 00 00 11 00 00 00 00 00 00 75 30 00 00 00 00 00 01 00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 1D 00 FB 00 00 00 00 00 00 FF FF FF FF FF FF FF FF 00 FF 33 9D,Daly Modbus rsp slave=0x51 func=0x03 regs=0x0000..0x007E bytes=254 crc=OK,"response regs 0x0000..0x007E: cells count=8 C01=3.481V C02=3.704V C03=3.676V C04=3.697V C05=3.703V C06=3.629V C07=3.706V C08=3.698V min=3.481V#1 max=3.706V#7, SOC=100.0%#58, SOC_candidate=0.0%#95 I=+0.0A, T1=25.0C, T2=25.0C, MOS=34.0C, temp_count=2",
7,ok,request,0x81,0x03,0x0000,127,,true,381365835,383324150,1906829.175,1916620.750,9791.575,270455.900,81 03 00 00 00 7F 1B EA,Daly Modbus req slave=0x81 func=0x03 start=0x0000 count=127 crc=OK,read holding registers start=0x0000 count=127 cells/info block,
8,ok,response,0x51,0x03,0x0000,127,254,true,386129545,440088531,1930647.725,2200442.655,269794.930,14026.975,51 03 FE 0D 99 0E 78 0E 5C 0E 71 0E 77 0E 2D 0E 7A 0E 72 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 41 00 41 FF FF FF FF FF FF FF FF FF FF FF FF 01 24 75 2F 03 E8 00 F4 00 08 00 02 0E 7A 00 07 0D 99 00 01 00 E1 00 41 00 01 00 41 00 01 00 00 00 00 00 00 00 00 0A F0 00 01 00 01 75 30 40 00 00 00 00 00 00 01 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 4A 00 FF 00 00 00 00 00 00 00 00 75 30 1A 06 13 03 1B 1F 00 00 00 00 00 11 00 00 00 00 00 00 75 30 00 00 00 00 00 01 00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 1D 00 FB 00 00 00 00 00 00 FF FF FF FF FF FF FF FF 00 FF 33 9D,Daly Modbus rsp slave=0x51 func=0x03 regs=0x0000..0x007E bytes=254 crc=OK,"response regs 0x0000..0x007E: cells count=8 C01=3.481V C02=3.704V C03=3.676V C04=3.697V C05=3.703V C06=3.629V C07=3.706V C08=3.698V min=3.481V#1 max=3.706V#7, SOC=100.0%#58, SOC_candidate=0.0%#95 I=+0.0A, T1=25.0C, T2=25.0C, MOS=34.0C, temp_count=2",
9,ok,request,0x81,0x03,0x0000,127,,true,494473780,496432094,2472368.900,2482160.470,9791.570,271926.245,81 03 00 00 00 7F 1B EA,Daly Modbus req slave=0x81 func=0x03 start=0x0000 count=127 crc=OK,read holding registers start=0x0000 count=127 cells/info block,
10,ok,response,0x51,0x03,0x0000,127,254,true,498922588,552881574,2494612.940,2764407.870,269794.930,12452.470,51 03 FE 0D 99 0E 78 0E 5C 0E 71 0E 77 0E 2D 0E 7A 0E 72 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 41 00 41 FF FF FF FF FF FF FF FF FF FF FF FF 01 24 75 2F 03 E8 00 F4 00 08 00 02 0E 7A 00 07 0D 99 00 01 00 E1 00 41 00 01 00 41 00 01 00 00 00 00 00 00 00 00 0A F0 00 01 00 01 75 30 40 00 00 00 00 00 00 01 00 01 00 00 00 00 00 00 00 00 00 00 00 00 00 4A 00 FF 00 00 00 00 00 00 00 00 75 30 1A 06 13 03 1B 1F 00 00 00 00 00 11 00 00 00 00 00 00 75 30 00 00 00 00 00 01 00 00 00 01 00 00 00 00 00 00 00 00 00 00 00 1D 00 FB 00 00 00 00 00 00 FF FF FF FF FF FF FF FF 00 FF 33 9D,Daly Modbus rsp slave=0x51 func=0x03 regs=0x0000..0x007E bytes=254 crc=OK,"response regs 0x0000..0x007E: cells count=8 C01=3.481V C02=3.704V C03=3.676V C04=3.697V C05=3.703V C06=3.629V C07=3.706V C08=3.698V min=3.481V#1 max=3.706V#7, SOC=100.0%#58, SOC_candidate=0.0%#95 I=+0.0A, T1=25.0C, T2=25.0C, MOS=34.0C, temp_count=2",
