sequence_no,complete,status,request_frame_no,response_frame_no,slave,func,start_reg,count,request_start_us,request_end_us,response_start_us,response_end_us,request_to_response_us,full_exchange_us,request_summary,response_summary
1,true,complete,1,2,0x81,0x03,0x0000,127,209880.785,219672.360,232814.505,502609.435,13142.145,292728.650,Daly Modbus req slave=0x81 func=0x03 start=0x0000 count=127 crc=OK,Daly Modbus rsp slave=0x51 func=0x03 regs=0x0000..0x007E bytes=254 crc=OK
2,true,complete,3,4,0x81,0x03,0x0000,127,772954.890,782746.465,796675.555,1066470.485,13929.090,293515.595,Daly Modbus req slave=0x81 func=0x03 start=0x0000 count=127 crc=OK,Daly Modbus rsp slave=0x51 func=0x03 regs=0x0000..0x007E bytes=254 crc=OK
3,true,complete,5,6,0x81,0x03,0x0000,127,1338811.865,1348603.440,1366578.345,1636373.275,17974.905,297561.410,Daly Modbus req slave=0x81 func=0x03 start=0x0000 count=127 crc=OK,Daly Modbus rsp slave=0x51 func=0x03 regs=0x0000..0x007E bytes=254 crc=OK
4,true,complete,7,8,0x81,0x03,0x0000,127,1906829.175,1916620.750,1930647.725,2200442.655,14026.975,293613.480,Daly Modbus req slave=0x81 func=0x03 start=0x0000 count=127 crc=OK,Daly Modbus rsp slave=0x51 func=0x03 regs=0x0000..0x007E bytes=254 crc=OK
5,true,complete,9,10,0x81,0x03,0x0000,127,2472368.900,2482160.470,2494612.940,2764407.870,12452.470,292038.970,Daly Modbus req slave=0x81 func=0x03 start=0x0000 count=127 crc=OK,Daly Modbus rsp slave=0x51 func=0x03 regs=0x0000..0x007E bytes=254 crc=OK
6,true,complete,11,12,0x81,0x03,0x0000,127,3034840.445,3044632.020,3058682.325,3328477.255,14050.305,293636.810,Daly Modbus req slave=0x81 func=0x03 start=0x0000 count=127 crc=OK,Daly Modbus rsp slave=0x51 func=0x03 regs=0x0000..0x007E bytes=254 crc=OK
7,true,complete,13,14,0x81,0x03,0x0000,127,3601158.515,3610950.090,3628585.110,3898380.045,17635.020,297221.530,Daly Modbus req slave=0x81 func=0x03 start=0x0000 count=127 crc=OK,Daly Modbus rsp slave=0x51 func=0x03 regs=0x0000..0x007E bytes=254 crc=OK
8,true,complete,15,16,0x81,0x03,0x0000,127,4168920.640,4178712.210,4192758.665,4462553.595,14046.455,293632.955,Daly Modbus req slave=0x81 func=0x03 start=0x0000 count=127 crc=OK,Daly Modbus rsp slave=0x51 func=0x03 regs=0x0000..0x007E bytes=254 crc=OK
9,true,complete,17,18,0x81,0x03,0x0000,127,4733321.300,4743112.875,4757661.390,5027456.320,14548.515,294135.020,Daly Modbus req slave=0x81 func=0x03 start=0x0000 count=127 crc=OK,Daly Modbus rsp slave=0x51 func=0x03 regs=0x0000..0x007E bytes=254 crc=OK
10,true,complete,19,20,0x81,0x03,0x0000,127,5296870.560,5306662.135,5319751.585,5589546.515,13089.450,292675.955,Daly Modbus req slave=0x81 func=0x03 start=0x0000 count=127 crc=OK,Daly Modbus rsp slave=0x51 func=0x03 regs=0x0000..0x007E bytes=254 crc=OK
11,true,complete,21,22,0x81,0x03,0x0000,127,5861945.765,5871737.345,5885591.820,6155386.750,13854.475,293440.985,Daly Modbus req slave=0x81 func=0x03 start=0x0000 count=127 crc=OK,Daly Modbus rsp slave=0x51 func=0x03 regs=0x0000..0x007E bytes=254 crc=OK
12,true,complete,23,24,0x81,0x03,0x0000,127,6425948.925,6435740.500,6449765.370,6719560.300,14024.870,293611.375,Daly Modbus req slave=0x81 func=0x03 start=0x0000 count=127 crc=OK,Daly Modbus rsp slave=0x51 func=0x03 regs=0x0000..0x007E bytes=254 crc=OK
13,true,complete,25,26,0x81,0x03,0x0000,127,6991253.785,7001045.360,7013730.585,7283525.515,12685.225,292271.730,Daly Modbus req slave=0x81 func=0x03 start=0x0000 count=127 crc=OK,Daly Modbus rsp slave=0x51 func=0x03 regs=0x0000..0x007E bytes=254 crc=OK
14,true,complete,27,28,0x81,0x03,0x0000,127,7554003.130,7563794.705,7577799.970,7847594.900,14005.265,293591.770,Daly Modbus req slave=0x81 func=0x03 start=0x0000 count=127 crc=OK,Daly Modbus rsp slave=0x51 func=0x03 regs=0x0000..0x007E bytes=254 crc=OK
15,true,complete,29,30,0x81,0x03,0x0000,127,8119994.085,8129785.660,8147702.755,8417497.685,17917.095,297503.600,Daly Modbus req slave=0x81 func=0x03 start=0x0000 count=127 crc=OK,Daly Modbus rsp slave=0x51 func=0x03 regs=0x0000..0x007E bytes=254 crc=OK
16,true,complete,31,32,0x81,0x03,0x0000,127,8688014.280,8697805.855,8709792.950,8979587.875,11987.095,291573.595,Daly Modbus req slave=0x81 func=0x03 start=0x0000 count=127 crc=OK,Daly Modbus rsp slave=0x51 func=0x03 regs=0x0000..0x007E bytes=254 crc=OK
17,true,complete,33,34,0x81,0x03,0x0000,127,9250920.225,9260711.800,9275633.185,9545428.115,14921.385,294507.890,Daly Modbus req slave=0x81 func=0x03 start=0x0000 count=127 crc=OK,Daly Modbus rsp slave=0x51 func=0x03 regs=0x0000..0x007E bytes=254 crc=OK
18,true,complete,35,36,0x81,0x03,0x0000,127,9814971.345,9824762.915,9839806.735,10109601.665,15043.820,294630.320,Daly Modbus req slave=0x81 func=0x03 start=0x0000 count=127 crc=OK,Daly Modbus rsp slave=0x51 func=0x03 regs=0x0000..0x007E bytes=254 crc=OK
19,true,complete,37,38,0x81,0x03,0x0000,127,10380919.475,10390711.045,10403667.780,10673462.710,12956.735,292543.235,Daly Modbus req slave=0x81 func=0x03 start=0x0000 count=127 crc=OK,Daly Modbus rsp slave=0x51 func=0x03 regs=0x0000..0x007E bytes=254 crc=OK
