frame_no,status,frame_type,can_id,rtr_type,dlc,start_sample,end_sample,start_us,end_us,duration_us,gap_from_previous_us,data_hex,summary,decoded,error
1,ok,standard,0x371,data,8,5187855,5235735,25939.275,26178.675,239.400,,04 00 03 00 01 00 02 00,GoodWe CAN v2026.07.03a 0x371 JK/Pylon extreme indexes dialect DLC=8 [04 00 03 00 01 00 02 00],0x371 JK/Pylon dialect temp_max_sensor=4 temp_min_sensor=3 cell_max_idx=1 cell_min_idx=2,
2,ok,standard,0x359,data,8,25189580,25237060,125947.900,126185.300,237.400,99769.225,00 00 00 00 01 50 4E 00,GoodWe CAN v2026.07.03a 0x359 JK/Pylon module info dialect DLC=8 [00 00 00 00 01 50 4E 00],0x359 JK/Pylon dialect module info modules=1 tag='PN' raw=00 00 00 00 01 50 4E 00,
3,ok,standard,0x351,data,8,45189765,45235245,225948.825,226176.225,227.400,99763.525,9E 02 7C 20 B6 03 E3 00,GoodWe CAN v2026.07.03a 0x351 JK/Pylon limits dialect DLC=8 [9E 02 7C 20 B6 03 E3 00],0x351 JK/Pylon dialect limits chgV=67.0V chgI=831.6A disI=95.0A lowV=22.7V,
4,ok,standard,0x355,data,8,65190354,65237034,325951.770,326185.170,233.400,99775.545,63 00 64 00 00 00 00 00,GoodWe CAN v2026.07.03a 0x355 JK/Pylon SOC/SOH dialect DLC=8 [63 00 64 00 00 00 00 00],0x355 JK/Pylon dialect SOC=99% SOH=100%,
5,ok,standard,0x356,data,8,85290480,85336760,426452.400,426683.800,231.400,100267.230,53 16 00 00 32 01 00 00,GoodWe CAN v2026.07.03a 0x356 JK/Pylon pack dialect DLC=8 [53 16 00 00 32 01 00 00],0x356 JK/Pylon dialect pack V=57.15V I=+0.0A temp=30.6C,
6,ok,standard,0x35C,data,8,105193065,105241745,525965.325,526208.725,243.400,99281.525,C0 00 00 00 00 00 00 00,GoodWe CAN v2026.07.03a 0x35C JK/Pylon status dialect DLC=8 [C0 00 00 00 00 00 00 00],0x35C JK/Pylon dialect state=0xC0 charge=ON discharge=ON balance=OFF raw=C0 00 00 00 00 00 00 00,
7,ok,standard,0x35E,data,8,125193184,125237864,625965.920,626189.320,223.400,99757.195,4A 4B 2D 42 4D 53 00 00,GoodWe CAN v2026.07.03a 0x35E JK/Pylon identity dialect DLC=8 [4A 4B 2D 42 4D 53 00 00],0x35E JK/Pylon dialect identity 'JK-BMS' raw=4A 4B 2D 42 4D 53 00 00,
8,ok,standard,0x370,data,8,145194176,145240056,725970.880,726200.280,229.400,99781.560,1F 08 0F 00 7A 06 F9 86,GoodWe CAN v2026.07.03a 0x370 JK/Pylon temperature/cell extremes dialect DLC=8 [1F 08 0F 00 7A 06 F9 86],0x370 JK/Pylon dialect temp max=207.9C min=15.0C cell_max=1.658V cell_min=34.553V,
9,ok,standard,0x371,data,8,165195164,165243044,825975.820,826215.220,239.400,99775.540,04 00 03 00 01 00 02 00,GoodWe CAN v2026.07.03a 0x371 JK/Pylon extreme indexes dialect DLC=8 [04 00 03 00 01 00 02 00],0x371 JK/Pylon dialect temp_max_sensor=4 temp_min_sensor=3 cell_max_idx=1 cell_min_idx=2,
10,ok,standard,0x359,data,8,185196949,185244429,925984.745,926222.145,237.400,99769.525,00 00 00 00 01 50 4E 00,GoodWe CAN v2026.07.03a 0x359 JK/Pylon module info dialect DLC=8 [00 00 00 00 01 50 4E 00],0x359 JK/Pylon dialect module info modules=1 tag='PN' raw=00 00 00 00 01 50 4E 00,
