frame_no,status,frame_type,can_id,rtr_type,dlc,start_sample,end_sample,start_us,end_us,duration_us,gap_from_previous_us,data_hex,summary,decoded,error
1,ok,standard,0x314,data,8,1730230,1777710,8651.150,8888.550,237.400,,01 AE 01 F4 00 04 00 00,Growatt CAN 0x314 capacity/delta/cycles DLC=8 [01 AE 01 F4 00 04 00 00],0x314 RM=4.30Ah FCC=5.00Ah dV=4mV cycles=0,
2,ok,standard,0x319,data,8,5721626,5767906,28608.130,28839.530,231.400,19719.580,C0 0D F2 0D EE 01 07 00,Growatt CAN 0x319 cell extremes/status DLC=8 [C0 0D F2 0D EE 01 07 00],0x319 cell_max=3.570V#1 cell_min=3.566V#7 dV=4mV flags=0xC0 chem=LFP chgEn=0 disEn=0,
3,ok,standard,0x320,data,8,9712666,9757346,48563.330,48786.730,223.400,19723.800,4A 4B 0F 26 0F 13 07 80,Growatt CAN 0x320 maker/software DLC=8 [4A 4B 0F 26 0F 13 07 80],0x320 maker='JK' hw=0x0F swL=0x26 swHext=0x0F compat=0x13 ext=0x07,
4,ok,standard,0x321,data,8,13712863,13761143,68564.315,68805.715,241.400,19777.585,00 00 00 00 00 00 00 00,Growatt CAN 0x321 upgrade info DLC=8 [00 00 00 00 00 00 00 00],0x321 remote-upgrade unused (all zero),
5,ok,standard,0x322,data,8,17733913,17779793,88669.565,88898.965,229.400,19863.850,01 3B 00 00 03 04 56 56,Growatt CAN 0x322 temperature/SOC range DLC=8 [01 3B 00 00 03 04 56 56],0x322 Tmax=31.5C#3 Tmin=0.0C#4 SOCmax=86%% SOCmin=86%%,
6,ok,standard,0x323,data,8,21724558,21773238,108622.790,108866.190,243.400,19723.825,10 00 00 00 00 00 00 00,Growatt CAN 0x323 cell count/protection/warning DLC=8 [10 00 00 00 00 00 00 00],0x323 cellCount=16 prot3=0x00 prot4=0x00 prot5=0x00 warn3=0x00,
7,ok,standard,0x311,data,8,25720821,25766701,128604.105,128833.505,229.400,19737.915,02 40 01 7C 23 B6 00 34,Growatt CAN 0x311 status/limits DLC=8 [02 40 01 7C 23 B6 00 34],0x311 limits chgV=57.6V chgI=38.0A disI=914.2A status_tail=0x0034,
8,ok,standard,0x312,data,8,29823068,29871348,149115.340,149356.740,241.400,20281.835,00 00 00 00 01 00 00 00,Growatt CAN 0x312 protections/alarms DLC=8 [00 00 00 00 01 00 00 00],0x312 prot1=0x00 prot2=0x00 alm1=0x00 alm2=0x00 pack=1 pwrred=0x0000,
9,ok,standard,0x313,data,8,33713717,33758797,168568.585,168793.985,225.400,19211.845,16 4B 00 00 01 3D 56 64,Growatt CAN 0x313 pack V/I/SOC/SOH DLC=8 [16 4B 00 00 01 3D 56 64],0x313 pack V=57.07V I=+0.0A Tavg=31.7C SOC=86%% SOH=100%% lifeWarn=0,
10,ok,standard,0x314,data,8,37732713,37780193,188663.565,188900.965,237.400,19869.580,01 AE 01 F4 00 04 00 00,Growatt CAN 0x314 capacity/delta/cycles DLC=8 [01 AE 01 F4 00 04 00 00],0x314 RM=4.30Ah FCC=5.00Ah dV=4mV cycles=0,
11,ok,standard,0x319,data,8,41714166,41760446,208570.830,208802.230,231.400,19669.865,C0 0D F2 0D EE 01 07 00,Growatt CAN 0x319 cell extremes/status DLC=8 [C0 0D F2 0D EE 01 07 00],0x319 cell_max=3.570V#1 cell_min=3.566V#7 dV=4mV flags=0xC0 chem=LFP chgEn=0 disEn=0,
12,ok,standard,0x320,data,8,45714807,45759487,228574.035,228797.435,223.400,19771.805,4A 4B 0F 26 0F 13 07 80,Growatt CAN 0x320 maker/software DLC=8 [4A 4B 0F 26 0F 13 07 80],0x320 maker='JK' hw=0x0F swL=0x26 swHext=0x0F compat=0x13 ext=0x07,
13,ok,standard,0x321,data,8,49714267,49762547,248571.335,248812.735,241.400,19773.900,00 00 00 00 00 00 00 00,Growatt CAN 0x321 upgrade info DLC=8 [00 00 00 00 00 00 00 00],0x321 remote-upgrade unused (all zero),
14,ok,standard,0x322,data,8,53725722,53771602,268628.610,268858.010,229.400,19815.875,01 3B 00 00 03 04 56 56,Growatt CAN 0x322 temperature/SOC range DLC=8 [01 3B 00 00 03 04 56 56],0x322 Tmax=31.5C#3 Tmin=0.0C#4 SOCmax=86%% SOCmin=86%%,
15,ok,standard,0x323,data,8,57733568,57782248,288667.840,288911.240,243.400,19809.830,10 00 00 00 00 00 00 00,Growatt CAN 0x323 cell count/protection/warning DLC=8 [10 00 00 00 00 00 00 00],0x323 cellCount=16 prot3=0x00 prot4=0x00 prot5=0x00 warn3=0x00,
16,ok,standard,0x311,data,8,61715362,61761242,308576.810,308806.210,229.400,19665.570,02 40 01 7C 23 B6 00 34,Growatt CAN 0x311 status/limits DLC=8 [02 40 01 7C 23 B6 00 34],0x311 limits chgV=57.6V chgI=38.0A disI=914.2A status_tail=0x0034,
17,ok,standard,0x312,data,8,65716406,65764686,328582.030,328823.430,241.400,19775.820,00 00 00 00 01 00 00 00,Growatt CAN 0x312 protections/alarms DLC=8 [00 00 00 00 01 00 00 00],0x312 prot1=0x00 prot2=0x00 alm1=0x00 alm2=0x00 pack=1 pwrred=0x0000,
18,ok,standard,0x313,data,8,69724191,69769271,348620.955,348846.355,225.400,19797.525,16 4B 00 00 01 3D 56 64,Growatt CAN 0x313 pack V/I/SOC/SOH DLC=8 [16 4B 00 00 01 3D 56 64],0x313 pack V=57.07V I=+0.0A Tavg=31.7C SOC=86%% SOH=100%% lifeWarn=0,
19,ok,standard,0x301,data,8,72087431,72131711,360437.155,360658.555,221.400,11590.800,0B 16 21 2C 37 42 4D 58,Growatt CAN 0x301 Growatt? DLC=8 [0B 16 21 2C 37 42 4D 58],0x301 unknown raw=0B 16 21 2C 37 42 4D 58,
20,ok,standard,0x314,data,8,73715510,73762990,368577.550,368814.950,237.400,7918.995,01 AE 01 F4 00 05 00 00,Growatt CAN 0x314 capacity/delta/cycles DLC=8 [01 AE 01 F4 00 05 00 00],0x314 RM=4.30Ah FCC=5.00Ah dV=5mV cycles=0,
21,ok,standard,0x319,data,8,77734972,77781252,388674.860,388906.260,231.400,19859.910,C0 0D F2 0D ED 01 07 00,Growatt CAN 0x319 cell extremes/status DLC=8 [C0 0D F2 0D ED 01 07 00],0x319 cell_max=3.570V#1 cell_min=3.565V#7 dV=5mV flags=0xC0 chem=LFP chgEn=0 disEn=0,
22,ok,standard,0x320,data,8,81716017,81760697,408580.085,408803.485,223.400,19673.825,4A 4B 0F 26 0F 13 07 80,Growatt CAN 0x320 maker/software DLC=8 [4A 4B 0F 26 0F 13 07 80],0x320 maker='JK' hw=0x0F swL=0x26 swHext=0x0F compat=0x13 ext=0x07,
23,ok,standard,0x321,data,8,85715878,85764158,428579.390,428820.790,241.400,19775.905,00 00 00 00 00 00 00 00,Growatt CAN 0x321 upgrade info DLC=8 [00 00 00 00 00 00 00 00],0x321 remote-upgrade unused (all zero),
24,ok,standard,0x322,data,8,89716520,89762400,448582.600,448812.000,229.400,19761.810,01 3B 00 00 03 04 56 56,Growatt CAN 0x322 temperature/SOC range DLC=8 [01 3B 00 00 03 04 56 56],0x322 Tmax=31.5C#3 Tmin=0.0C#4 SOCmax=86%% SOCmin=86%%,
25,ok,standard,0x323,data,8,93716773,93765453,468583.865,468827.265,243.400,19771.865,10 00 00 00 00 00 00 00,Growatt CAN 0x323 cell count/protection/warning DLC=8 [10 00 00 00 00 00 00 00],0x323 cellCount=16 prot3=0x00 prot4=0x00 prot5=0x00 warn3=0x00,
26,ok,standard,0x311,data,8,97745827,97791707,488729.135,488958.535,229.400,19901.870,02 40 01 7C 23 B6 00 34,Growatt CAN 0x311 status/limits DLC=8 [02 40 01 7C 23 B6 00 34],0x311 limits chgV=57.6V chgI=38.0A disI=914.2A status_tail=0x0034,
27,ok,standard,0x312,data,8,101727223,101775503,508636.115,508877.515,241.400,19677.580,00 00 00 00 01 00 00 00,Growatt CAN 0x312 protections/alarms DLC=8 [00 00 00 00 01 00 00 00],0x312 prot1=0x00 prot2=0x00 alm1=0x00 alm2=0x00 pack=1 pwrred=0x0000,
28,ok,standard,0x313,data,8,105717077,105762157,528585.385,528810.785,225.400,19707.870,16 4B 00 00 01 3D 56 64,Growatt CAN 0x313 pack V/I/SOC/SOH DLC=8 [16 4B 00 00 01 3D 56 64],0x313 pack V=57.07V I=+0.0A Tavg=31.7C SOC=86%% SOH=100%% lifeWarn=0,
29,ok,standard,0x314,data,8,109717252,109764732,548586.260,548823.660,237.400,19775.475,01 AE 01 F4 00 05 00 00,Growatt CAN 0x314 capacity/delta/cycles DLC=8 [01 AE 01 F4 00 05 00 00],0x314 RM=4.30Ah FCC=5.00Ah dV=5mV cycles=0,
30,ok,standard,0x319,data,8,113717503,113762983,568587.515,568814.915,227.400,19763.855,C0 0D F3 0D EE 01 07 00,Growatt CAN 0x319 cell extremes/status DLC=8 [C0 0D F3 0D EE 01 07 00],0x319 cell_max=3.571V#1 cell_min=3.566V#7 dV=5mV flags=0xC0 chem=LFP chgEn=0 disEn=0,
31,ok,standard,0x320,data,8,117756891,117801571,588784.455,589007.855,223.400,19969.540,4A 4B 0F 26 0F 13 07 80,Growatt CAN 0x320 maker/software DLC=8 [4A 4B 0F 26 0F 13 07 80],0x320 maker='JK' hw=0x0F swL=0x26 swHext=0x0F compat=0x13 ext=0x07,
32,ok,standard,0x321,data,8,121725143,121773423,608625.715,608867.115,241.400,19617.860,00 00 00 00 00 00 00 00,Growatt CAN 0x321 upgrade info DLC=8 [00 00 00 00 00 00 00 00],0x321 remote-upgrade unused (all zero),
33,ok,standard,0x322,data,8,125824612,125870492,629123.060,629352.460,229.400,20255.945,01 3B 00 00 03 04 56 56,Growatt CAN 0x322 temperature/SOC range DLC=8 [01 3B 00 00 03 04 56 56],0x322 Tmax=31.5C#3 Tmin=0.0C#4 SOCmax=86%% SOCmin=86%%,
34,ok,standard,0x323,data,8,129718780,129767460,648593.900,648837.300,243.400,19241.440,10 00 00 00 00 00 00 00,Growatt CAN 0x323 cell count/protection/warning DLC=8 [10 00 00 00 00 00 00 00],0x323 cellCount=16 prot3=0x00 prot4=0x00 prot5=0x00 warn3=0x00,
35,ok,standard,0x311,data,8,133718634,133764514,668593.170,668822.570,229.400,19755.870,02 40 01 7C 23 B6 00 34,Growatt CAN 0x311 status/limits DLC=8 [02 40 01 7C 23 B6 00 34],0x311 limits chgV=57.6V chgI=38.0A disI=914.2A status_tail=0x0034,
