sequence_no,frame_count,start_us,end_us,duration_us,gap_from_previous_us,unique_can_ids,first_frame_no,last_frame_no
1,8,194966.375,254555.660,59589.285,,0x301 0x311 0x312 0x313 0x314 0x319 0x320 0x322,1,8
2,8,652762.360,705207.445,52445.085,398206.700,0x301 0x311 0x312 0x313 0x314 0x319 0x320 0x322,9,16
3,7,852794.155,854501.355,1707.200,147586.710,0x311 0x312 0x313 0x314 0x319 0x320 0x322,17,23
4,8,1214997.315,1254556.645,39559.330,360495.960,0x301 0x311 0x312 0x313 0x314 0x319 0x320 0x322,24,31
5,7,1452893.450,1454634.645,1741.195,198336.805,0x311 0x312 0x313 0x314 0x319 0x320 0x322,32,38
6,1,1725017.770,1725239.170,221.400,270383.125,0x301,39,39
7,6,1852817.845,1854294.740,1476.895,127578.675,0x311 0x312 0x313 0x314 0x319 0x320,40,45
8,6,2052791.540,2054270.440,1478.900,198496.800,0x311 0x312 0x313 0x314 0x319 0x320,46,51
9,7,2235028.840,2254237.935,19209.095,180758.400,0x301 0x311 0x312 0x313 0x314 0x319 0x320,52,58
10,6,2452886.740,2454369.640,1482.900,198648.805,0x311 0x312 0x313 0x314 0x319 0x320,59,64
11,1,2745047.505,2745268.905,221.400,290677.865,0x301,65,65
12,6,2852753.635,2854224.530,1470.895,107484.730,0x311 0x312 0x313 0x314 0x319 0x320,66,71
13,7,3052909.335,3054640.530,1731.195,198684.805,0x311 0x312 0x313 0x314 0x319 0x320 0x322,72,78
14,8,3252771.330,3255280.965,2509.635,198130.800,0x301 0x311 0x312 0x313 0x314 0x319 0x320 0x322,79,86
15,7,3452949.625,3454692.820,1743.195,197668.660,0x311 0x312 0x313 0x314 0x319 0x320 0x322,87,93
16,8,3765077.235,3854560.515,89483.280,310384.415,0x301 0x311 0x312 0x313 0x314 0x319 0x320 0x322,94,101
17,8,4252801.215,4275311.495,22510.280,398240.700,0x301 0x311 0x312 0x313 0x314 0x319 0x320 0x322,102,109
18,7,4652874.105,4654597.305,1723.200,377562.610,0x311 0x312 0x313 0x314 0x319 0x320 0x322,110,116
19,8,4785108.360,4854491.700,69383.340,130511.055,0x301 0x311 0x312 0x313 0x314 0x319 0x320 0x322,117,124
20,7,5252826.395,5295341.030,42514.635,398334.695,0x301 0x311 0x312 0x313 0x314 0x319 0x320,125,131
21,6,5452897.690,5454396.595,1498.905,157556.660,0x311 0x312 0x313 0x314 0x319 0x320,132,137
22,7,5805138.090,5854301.085,49162.995,350741.495,0x301 0x311 0x312 0x313 0x314 0x319 0x320,138,144
23,6,6052805.885,6054272.785,1466.900,198504.800,0x311 0x312 0x313 0x314 0x319 0x320,145,150
24,1,6315149.760,6315371.160,221.400,260876.975,0x301,151,151
25,6,6452749.880,6454222.775,1472.895,137378.720,0x311 0x312 0x313 0x314 0x319 0x320,152,157
26,7,6652869.570,6654596.770,1727.200,198646.795,0x311 0x312 0x313 0x314 0x319 0x320 0x322,158,164
27,8,6825169.025,6854586.365,29417.340,170572.255,0x301 0x311 0x312 0x313 0x314 0x319 0x320 0x322,165,172
28,7,7053811.165,7055522.360,1711.195,199224.800,0x311 0x312 0x313 0x314 0x319 0x320 0x322,173,179
29,1,7335181.885,7335403.285,221.400,279659.525,0x301,180,180
30,7,7453907.955,7455647.150,1739.195,118504.670,0x311 0x312 0x313 0x314 0x319 0x320 0x322,181,187
31,8,7845199.950,7855549.345,10349.395,389552.800,0x301 0x311 0x312 0x313 0x314 0x319 0x320 0x322,188,195
32,7,8053878.140,8055593.340,1715.200,198328.795,0x311 0x312 0x313 0x314 0x319 0x320 0x322,196,202
33,8,8355211.415,8455558.735,100347.320,299618.075,0x301 0x311 0x312 0x313 0x314 0x319 0x320 0x322,203,210
34,7,8853799.435,8865451.080,11651.645,398240.700,0x301 0x311 0x312 0x313 0x314 0x319 0x320,211,217
35,6,9053855.730,9055334.625,1478.895,188404.650,0x311 0x312 0x313 0x314 0x319 0x320,218,223
36,7,9375241.345,9455418.415,80177.070,319906.720,0x301 0x311 0x312 0x313 0x314 0x319 0x320,224,230
37,7,9853865.115,9885483.405,31618.290,398446.700,0x301 0x311 0x312 0x313 0x314 0x319 0x320,231,237
