frame_no,status,type,slave,func,start_reg,count,byte_count,crc_ok,start_sample,end_sample,start_us,end_us,duration_us,gap_from_previous_us,raw_hex,summary,decoded,error
1,ok,request,0x01,0x03,0x0071,16,,true,26987657,28945972,134938.285,144729.860,9791.575,,01 03 00 71 00 10 14 1D,Growatt RS485 req slave=0x01 func=0x03 start=0x0071 count=16 crc=OK,read holding registers start=0x0071 count=16,
2,ok,response,0x01,0x03,0x0071,16,32,true,29985101,37693780,149925.505,188468.900,38543.395,5195.645,01 03 20 0D ED 0D EE 0D ED 0D EE 0D F1 0D EF 0D EF 0D F1 0D EF 0D EE 0D ED 0D EE 0D EF 0D EF 0D EF 00 00 73 0A,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0071..0x0080 bytes=32 crc=OK,response regs 0x0071..0x0080: cells count=15 min=3.565V#1 max=3.569V#5,
3,ok,request,0x01,0x03,0x0010,15,,true,107808596,109766910,539042.980,548834.550,9791.570,350574.080,01 03 00 10 00 0F 04 0B,Growatt RS485 req slave=0x01 func=0x03 start=0x0010 count=15 crc=OK,read holding registers start=0x0010 count=15,
4,ok,response,0x01,0x03,0x0010,15,30,true,110780526,118072522,553902.630,590362.610,36459.980,5068.080,01 03 1E 00 00 00 00 02 0B 04 69 00 00 00 56 16 4C 00 00 00 1F 0E D8 01 AE 01 F4 01 01 00 00 00 00 AD 85,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0010..0x001E bytes=30 crc=OK,"response regs 0x0010..0x001E: status=0x0469 mode=standby err=NO bal=ON master=standalone sp=standby, prot=0x0000 (none), SOC=86%%, pack_v=57.08V, |pack_i|=0.00A, temp=31C",
5,ok,request,0x01,0x03,0x0020,11,,true,187994547,189952861,939972.735,949764.305,9791.570,349610.125,01 03 00 20 00 0B 05 C7,Growatt RS485 req slave=0x01 func=0x03 start=0x0020 count=11 crc=OK,read holding registers start=0x0020 count=11,
6,ok,response,0x01,0x03,0x0020,11,22,true,190992591,196617844,954962.955,983089.220,28126.265,5198.650,01 03 16 00 64 16 80 00 00 4A 38 00 00 0D F2 0D EE 00 01 00 02 00 00 00 00 F8 19,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0020..0x002A bytes=22 crc=OK,"response regs 0x0020..0x002A: SOH=100%%, chg_v_target=57.60V, warn=0x0000 (none), dis_lim=190.00A, ext_err=0x0000, cell_max=3.570V",
7,ok,request,0x01,0x03,0x0071,16,,true,268577300,270535615,1342886.500,1352678.075,9791.575,359797.280,01 03 00 71 00 10 14 1D,Growatt RS485 req slave=0x01 func=0x03 start=0x0071 count=16 crc=OK,read holding registers start=0x0071 count=16,
8,ok,response,0x01,0x03,0x0071,16,32,true,271579675,279288357,1357898.375,1396441.785,38543.410,5220.300,01 03 20 0D EE 0D F1 0D F1 0D F1 0D EF 0D ED 0D ED 0D EE 0D EE 0D EE 0D EF 0D F2 0D F2 0D EE 0D EF 00 00 E9 2B,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0071..0x0080 bytes=32 crc=OK,response regs 0x0071..0x0080: cells count=15 min=3.565V#6 max=3.570V#12,
9,ok,request,0x01,0x03,0x0010,15,,true,349376751,351335066,1746883.755,1756675.330,9791.575,350441.970,01 03 00 10 00 0F 04 0B,Growatt RS485 req slave=0x01 func=0x03 start=0x0010 count=15 crc=OK,read holding registers start=0x0010 count=15,
10,ok,response,0x01,0x03,0x0010,15,30,true,352395934,359687930,1761979.670,1798439.650,36459.980,5304.340,01 03 1E 00 00 00 00 02 0B 04 69 00 00 00 56 16 4C 00 00 00 1F 0E D8 01 AE 01 F4 01 01 00 00 00 00 AD 85,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0010..0x001E bytes=30 crc=OK,"response regs 0x0010..0x001E: status=0x0469 mode=standby err=NO bal=ON master=standalone sp=standby, prot=0x0000 (none), SOC=86%%, pack_v=57.08V, |pack_i|=0.00A, temp=31C",
