sequence_no,complete,status,request_frame_no,response_frame_no,slave,func,start_reg,count,request_start_us,request_end_us,response_start_us,response_end_us,request_to_response_us,full_exchange_us,request_summary,response_summary
1,true,complete,1,2,0x01,0x03,0x0071,16,134938.285,144729.860,149925.505,188468.900,5195.645,53530.615,Growatt RS485 req slave=0x01 func=0x03 start=0x0071 count=16 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0071..0x0080 bytes=32 crc=OK
2,true,complete,3,4,0x01,0x03,0x0010,15,539042.980,548834.550,553902.630,590362.610,5068.080,51319.630,Growatt RS485 req slave=0x01 func=0x03 start=0x0010 count=15 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0010..0x001E bytes=30 crc=OK
3,true,complete,5,6,0x01,0x03,0x0020,11,939972.735,949764.305,954962.955,983089.220,5198.650,43116.485,Growatt RS485 req slave=0x01 func=0x03 start=0x0020 count=11 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0020..0x002A bytes=22 crc=OK
4,true,complete,7,8,0x01,0x03,0x0071,16,1342886.500,1352678.075,1357898.375,1396441.785,5220.300,53555.285,Growatt RS485 req slave=0x01 func=0x03 start=0x0071 count=16 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0071..0x0080 bytes=32 crc=OK
5,true,complete,9,10,0x01,0x03,0x0010,15,1746883.755,1756675.330,1761979.670,1798439.650,5304.340,51555.895,Growatt RS485 req slave=0x01 func=0x03 start=0x0010 count=15 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0010..0x001E bytes=30 crc=OK
6,true,complete,11,12,0x01,0x03,0x0020,11,2148001.015,2157792.590,2163040.010,2191166.260,5247.420,43165.245,Growatt RS485 req slave=0x01 func=0x03 start=0x0020 count=11 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0020..0x002A bytes=22 crc=OK
7,true,complete,13,14,0x01,0x03,0x0071,16,2551040.940,2560832.510,2565975.420,2604518.830,5142.910,53477.890,Growatt RS485 req slave=0x01 func=0x03 start=0x0071 count=16 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0071..0x0080 bytes=32 crc=OK
8,true,complete,15,16,0x01,0x03,0x0010,15,2953969.215,2963760.790,2969015.015,3005474.985,5254.225,51505.770,Growatt RS485 req slave=0x01 func=0x03 start=0x0010 count=15 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0010..0x001E bytes=30 crc=OK
9,true,complete,17,18,0x01,0x03,0x0020,11,3354904.075,3364695.650,3369033.630,3397159.880,4337.980,42255.805,Growatt RS485 req slave=0x01 func=0x03 start=0x0020 count=11 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0020..0x002A bytes=22 crc=OK
10,true,complete,19,20,0x01,0x03,0x0071,16,3756938.730,3766730.310,3771031.495,3809574.905,4301.185,52636.175,Growatt RS485 req slave=0x01 func=0x03 start=0x0071 count=16 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0071..0x0080 bytes=32 crc=OK
