frame_no,status,frame_type,can_id,rtr_type,dlc,start_sample,end_sample,start_us,end_us,duration_us,gap_from_previous_us,data_hex,summary,decoded,error
1,ok,standard,0x318,data,8,13407147,13451827,67035.735,67259.135,223.400,,0D 95 0D 8E 0D 92 0D 92,Growatt CAN 0x318 cell group 4 DLC=8 [0D 95 0D 8E 0D 92 0D 92],0x318 cells C13=3.477V C14=3.470V C15=3.474V C16=3.474V,
2,ok,standard,0x311,data,8,46606187,46651667,233030.935,233258.335,227.400,165771.800,02 40 07 08 07 08 00 69,Growatt CAN 0x311 status/limits DLC=8 [02 40 07 08 07 08 00 69],0x311 limits chgV=57.6V chgI=180.0A disI=180.0A status_tail=0x0069,
3,ok,standard,0x312,data,8,63697728,63746008,318488.640,318730.040,241.400,85230.305,00 00 00 00 01 00 00 10,Growatt CAN 0x312 protections/alarms DLC=8 [00 00 00 00 01 00 00 10],0x312 prot1=0x00 prot2=0x00 alm1=0x00 alm2=0x00 pack=1 pwrred=0x0000,
4,ok,standard,0x313,data,8,80206474,80251954,401032.370,401259.770,227.400,82302.330,15 B6 00 00 01 08 46 64,Growatt CAN 0x313 pack V/I/SOC/SOH DLC=8 [15 B6 00 00 01 08 46 64],0x313 pack V=55.58V I=+0.0A Tavg=26.4C SOC=70%% SOH=100%% lifeWarn=0,
5,ok,standard,0x301,data,8,86108916,86153196,430544.580,430765.980,221.400,29284.810,0B 16 21 2C 37 42 4D 58,Growatt CAN 0x301 Growatt? DLC=8 [0B 16 21 2C 37 42 4D 58],0x301 unknown raw=0B 16 21 2C 37 42 4D 58,
6,ok,standard,0x314,data,8,96806468,96853148,484032.340,484265.740,233.400,53266.360,36 D8 71 48 00 0A 00 00,Growatt CAN 0x314 capacity/delta/cycles DLC=8 [36 D8 71 48 00 0A 00 00],0x314 RM=140.40Ah FCC=290.00Ah dV=10mV cycles=0,
7,ok,standard,0x319,data,8,113406413,113451893,567032.065,567259.465,227.400,82766.325,C1 0D 96 0D 8C 01 01 00,Growatt CAN 0x319 cell extremes/status DLC=8 [C1 0D 96 0D 8C 01 01 00],0x319 cell_max=3.478V#1 cell_min=3.468V#1 dV=10mV flags=0xC1 chem=Ternary chgEn=0 disEn=0,
8,ok,standard,0x320,data,8,130006358,130053038,650031.790,650265.190,233.400,82772.325,47 54 0A 0A 00 00 00 00,Growatt CAN 0x320 maker/software DLC=8 [47 54 0A 0A 00 00 00 00],0x320 maker='GT' hw=0x0A swL=0x0A swHext=0x00 compat=0x00 ext=0x00,
9,ok,standard,0x322,data,8,146605503,146651383,733027.515,733256.915,229.400,82762.325,01 08 01 02 01 01 46 46,Growatt CAN 0x322 temperature/SOC range DLC=8 [01 08 01 02 01 01 46 46],0x322 Tmax=26.4C#1 Tmin=25.8C#1 SOCmax=70%% SOCmin=70%%,
10,ok,standard,0x315,data,8,163696644,163740524,818483.220,818702.620,219.400,85226.305,0D 93 0D 8C 0D 91 0D 90,Growatt CAN 0x315 cell group 1 DLC=8 [0D 93 0D 8C 0D 91 0D 90],0x315 cells C01=3.475V C02=3.468V C03=3.473V C04=3.472V,
