sequence_no,frame_count,start_us,end_us,duration_us,gap_from_previous_us,unique_can_ids,first_frame_no,last_frame_no
1,21,57426.645,1553650.630,1496223.985,,0x301 0x311 0x312 0x313 0x314 0x315 0x316 0x317 0x318 0x319 0x320 0x322,1,21
2,13,1668319.385,2553642.250,885322.865,114668.755,0x301 0x311 0x312 0x313 0x314 0x315 0x316 0x317 0x318 0x319 0x320 0x322,22,34
3,13,2688907.000,3553636.120,864729.120,135264.750,0x301 0x311 0x312 0x313 0x314 0x315 0x316 0x317 0x318 0x319 0x320 0x322,35,47
4,13,3708502.820,4553628.250,845125.430,154866.700,0x301 0x311 0x312 0x313 0x314 0x315 0x316 0x317 0x318 0x319 0x320 0x322,48,60
5,13,4719402.085,5553621.130,834219.045,165773.835,0x301 0x311 0x312 0x313 0x314 0x315 0x316 0x317 0x318 0x319 0x320 0x322,61,73
6,13,5719394.965,6553618.260,834223.295,165773.835,0x301 0x311 0x312 0x313 0x314 0x315 0x316 0x317 0x318 0x319 0x320 0x322,74,86
7,13,6719392.095,7553607.890,834215.795,165773.835,0x301 0x311 0x312 0x313 0x314 0x315 0x316 0x317 0x318 0x319 0x320 0x322,87,99
8,13,7719385.725,8553603.520,834217.795,165777.835,0x301 0x311 0x312 0x313 0x314 0x315 0x316 0x317 0x318 0x319 0x320 0x322,100,112
9,13,8719377.355,9553602.400,834225.045,165773.835,0x301 0x311 0x312 0x313 0x314 0x315 0x316 0x317 0x318 0x319 0x320 0x322,113,125
10,5,9719370.235,9970605.100,251234.865,165767.835,0x301 0x311 0x312 0x313 0x314,126,130
