frame_no,status,type,slave,func,start_reg,count,byte_count,crc_ok,start_sample,end_sample,start_us,end_us,duration_us,gap_from_previous_us,raw_hex,summary,decoded,error
1,ok,request,0x01,0x03,0x0071,16,,true,38760491,40718806,193802.455,203594.030,9791.575,,01 03 00 71 00 10 14 1D,Growatt RS485 req slave=0x01 func=0x03 start=0x0071 count=16 crc=OK,read holding registers start=0x0071 count=16,
2,ok,response,0x01,0x03,0x0071,16,32,true,50616777,58325068,253083.885,291625.340,38541.455,49489.855,01 03 20 0D 8E 0D 88 0D 8D 0D 8C 0D 8C 0D 8F 0D 8C 0D 8F 0D 90 0D 8E 0D 90 0D 92 0D 91 0D 8A 0D 8E 0D 8D 45 EA,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0071..0x0080 bytes=32 crc=OK,response regs 0x0071..0x0080: cells count=16 min=3.464V#2 max=3.474V#12,
3,ok,request,0x01,0x03,0x0010,15,,true,120363093,122321406,601815.465,611607.030,9791.565,310190.125,01 03 00 10 00 0F 04 0B,Growatt RS485 req slave=0x01 func=0x03 start=0x0010 count=15 crc=OK,read holding registers start=0x0010 count=15,
4,ok,response,0x01,0x03,0x0010,15,30,true,132215233,139506863,661076.165,697534.315,36458.150,49469.135,01 03 1E 00 00 00 00 00 00 00 69 00 00 00 46 15 B0 00 00 00 1A 46 50 36 D8 4E 20 00 00 00 00 00 00 B0 35,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0010..0x001E bytes=30 crc=OK,"response regs 0x0010..0x001E: status=0x0069 mode=standby err=NO bal=ON master=standalone sp=none, prot=0x0000 (none), SOC=70%%, pack_v=55.52V, |pack_i|=0.00A, temp=26C",
5,ok,request,0x01,0x03,0x0020,11,,true,201563881,203522196,1007819.405,1017610.980,9791.575,310285.090,01 03 00 20 00 0B 05 C7,Growatt RS485 req slave=0x01 func=0x03 start=0x0020 count=11 crc=OK,read holding registers start=0x0020 count=11,
6,ok,exception,0x01,0x03,,,,true,213411357,214453022,1067056.785,1072265.110,5208.325,49445.805,01 83 01 80 F0,Growatt RS485 exception slave=0x01 func=0x03 code=0x01 crc=OK,exception func=0x03 code=0x01,
7,ok,request,0x01,0x03,0x0071,16,,true,282372690,284331005,1411863.450,1421655.025,9791.575,339598.340,01 03 00 71 00 10 14 1D,Growatt RS485 req slave=0x01 func=0x03 start=0x0071 count=16 crc=OK,read holding registers start=0x0071 count=16,
8,ok,response,0x01,0x03,0x0071,16,32,true,294214217,301922507,1471071.085,1509612.535,38541.450,49416.060,01 03 20 0D 8E 0D 88 0D 8D 0D 8C 0D 8C 0D 8F 0D 8C 0D 8F 0D 90 0D 8E 0D 90 0D 92 0D 90 0D 8A 0D 8E 0D 8D 55 2A,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0071..0x0080 bytes=32 crc=OK,response regs 0x0071..0x0080: cells count=16 min=3.464V#2 max=3.474V#12,
9,ok,request,0x01,0x03,0x0010,15,,true,363969179,365927493,1819845.895,1829637.465,9791.570,310233.360,01 03 00 10 00 0F 04 0B,Growatt RS485 req slave=0x01 func=0x03 start=0x0010 count=15 crc=OK,read holding registers start=0x0010 count=15,
10,ok,response,0x01,0x03,0x0010,15,30,true,375813971,383105602,1879069.855,1915528.010,36458.155,49432.390,01 03 1E 00 00 00 00 00 00 00 69 00 00 00 46 15 AF 00 00 00 1A 46 50 36 D8 4E 20 00 00 00 00 00 00 88 03,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0010..0x001E bytes=30 crc=OK,"response regs 0x0010..0x001E: status=0x0069 mode=standby err=NO bal=ON master=standalone sp=none, prot=0x0000 (none), SOC=70%%, pack_v=55.51V, |pack_i|=0.00A, temp=26C",
11,ok,request,0x01,0x03,0x0020,11,,true,445247173,447205487,2226235.865,2236027.435,9791.570,310707.855,01 03 00 20 00 0B 05 C7,Growatt RS485 req slave=0x01 func=0x03 start=0x0020 count=11 crc=OK,read holding registers start=0x0020 count=11,
12,ok,exception,0x01,0x03,,,,true,457010063,458051728,2285050.315,2290258.640,5208.325,49022.880,01 83 01 80 F0,Growatt RS485 exception slave=0x01 func=0x03 code=0x01 crc=OK,exception func=0x03 code=0x01,
13,ok,request,0x01,0x03,0x0071,16,,true,525972147,527930461,2629860.735,2639652.305,9791.570,339602.095,01 03 00 71 00 10 14 1D,Growatt RS485 req slave=0x01 func=0x03 start=0x0071 count=16 crc=OK,read holding registers start=0x0071 count=16,
