sequence_no,complete,status,request_frame_no,response_frame_no,slave,func,start_reg,count,request_start_us,request_end_us,response_start_us,response_end_us,request_to_response_us,full_exchange_us,request_summary,response_summary
1,true,complete,1,2,0x01,0x03,0x0071,16,193802.455,203594.030,253083.885,291625.340,49489.855,97822.885,Growatt RS485 req slave=0x01 func=0x03 start=0x0071 count=16 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0071..0x0080 bytes=32 crc=OK
2,true,complete,3,4,0x01,0x03,0x0010,15,601815.465,611607.030,661076.165,697534.315,49469.135,95718.850,Growatt RS485 req slave=0x01 func=0x03 start=0x0010 count=15 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0010..0x001E bytes=30 crc=OK
3,true,complete,5,6,0x01,0x03,0x0020,11,1007819.405,1017610.980,1067056.785,1072265.110,49445.805,64445.705,Growatt RS485 req slave=0x01 func=0x03 start=0x0020 count=11 crc=OK,Growatt RS485 exception slave=0x01 func=0x03 code=0x01 crc=OK
4,true,complete,7,8,0x01,0x03,0x0071,16,1411863.450,1421655.025,1471071.085,1509612.535,49416.060,97749.085,Growatt RS485 req slave=0x01 func=0x03 start=0x0071 count=16 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0071..0x0080 bytes=32 crc=OK
5,true,complete,9,10,0x01,0x03,0x0010,15,1819845.895,1829637.465,1879069.855,1915528.010,49432.390,95682.115,Growatt RS485 req slave=0x01 func=0x03 start=0x0010 count=15 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0010..0x001E bytes=30 crc=OK
6,true,complete,11,12,0x01,0x03,0x0020,11,2226235.865,2236027.435,2285050.315,2290258.640,49022.880,64022.775,Growatt RS485 req slave=0x01 func=0x03 start=0x0020 count=11 crc=OK,Growatt RS485 exception slave=0x01 func=0x03 code=0x01 crc=OK
7,true,complete,13,14,0x01,0x03,0x0071,16,2629860.735,2639652.305,2689064.780,2727606.230,49412.475,97745.495,Growatt RS485 req slave=0x01 func=0x03 start=0x0071 count=16 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0071..0x0080 bytes=32 crc=OK
8,true,complete,15,16,0x01,0x03,0x0010,15,3037829.150,3047620.725,3097057.055,3133515.205,49436.330,95686.055,Growatt RS485 req slave=0x01 func=0x03 start=0x0010 count=15 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0010..0x001E bytes=30 crc=OK
9,true,complete,17,18,0x01,0x03,0x0020,11,3443793.535,3453585.105,3503037.505,3508245.835,49452.400,64452.300,Growatt RS485 req slave=0x01 func=0x03 start=0x0020 count=11 crc=OK,Growatt RS485 exception slave=0x01 func=0x03 code=0x01 crc=OK
10,true,complete,19,20,0x01,0x03,0x0071,16,3847810.540,3857602.115,3907058.475,3945599.930,49456.360,97789.390,Growatt RS485 req slave=0x01 func=0x03 start=0x0071 count=16 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0071..0x0080 bytes=32 crc=OK
11,true,complete,21,22,0x01,0x03,0x0010,15,4254830.175,4264621.745,4314054.585,4350512.735,49432.840,95682.560,Growatt RS485 req slave=0x01 func=0x03 start=0x0010 count=15 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0010..0x001E bytes=30 crc=OK
12,true,complete,23,24,0x01,0x03,0x0020,11,4660867.940,4670659.515,4720028.535,4725236.865,49369.020,64368.925,Growatt RS485 req slave=0x01 func=0x03 start=0x0020 count=11 crc=OK,Growatt RS485 exception slave=0x01 func=0x03 code=0x01 crc=OK
13,true,complete,25,26,0x01,0x03,0x0071,16,5064781.900,5074573.470,5124049.495,5162590.960,49476.025,97809.060,Growatt RS485 req slave=0x01 func=0x03 start=0x0071 count=16 crc=OK,Growatt RS485 rsp slave=0x01 func=0x03 regs=0x0071..0x0080 bytes=32 crc=OK
