frame_no,status,frame_type,can_id,rtr_type,dlc,start_sample,end_sample,start_us,end_us,duration_us,gap_from_previous_us,data_hex,summary,decoded,error
1,ok,standard,0x2F4,data,8,801975,895335,4009.875,4476.675,466.800,,3B 02 A0 0F 63 00 00 00,JKBMS CAN 0x2F4 battery status node=0 DLC=8 [3B 02 A0 0F 63 00 00 00],0x2F0 pack V=57.1V I=+0.0A SOC=99% discharge_time=0h,
2,ok,standard,0x4F4,data,8,999582,1092142,4997.910,5460.710,462.800,521.235,F5 0D 01 F2 0D 04 00 00,JKBMS CAN 0x4F4 cell voltage extremes node=0 DLC=8 [F5 0D 01 F2 0D 04 00 00],0x4F0 cell_max=3.573V#1 cell_min=3.570V#4 dV=3mV,
3,ok,standard,0x2F4,data,8,20794113,20887473,103970.565,104437.365,466.800,98509.855,3B 02 A0 0F 63 00 00 00,JKBMS CAN 0x2F4 battery status node=0 DLC=8 [3B 02 A0 0F 63 00 00 00],0x2F0 pack V=57.1V I=+0.0A SOC=99% discharge_time=0h,
4,ok,standard,0x4F4,data,8,20993337,21085897,104966.685,105429.485,462.800,529.320,F5 0D 01 F2 0D 04 00 00,JKBMS CAN 0x4F4 cell voltage extremes node=0 DLC=8 [F5 0D 01 F2 0D 04 00 00],0x4F0 cell_max=3.573V#1 cell_min=3.570V#4 dV=3mV,
5,ok,extended,0x18F128F4,data,8,21193347,21302707,105966.735,106513.535,546.800,537.250,8B 01 90 01 5A 00 00 00,JKBMS CAN 0x18F128F4 capacity/cycles node=0 DLC=8 [8B 01 90 01 5A 00 00 00],0x18F128F0 capacity remain=39.5Ah rated=40.0Ah reserved=0x005A cycles=0,
6,ok,standard,0x2F4,data,8,40795055,40888415,203975.275,204442.075,466.800,97461.740,3B 02 A0 0F 63 00 00 00,JKBMS CAN 0x2F4 battery status node=0 DLC=8 [3B 02 A0 0F 63 00 00 00],0x2F0 pack V=57.1V I=+0.0A SOC=99% discharge_time=0h,
7,ok,standard,0x4F4,data,8,41001532,41094092,205007.660,205470.460,462.800,565.585,F5 0D 01 F2 0D 04 00 00,JKBMS CAN 0x4F4 cell voltage extremes node=0 DLC=8 [F5 0D 01 F2 0D 04 00 00],0x4F0 cell_max=3.573V#1 cell_min=3.570V#4 dV=3mV,
8,ok,standard,0x2F4,data,8,60796000,60889360,303980.000,304446.800,466.800,98509.540,3B 02 A0 0F 63 00 00 00,JKBMS CAN 0x2F4 battery status node=0 DLC=8 [3B 02 A0 0F 63 00 00 00],0x2F0 pack V=57.1V I=+0.0A SOC=99% discharge_time=0h,
9,ok,standard,0x4F4,data,8,60995206,61087766,304976.030,305438.830,462.800,529.230,F5 0D 01 F2 0D 04 00 00,JKBMS CAN 0x4F4 cell voltage extremes node=0 DLC=8 [F5 0D 01 F2 0D 04 00 00],0x4F0 cell_max=3.573V#1 cell_min=3.570V#4 dV=3mV,
10,ok,extended,0x18F128F4,data,8,61195214,61304574,305976.070,306522.870,546.800,537.240,8B 01 90 01 5A 00 00 00,JKBMS CAN 0x18F128F4 capacity/cycles node=0 DLC=8 [8B 01 90 01 5A 00 00 00],0x18F128F0 capacity remain=39.5Ah rated=40.0Ah reserved=0x005A cycles=0,
11,ok,standard,0x2F4,data,8,80796874,80890234,403984.370,404451.170,466.800,97461.500,3B 02 A0 0F 63 00 00 00,JKBMS CAN 0x2F4 battery status node=0 DLC=8 [3B 02 A0 0F 63 00 00 00],0x2F0 pack V=57.1V I=+0.0A SOC=99% discharge_time=0h,
12,ok,standard,0x4F4,data,8,80999281,81091841,404996.405,405459.205,462.800,545.235,F5 0D 01 F2 0D 04 00 00,JKBMS CAN 0x4F4 cell voltage extremes node=0 DLC=8 [F5 0D 01 F2 0D 04 00 00],0x4F0 cell_max=3.573V#1 cell_min=3.570V#4 dV=3mV,
13,ok,extended,0x18F528F4,data,8,81304094,81417454,406520.470,407087.270,566.800,1061.265,23 00 00 00 00 00 00 00,JKBMS CAN 0x18F528F4 BMS status raw node=0 DLC=8 [23 00 00 00 00 00 00 00],0x18F528F0 BMS status raw raw=23 00 00 00 00 00 00 00,
14,ok,extended,0x1806E5F4,data,8,81420973,81532733,407104.865,407663.665,558.800,17.595,02 9E 01 7C 20 00 00 00,JKBMS CAN 0x1806E5F4 charge limits node=0 DLC=8 [02 9E 01 7C 20 00 00 00],0x1806E5F0 charge info V=4045.0V I=3174.5A raw=02 9E 01 7C 20 00 00 00,
15,ok,standard,0x2F4,data,8,100797817,100891177,503989.085,504455.885,466.800,96325.420,3B 02 A0 0F 63 00 00 00,JKBMS CAN 0x2F4 battery status node=0 DLC=8 [3B 02 A0 0F 63 00 00 00],0x2F0 pack V=57.1V I=+0.0A SOC=99% discharge_time=0h,
16,ok,standard,0x4F4,data,8,101105026,101197586,505525.130,505987.930,462.800,1069.245,F5 0D 01 F2 0D 04 00 00,JKBMS CAN 0x4F4 cell voltage extremes node=0 DLC=8 [F5 0D 01 F2 0D 04 00 00],0x4F0 cell_max=3.573V#1 cell_min=3.570V#4 dV=3mV,
17,ok,extended,0x18F128F4,data,8,101205911,101315271,506029.555,506576.355,546.800,41.625,8B 01 90 01 5A 00 00 00,JKBMS CAN 0x18F128F4 capacity/cycles node=0 DLC=8 [8B 01 90 01 5A 00 00 00],0x18F128F0 capacity remain=39.5Ah rated=40.0Ah reserved=0x005A cycles=0,
18,ok,standard,0x2F4,data,8,120798759,120892119,603993.795,604460.595,466.800,97417.440,3B 02 A0 0F 63 00 00 00,JKBMS CAN 0x2F4 battery status node=0 DLC=8 [3B 02 A0 0F 63 00 00 00],0x2F0 pack V=57.1V I=+0.0A SOC=99% discharge_time=0h,
19,ok,standard,0x4F4,data,8,120998029,121090589,604990.145,605452.945,462.800,529.550,F5 0D 01 F2 0D 04 00 00,JKBMS CAN 0x4F4 cell voltage extremes node=0 DLC=8 [F5 0D 01 F2 0D 04 00 00],0x4F0 cell_max=3.573V#1 cell_min=3.570V#4 dV=3mV,
20,ok,standard,0x2F4,data,8,140906176,140999536,704530.880,704997.680,466.800,99077.935,3B 02 A0 0F 63 00 00 00,JKBMS CAN 0x2F4 battery status node=0 DLC=8 [3B 02 A0 0F 63 00 00 00],0x2F0 pack V=57.1V I=+0.0A SOC=99% discharge_time=0h,
21,ok,standard,0x4F4,data,8,141007838,141099598,705039.190,705497.990,458.800,41.510,F5 0D 01 F3 0D 04 00 00,JKBMS CAN 0x4F4 cell voltage extremes node=0 DLC=8 [F5 0D 01 F3 0D 04 00 00],0x4F0 cell_max=3.573V#1 cell_min=3.571V#4 dV=2mV,
22,ok,extended,0x18F128F4,data,8,141206255,141315615,706031.275,706578.075,546.800,533.285,8B 01 90 01 5A 00 00 00,JKBMS CAN 0x18F128F4 capacity/cycles node=0 DLC=8 [8B 01 90 01 5A 00 00 00],0x18F128F0 capacity remain=39.5Ah rated=40.0Ah reserved=0x005A cycles=0,
23,ok,standard,0x2F4,data,8,160799903,160893263,803999.515,804466.315,466.800,97421.440,3B 02 A0 0F 63 00 00 00,JKBMS CAN 0x2F4 battery status node=0 DLC=8 [3B 02 A0 0F 63 00 00 00],0x2F0 pack V=57.1V I=+0.0A SOC=99% discharge_time=0h,
24,ok,standard,0x4F4,data,8,160999189,161091749,804995.945,805458.745,462.800,529.630,F5 0D 01 F2 0D 04 00 00,JKBMS CAN 0x4F4 cell voltage extremes node=0 DLC=8 [F5 0D 01 F2 0D 04 00 00],0x4F0 cell_max=3.573V#1 cell_min=3.570V#4 dV=3mV,
25,ok,standard,0x2F4,data,8,180800845,180894205,904004.225,904471.025,466.800,98545.480,3B 02 A0 0F 63 00 00 00,JKBMS CAN 0x2F4 battery status node=0 DLC=8 [3B 02 A0 0F 63 00 00 00],0x2F0 pack V=57.1V I=+0.0A SOC=99% discharge_time=0h,
26,ok,standard,0x4F4,data,8,181000057,181092617,905000.285,905463.085,462.800,529.260,F5 0D 01 F2 0D 04 00 00,JKBMS CAN 0x4F4 cell voltage extremes node=0 DLC=8 [F5 0D 01 F2 0D 04 00 00],0x4F0 cell_max=3.573V#1 cell_min=3.570V#4 dV=3mV,
27,ok,extended,0x18F128F4,data,8,181200863,181310223,906004.315,906551.115,546.800,541.230,8B 01 90 01 5A 00 00 00,JKBMS CAN 0x18F128F4 capacity/cycles node=0 DLC=8 [8B 01 90 01 5A 00 00 00],0x18F128F0 capacity remain=39.5Ah rated=40.0Ah reserved=0x005A cycles=0,
28,ok,extended,0x18F528F4,data,8,181400938,181514298,907004.690,907571.490,566.800,453.575,23 00 00 00 00 00 00 00,JKBMS CAN 0x18F528F4 BMS status raw node=0 DLC=8 [23 00 00 00 00 00 00 00],0x18F528F0 BMS status raw raw=23 00 00 00 00 00 00 00,
29,ok,extended,0x1806E5F4,data,8,181687348,181799108,908436.740,908995.540,558.800,865.250,02 9E 01 7C 20 00 00 00,JKBMS CAN 0x1806E5F4 charge limits node=0 DLC=8 [02 9E 01 7C 20 00 00 00],0x1806E5F0 charge info V=4045.0V I=3174.5A raw=02 9E 01 7C 20 00 00 00,
30,ok,standard,0x5F4,data,8,181809754,181902314,909048.770,909511.570,462.800,53.230,49 01 49 00 49 00 00 00,JKBMS CAN 0x5F4 cell temperature summary node=0 DLC=8 [49 01 49 00 49 00 00 00],0x5F0 temp max=23.0C#1 min=23.0C#0 avg=23.0C,
31,ok,extended,0x18F228F4,data,8,182010636,182117596,910053.180,910587.980,534.800,541.610,10 49 49 4A 49 49 00 00,JKBMS CAN 0x18F228F4 extended temperatures node=0 DLC=8 [10 49 49 4A 49 49 00 00],0x18F228F0 temps mask=0x10 T1=23.0C T2=23.0C T3=24.0C T4=23.0C T5=23.0C,
32,ok,extended,0x18F428F4,data,8,182218646,182330406,911093.230,911652.030,558.800,505.250,88 82 0E 00 00 00 64 00,JKBMS CAN 0x18F428F4 BMS info raw node=0 DLC=8 [88 82 0E 00 00 00 64 00],0x18F428F0 BMS info raw raw=88 82 0E 00 00 00 64 00,
33,ok,standard,0x2F4,data,8,200801853,200895213,1004009.265,1004476.065,466.800,92357.235,3B 02 A0 0F 63 00 00 00,JKBMS CAN 0x2F4 battery status node=0 DLC=8 [3B 02 A0 0F 63 00 00 00],0x2F0 pack V=57.1V I=+0.0A SOC=99% discharge_time=0h,
34,ok,standard,0x4F4,data,8,201001061,201093621,1005005.305,1005468.105,462.800,529.240,F5 0D 01 F2 0D 04 00 00,JKBMS CAN 0x4F4 cell voltage extremes node=0 DLC=8 [F5 0D 01 F2 0D 04 00 00],0x4F0 cell_max=3.573V#1 cell_min=3.570V#4 dV=3mV,
