frame_no,status,type,slave,func,start_reg,count,byte_count,crc_ok,start_sample,end_sample,start_us,end_us,duration_us,gap_from_previous_us,raw_hex,summary,decoded,error
1,ok,request,0x01,0x03,0x1230,16,,true,46732209,46895402,233661.045,234477.010,815.965,,01 03 12 30 00 10 41 71,JKBMS Modbus req slave=0x01 func=0x03 start=0x1230 count=16 crc=OK,read holding registers start=0x1230 count=16 poll-block,
2,ok,response,0x01,0x03,0x1230,16,32,true,47824667,48466057,239123.335,242330.285,3206.950,4646.325,01 03 20 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 FF FF 0D F8 00 02 00 0A 00 45 00 42 00 45 E2 83,JKBMS Modbus rsp slave=0x01 func=0x03 regs=0x1230..0x123F bytes=32 crc=OK,response regs 0x1230..0x123F: cells stride2 count=2 C30=3.576V C31=2.560V min=2.560V#31 max=3.576V#30,
3,ok,request,0x01,0x03,0x1240,32,,true,97745959,97909152,488729.795,489545.760,815.965,246399.510,01 03 12 40 00 20 40 BE,JKBMS Modbus req slave=0x01 func=0x03 start=0x1240 count=32 crc=OK,read holding registers start=0x1240 count=32 poll-block,
4,ok,response,0x01,0x03,0x1240,32,64,true,99026222,100222306,495131.110,501111.530,5980.420,5585.350,01 03 40 00 00 FF FF 0D F8 00 02 00 0A 00 45 00 42 00 45 00 42 00 4A 00 47 00 50 00 4C 00 47 00 43 00 47 00 4C 00 56 00 5A 00 7D 00 66 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 EF 27,JKBMS Modbus rsp slave=0x01 func=0x03 regs=0x1240..0x125F bytes=64 crc=OK,"response regs 0x1240..0x125F: cell_avg=2.560V, cell_diff=66mV, cell_idx raw=0x0042",
5,ok,request,0x01,0x03,0x1244,6,,true,149526895,149690088,747634.475,748450.440,815.965,246522.945,01 03 12 44 00 06 80 A5,JKBMS Modbus req slave=0x01 func=0x03 start=0x1244 count=6 crc=OK,read holding registers start=0x1244 count=6 poll-block,
6,ok,response,0x01,0x03,0x1244,6,12,true,150629931,150924638,753149.655,754623.190,1473.535,4699.215,01 03 0C 0D F8 00 02 00 03 00 45 00 42 00 45 D1 88,JKBMS Modbus rsp slave=0x01 func=0x03 regs=0x1244..0x1249 bytes=12 crc=OK,"response regs 0x1244..0x1249: cell_avg=3.576V, cell_diff=3mV, cell_idx raw=0x0042",
7,ok,request,0x01,0x03,0x128A,40,,true,200146940,200310133,1000734.700,1001550.665,815.965,246111.510,01 03 12 8A 00 28 61 46,JKBMS Modbus req slave=0x01 func=0x03 start=0x128A count=40 crc=OK,read holding registers start=0x128A count=40 poll-block,
8,ok,response,0x01,0x03,0x128A,40,80,true,201250793,202724222,1006253.965,1013621.110,7367.145,4703.300,01 03 50 01 25 00 00 00 00 00 00 DF 7D 00 00 00 00 00 00 00 00 01 32 01 2F 00 08 00 00 00 00 00 63 00 00 9A 34 00 00 9C 40 00 00 00 00 00 00 23 32 64 00 00 00 00 0E CB 04 01 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 FF 00 01 00 00 00 03 BD 00 00 B8 88,JKBMS Modbus rsp slave=0x01 func=0x03 regs=0x128A..0x12B1 bytes=80 crc=OK,"response regs 0x128A..0x12B1: pack_i=+0.099A, MOS=29.3C, alarm_candidate=0x23326400, full=65.28Ah, cycles=957",
9,ok,request,0x01,0x03,0x12B8,2,,true,251934117,252097309,1259670.585,1260486.545,815.960,246049.475,01 03 12 B8 00 02 41 56,JKBMS Modbus req slave=0x01 func=0x03 start=0x12B8 count=2 crc=OK,read holding registers start=0x12B8 count=2 poll-block,
10,ok,response,0x01,0x03,0x12B8,2,4,true,253034777,253190813,1265173.885,1265954.065,780.180,4687.340,01 03 04 64 00 00 00 E5 03,JKBMS Modbus rsp slave=0x01 func=0x03 regs=0x12B8..0x12B9 bytes=4 crc=OK,"response regs 0x12B8..0x12B9: SOC=100%, SOH=100% precharge=0x00",
11,ok,request,0x01,0x03,0x1200,16,,true,302340673,302503865,1511703.365,1512519.325,815.960,245749.300,01 03 12 00 00 10 41 7E,JKBMS Modbus req slave=0x01 func=0x03 start=0x1200 count=16 crc=OK,read holding registers start=0x1200 count=16 poll-block,
