sequence_no,complete,status,request_frame_no,response_frame_no,slave,func,start_reg,count,request_start_us,request_end_us,response_start_us,response_end_us,request_to_response_us,full_exchange_us,request_summary,response_summary
1,true,complete,1,2,0x01,0x03,0x1230,16,233661.045,234477.010,239123.335,242330.285,4646.325,8669.240,JKBMS Modbus req slave=0x01 func=0x03 start=0x1230 count=16 crc=OK,JKBMS Modbus rsp slave=0x01 func=0x03 regs=0x1230..0x123F bytes=32 crc=OK
2,true,complete,3,4,0x01,0x03,0x1240,32,488729.795,489545.760,495131.110,501111.530,5585.350,12381.735,JKBMS Modbus req slave=0x01 func=0x03 start=0x1240 count=32 crc=OK,JKBMS Modbus rsp slave=0x01 func=0x03 regs=0x1240..0x125F bytes=64 crc=OK
3,true,complete,5,6,0x01,0x03,0x1244,6,747634.475,748450.440,753149.655,754623.190,4699.215,6988.715,JKBMS Modbus req slave=0x01 func=0x03 start=0x1244 count=6 crc=OK,JKBMS Modbus rsp slave=0x01 func=0x03 regs=0x1244..0x1249 bytes=12 crc=OK
4,true,complete,7,8,0x01,0x03,0x128A,40,1000734.700,1001550.665,1006253.965,1013621.110,4703.300,12886.410,JKBMS Modbus req slave=0x01 func=0x03 start=0x128A count=40 crc=OK,JKBMS Modbus rsp slave=0x01 func=0x03 regs=0x128A..0x12B1 bytes=80 crc=OK
5,true,complete,9,10,0x01,0x03,0x12B8,2,1259670.585,1260486.545,1265173.885,1265954.065,4687.340,6283.480,JKBMS Modbus req slave=0x01 func=0x03 start=0x12B8 count=2 crc=OK,JKBMS Modbus rsp slave=0x01 func=0x03 regs=0x12B8..0x12B9 bytes=4 crc=OK
6,true,complete,11,12,0x01,0x03,0x1200,16,1511703.365,1512519.325,1517229.495,1520436.435,4710.170,8733.070,JKBMS Modbus req slave=0x01 func=0x03 start=0x1200 count=16 crc=OK,JKBMS Modbus rsp slave=0x01 func=0x03 regs=0x1200..0x120F bytes=32 crc=OK
7,true,complete,13,14,0x01,0x03,0x1210,16,1766721.160,1767537.125,1772197.225,1775404.180,4660.100,8683.020,JKBMS Modbus req slave=0x01 func=0x03 start=0x1210 count=16 crc=OK,JKBMS Modbus rsp slave=0x01 func=0x03 regs=0x1210..0x121F bytes=32 crc=OK
8,true,complete,15,16,0x01,0x03,0x1220,16,2021721.990,2022537.955,2027208.290,2030415.245,4670.335,8693.255,JKBMS Modbus req slave=0x01 func=0x03 start=0x1220 count=16 crc=OK,JKBMS Modbus rsp slave=0x01 func=0x03 regs=0x1220..0x122F bytes=32 crc=OK
9,true,complete,17,18,0x01,0x03,0x1230,16,2276763.730,2277579.700,2282288.700,2285495.645,4709.000,8731.915,JKBMS Modbus req slave=0x01 func=0x03 start=0x1230 count=16 crc=OK,JKBMS Modbus rsp slave=0x01 func=0x03 regs=0x1230..0x123F bytes=32 crc=OK
10,true,complete,19,20,0x01,0x03,0x1240,32,2531701.685,2532517.650,2537230.430,2543210.845,4712.780,11509.160,JKBMS Modbus req slave=0x01 func=0x03 start=0x1240 count=32 crc=OK,JKBMS Modbus rsp slave=0x01 func=0x03 regs=0x1240..0x125F bytes=64 crc=OK
11,true,complete,21,22,0x01,0x03,0x1244,6,2788765.185,2789581.155,2794338.935,2795812.470,4757.780,7047.285,JKBMS Modbus req slave=0x01 func=0x03 start=0x1244 count=6 crc=OK,JKBMS Modbus rsp slave=0x01 func=0x03 regs=0x1244..0x1249 bytes=12 crc=OK
12,true,complete,23,24,0x01,0x03,0x128A,40,3041717.610,3042533.575,3047252.575,3054619.715,4719.000,12902.105,JKBMS Modbus req slave=0x01 func=0x03 start=0x128A count=40 crc=OK,JKBMS Modbus rsp slave=0x01 func=0x03 regs=0x128A..0x12B1 bytes=80 crc=OK
13,true,complete,25,26,0x01,0x03,0x12B8,2,3300722.810,3301538.775,3306302.495,3307082.665,4763.720,6359.855,JKBMS Modbus req slave=0x01 func=0x03 start=0x12B8 count=2 crc=OK,JKBMS Modbus rsp slave=0x01 func=0x03 regs=0x12B8..0x12B9 bytes=4 crc=OK
14,true,complete,27,28,0x01,0x03,0x1200,16,3552815.615,3553631.580,3558280.100,3561487.040,4648.520,8671.425,JKBMS Modbus req slave=0x01 func=0x03 start=0x1200 count=16 crc=OK,JKBMS Modbus rsp slave=0x01 func=0x03 regs=0x1200..0x120F bytes=32 crc=OK
15,true,complete,29,30,0x01,0x03,0x1210,16,3807729.255,3808545.225,3813291.160,3816498.115,4745.935,8768.860,JKBMS Modbus req slave=0x01 func=0x03 start=0x1210 count=16 crc=OK,JKBMS Modbus rsp slave=0x01 func=0x03 regs=0x1210..0x121F bytes=32 crc=OK
16,true,complete,31,32,0x01,0x03,0x1220,16,4062764.020,4063579.990,4068302.240,4071509.175,4722.250,8745.155,JKBMS Modbus req slave=0x01 func=0x03 start=0x1220 count=16 crc=OK,JKBMS Modbus rsp slave=0x01 func=0x03 regs=0x1220..0x122F bytes=32 crc=OK
17,true,complete,33,34,0x01,0x03,0x1230,16,4317511.055,4318327.020,4323373.965,4326580.910,5046.945,9069.855,JKBMS Modbus req slave=0x01 func=0x03 start=0x1230 count=16 crc=OK,JKBMS Modbus rsp slave=0x01 func=0x03 regs=0x1230..0x123F bytes=32 crc=OK
18,true,complete,35,36,0x01,0x03,0x1240,32,4572747.880,4573563.845,4578324.365,4584304.765,4760.520,11556.885,JKBMS Modbus req slave=0x01 func=0x03 start=0x1240 count=32 crc=OK,JKBMS Modbus rsp slave=0x01 func=0x03 regs=0x1240..0x125F bytes=64 crc=OK
