frame_no,status,type,slave,func,start_reg,count,byte_count,crc_ok,start_sample,end_sample,start_us,end_us,duration_us,gap_from_previous_us,raw_hex,summary,decoded,error
1,ok,request,0x01,0x03,0x0000,13,,true,32254138,34212453,161270.690,171062.265,9791.575,,01 03 00 00 00 0D 84 0F,PACE Modbus req slave=0x01 func=0x03 start=0x0000 count=13 crc=OK,read holding registers start=0x0000 count=13 poll-block,
2,ok,response,0x01,0x03,0x0000,13,26,true,35186176,41644798,175930.880,208223.990,32293.110,4868.615,01 03 1A FF B4 15 DE 00 59 00 64 01 BF 01 F4 01 F4 00 00 00 00 00 00 00 00 0E 00 00 00 CF C7,PACE Modbus rsp slave=0x01 func=0x03 regs=0x0000..0x000C bytes=26 crc=OK,"response regs 0x0000..0x000C: pack_i=-0.76A, pack_v=55.98V, SOC=89% raw=0x0059, SOH=100% raw=0x0064, remain=4.47Ah, full=5.00Ah, design=5.00Ah, cycles=0, warning=0x0000 (none), protection=0x0000 (none), status=0x0E00 (discharge, charge MOS, discharge MOS), balance=0x0000 (none)",
3,ok,request,0x01,0x03,0x000F,22,,true,82260367,84218682,411301.835,421093.410,9791.575,203077.845,01 03 00 0F 00 16 F4 07,PACE Modbus req slave=0x01 func=0x03 start=0x000F count=22 crc=OK,read holding registers start=0x000F count=22 poll-block,
4,ok,response,0x01,0x03,0x000F,22,44,true,85188494,95397290,425942.470,476986.450,51043.980,4849.060,01 03 2C 0D AE 0D A9 0D AC 0D AC 0D AC 0D AC 0D A9 0D AA 0D AA 0D AA 0D AC 0D AA 0D AD 0D AC 0D AC 0D AC 01 36 01 34 01 32 01 38 01 20 01 35 99 36,PACE Modbus rsp slave=0x01 func=0x03 regs=0x000F..0x0024 bytes=44 crc=OK,"response regs 0x000F..0x0024: cells count=16 C01=3.502V C02=3.497V C03=3.500V C04=3.500V C05=3.500V C06=3.500V C07=3.497V C08=3.498V C09=3.498V C10=3.498V C11=3.500V C12=3.498V C13=3.501V C14=3.500V C15=3.500V C16=3.500V min=3.497V#2 max=3.502V#1, temp1=31.0C, temp2=30.8C, temp3=30.6C, temp4=31.2C, mos_temp=28.8C, env_temp=30.9C",
5,ok,request,0x01,0x03,0x0000,13,,true,132281986,134240301,661409.930,671201.505,9791.575,184423.480,01 03 00 00 00 0D 84 0F,PACE Modbus req slave=0x01 func=0x03 start=0x0000 count=13 crc=OK,read holding registers start=0x0000 count=13 poll-block,
6,ok,response,0x01,0x03,0x0000,13,26,true,135190812,141649436,675954.060,708247.180,32293.120,4752.555,01 03 1A FF B4 15 DE 00 59 00 64 01 BE 01 F4 01 F4 00 00 00 00 00 00 00 00 0E 00 00 00 9E 57,PACE Modbus rsp slave=0x01 func=0x03 regs=0x0000..0x000C bytes=26 crc=OK,"response regs 0x0000..0x000C: pack_i=-0.76A, pack_v=55.98V, SOC=89% raw=0x0059, SOH=100% raw=0x0064, remain=4.46Ah, full=5.00Ah, design=5.00Ah, cycles=0, warning=0x0000 (none), protection=0x0000 (none), status=0x0E00 (discharge, charge MOS, discharge MOS), balance=0x0000 (none)",
7,ok,request,0x01,0x03,0x000F,22,,true,182271723,184230038,911358.615,921150.190,9791.575,203111.435,01 03 00 0F 00 16 F4 07,PACE Modbus req slave=0x01 func=0x03 start=0x000F count=22 crc=OK,read holding registers start=0x000F count=22 poll-block,
8,ok,response,0x01,0x03,0x000F,22,44,true,185193132,195401929,925965.660,977009.645,51043.985,4815.470,01 03 2C 0D AE 0D A8 0D AD 0D AC 0D AC 0D AC 0D A9 0D AA 0D AA 0D AA 0D AC 0D AA 0D AC 0D AC 0D AC 0D AC 01 36 01 34 01 32 01 38 01 20 01 35 AB DB,PACE Modbus rsp slave=0x01 func=0x03 regs=0x000F..0x0024 bytes=44 crc=OK,"response regs 0x000F..0x0024: cells count=16 C01=3.502V C02=3.496V C03=3.501V C04=3.500V C05=3.500V C06=3.500V C07=3.497V C08=3.498V C09=3.498V C10=3.498V C11=3.500V C12=3.498V C13=3.500V C14=3.500V C15=3.500V C16=3.500V min=3.496V#2 max=3.502V#1, temp1=31.0C, temp2=30.8C, temp3=30.6C, temp4=31.2C, mos_temp=28.8C, env_temp=30.9C",
9,ok,request,0x01,0x03,0x0000,13,,true,232263207,234221522,1161316.035,1171107.610,9791.575,184306.390,01 03 00 00 00 0D 84 0F,PACE Modbus req slave=0x01 func=0x03 start=0x0000 count=13 crc=OK,read holding registers start=0x0000 count=13 poll-block,
10,ok,response,0x01,0x03,0x0000,13,26,true,235195450,241654073,1175977.250,1208270.365,32293.115,4869.640,01 03 1A FF B4 15 DE 00 59 00 64 01 BE 01 F4 01 F4 00 00 00 00 00 00 00 00 0E 00 00 00 9E 57,PACE Modbus rsp slave=0x01 func=0x03 regs=0x0000..0x000C bytes=26 crc=OK,"response regs 0x0000..0x000C: pack_i=-0.76A, pack_v=55.98V, SOC=89% raw=0x0059, SOH=100% raw=0x0064, remain=4.46Ah, full=5.00Ah, design=5.00Ah, cycles=0, warning=0x0000 (none), protection=0x0000 (none), status=0x0E00 (discharge, charge MOS, discharge MOS), balance=0x0000 (none)",
