sequence_no,complete,status,request_frame_no,response_frame_no,slave,func,start_reg,count,request_start_us,request_end_us,response_start_us,response_end_us,request_to_response_us,full_exchange_us,request_summary,response_summary
1,true,complete,1,2,0x01,0x03,0x0000,13,161270.690,171062.265,175930.880,208223.990,4868.615,46953.300,PACE Modbus req slave=0x01 func=0x03 start=0x0000 count=13 crc=OK,PACE Modbus rsp slave=0x01 func=0x03 regs=0x0000..0x000C bytes=26 crc=OK
2,true,complete,3,4,0x01,0x03,0x000F,22,411301.835,421093.410,425942.470,476986.450,4849.060,65684.615,PACE Modbus req slave=0x01 func=0x03 start=0x000F count=22 crc=OK,PACE Modbus rsp slave=0x01 func=0x03 regs=0x000F..0x0024 bytes=44 crc=OK
3,true,complete,5,6,0x01,0x03,0x0000,13,661409.930,671201.505,675954.060,708247.180,4752.555,46837.250,PACE Modbus req slave=0x01 func=0x03 start=0x0000 count=13 crc=OK,PACE Modbus rsp slave=0x01 func=0x03 regs=0x0000..0x000C bytes=26 crc=OK
4,true,complete,7,8,0x01,0x03,0x000F,22,911358.615,921150.190,925965.660,977009.645,4815.470,65651.030,PACE Modbus req slave=0x01 func=0x03 start=0x000F count=22 crc=OK,PACE Modbus rsp slave=0x01 func=0x03 regs=0x000F..0x0024 bytes=44 crc=OK
5,true,complete,9,10,0x01,0x03,0x0000,13,1161316.035,1171107.610,1175977.250,1208270.365,4869.640,46954.330,PACE Modbus req slave=0x01 func=0x03 start=0x0000 count=13 crc=OK,PACE Modbus rsp slave=0x01 func=0x03 regs=0x0000..0x000C bytes=26 crc=OK
6,true,complete,11,12,0x01,0x03,0x000F,22,1421284.940,1431076.515,1435989.310,1487033.295,4912.795,65748.355,PACE Modbus req slave=0x01 func=0x03 start=0x000F count=22 crc=OK,PACE Modbus rsp slave=0x01 func=0x03 regs=0x000F..0x0024 bytes=44 crc=OK
7,true,complete,13,14,0x01,0x03,0x0000,13,1671914.845,1681706.425,1686938.455,1719231.560,5232.030,47316.715,PACE Modbus req slave=0x01 func=0x03 start=0x0000 count=13 crc=OK,PACE Modbus rsp slave=0x01 func=0x03 regs=0x0000..0x000C bytes=26 crc=OK
8,true,complete,15,16,0x01,0x03,0x000F,22,1922290.920,1932082.495,1936950.050,1987994.030,4867.555,65703.110,PACE Modbus req slave=0x01 func=0x03 start=0x000F count=22 crc=OK,PACE Modbus rsp slave=0x01 func=0x03 regs=0x000F..0x0024 bytes=44 crc=OK
9,true,complete,17,18,0x01,0x03,0x0000,13,2176697.715,2186489.290,2191024.325,2223317.440,4535.035,46619.725,PACE Modbus req slave=0x01 func=0x03 start=0x0000 count=13 crc=OK,PACE Modbus rsp slave=0x01 func=0x03 regs=0x0000..0x000C bytes=26 crc=OK
10,true,complete,19,20,0x01,0x03,0x000F,22,2436308.605,2446100.185,2451036.380,2502080.370,4936.195,65771.765,PACE Modbus req slave=0x01 func=0x03 start=0x000F count=22 crc=OK,PACE Modbus rsp slave=0x01 func=0x03 regs=0x000F..0x0024 bytes=44 crc=OK
11,true,complete,21,22,0x01,0x03,0x0000,13,2686802.465,2696594.040,2701047.975,2733341.100,4453.935,46538.635,PACE Modbus req slave=0x01 func=0x03 start=0x0000 count=13 crc=OK,PACE Modbus rsp slave=0x01 func=0x03 regs=0x0000..0x000C bytes=26 crc=OK
12,true,complete,23,24,0x01,0x03,0x000F,22,2937239.510,2947031.090,2951997.115,3003041.105,4966.025,65801.595,PACE Modbus req slave=0x01 func=0x03 start=0x000F count=22 crc=OK,PACE Modbus rsp slave=0x01 func=0x03 regs=0x000F..0x0024 bytes=44 crc=OK
13,true,complete,25,26,0x01,0x03,0x0000,13,3187380.120,3197171.695,3202008.710,3234301.830,4837.015,46921.710,PACE Modbus req slave=0x01 func=0x03 start=0x0000 count=13 crc=OK,PACE Modbus rsp slave=0x01 func=0x03 regs=0x0000..0x000C bytes=26 crc=OK
14,true,complete,27,28,0x01,0x03,0x000F,22,3437340.430,3447132.000,3452020.310,3503064.290,4888.310,65723.860,PACE Modbus req slave=0x01 func=0x03 start=0x000F count=22 crc=OK,PACE Modbus rsp slave=0x01 func=0x03 regs=0x000F..0x0024 bytes=44 crc=OK
15,true,complete,29,30,0x01,0x03,0x0000,13,3697271.910,3707063.485,3712136.530,3744429.650,5073.045,47157.740,PACE Modbus req slave=0x01 func=0x03 start=0x0000 count=13 crc=OK,PACE Modbus rsp slave=0x01 func=0x03 regs=0x0000..0x000C bytes=26 crc=OK
16,true,complete,31,32,0x01,0x03,0x000F,22,3947458.420,3957249.995,3962043.955,4013087.940,4793.960,65629.520,PACE Modbus req slave=0x01 func=0x03 start=0x000F count=22 crc=OK,PACE Modbus rsp slave=0x01 func=0x03 regs=0x000F..0x0024 bytes=44 crc=OK
17,true,complete,33,34,0x01,0x03,0x0000,13,4197319.955,4207111.525,4212055.555,4244348.660,4944.030,47028.705,PACE Modbus req slave=0x01 func=0x03 start=0x0000 count=13 crc=OK,PACE Modbus rsp slave=0x01 func=0x03 regs=0x0000..0x000C bytes=26 crc=OK
18,true,complete,35,36,0x01,0x03,0x000F,22,4457390.105,4467181.680,4472067.610,4523111.595,4885.930,65721.490,PACE Modbus req slave=0x01 func=0x03 start=0x000F count=22 crc=OK,PACE Modbus rsp slave=0x01 func=0x03 regs=0x000F..0x0024 bytes=44 crc=OK
19,true,complete,37,38,0x01,0x03,0x0000,13,4707296.525,4717088.100,4722079.205,4754372.320,4991.105,47075.795,PACE Modbus req slave=0x01 func=0x03 start=0x0000 count=13 crc=OK,PACE Modbus rsp slave=0x01 func=0x03 regs=0x0000..0x000C bytes=26 crc=OK
20,true,complete,39,40,0x01,0x03,0x000F,22,4957286.945,4967078.520,4972090.795,5023134.780,5012.275,65847.835,PACE Modbus req slave=0x01 func=0x03 start=0x000F count=22 crc=OK,PACE Modbus rsp slave=0x01 func=0x03 regs=0x000F..0x0024 bytes=44 crc=OK
21,true,complete,41,42,0x01,0x03,0x0000,13,5207322.285,5217113.860,5222206.565,5254499.680,5092.705,47177.395,PACE Modbus req slave=0x01 func=0x03 start=0x0000 count=13 crc=OK,PACE Modbus rsp slave=0x01 func=0x03 regs=0x0000..0x000C bytes=26 crc=OK
22,true,complete,43,44,0x01,0x03,0x000F,22,5457593.205,5467384.780,5472218.160,5523262.150,4833.380,65668.945,PACE Modbus req slave=0x01 func=0x03 start=0x000F count=22 crc=OK,PACE Modbus rsp slave=0x01 func=0x03 regs=0x000F..0x0024 bytes=44 crc=OK
23,true,complete,45,46,0x01,0x03,0x0000,13,5707485.300,5717276.875,5722125.590,5754418.685,4848.715,46933.385,PACE Modbus req slave=0x01 func=0x03 start=0x0000 count=13 crc=OK,PACE Modbus rsp slave=0x01 func=0x03 regs=0x0000..0x000C bytes=26 crc=OK
24,true,complete,47,48,0x01,0x03,0x000F,22,5957271.455,5967063.030,5972241.345,6023285.335,5178.315,66013.880,PACE Modbus req slave=0x01 func=0x03 start=0x000F count=22 crc=OK,PACE Modbus rsp slave=0x01 func=0x03 regs=0x000F..0x0024 bytes=44 crc=OK
25,true,complete,49,50,0x01,0x03,0x0000,13,6208237.965,6218029.535,6223190.485,6255483.600,5160.950,47245.635,PACE Modbus req slave=0x01 func=0x03 start=0x0000 count=13 crc=OK,PACE Modbus rsp slave=0x01 func=0x03 regs=0x0000..0x000C bytes=26 crc=OK
26,true,complete,51,52,0x01,0x03,0x000F,22,6458301.020,6468092.600,6473202.085,6524246.065,5109.485,65945.045,PACE Modbus req slave=0x01 func=0x03 start=0x000F count=22 crc=OK,PACE Modbus rsp slave=0x01 func=0x03 regs=0x000F..0x0024 bytes=44 crc=OK
27,true,complete,53,54,0x01,0x03,0x0000,13,6708333.665,6718125.240,6723213.675,6755506.790,5088.435,47173.125,PACE Modbus req slave=0x01 func=0x03 start=0x0000 count=13 crc=OK,PACE Modbus rsp slave=0x01 func=0x03 regs=0x0000..0x000C bytes=26 crc=OK
28,true,complete,55,56,0x01,0x03,0x000F,22,6958292.100,6968083.675,6973225.285,7024269.255,5141.610,65977.155,PACE Modbus req slave=0x01 func=0x03 start=0x000F count=22 crc=OK,PACE Modbus rsp slave=0x01 func=0x03 regs=0x000F..0x0024 bytes=44 crc=OK
29,true,complete,57,58,0x01,0x03,0x0000,13,7208340.760,7218132.330,7223236.870,7255529.970,5104.540,47189.210,PACE Modbus req slave=0x01 func=0x03 start=0x0000 count=13 crc=OK,PACE Modbus rsp slave=0x01 func=0x03 regs=0x0000..0x000C bytes=26 crc=OK
30,true,complete,59,60,0x01,0x03,0x000F,22,7458317.300,7468108.875,7473248.460,7524292.450,5139.585,65975.150,PACE Modbus req slave=0x01 func=0x03 start=0x000F count=22 crc=OK,PACE Modbus rsp slave=0x01 func=0x03 regs=0x000F..0x0024 bytes=44 crc=OK
31,true,complete,61,62,0x01,0x03,0x0000,13,7709238.660,7719030.235,7724301.765,7756594.880,5271.530,47356.220,PACE Modbus req slave=0x01 func=0x03 start=0x0000 count=13 crc=OK,PACE Modbus rsp slave=0x01 func=0x03 regs=0x0000..0x000C bytes=26 crc=OK
32,true,complete,63,64,0x01,0x03,0x000F,22,7959360.030,7969151.605,7974313.365,8025357.350,5161.760,65997.320,PACE Modbus req slave=0x01 func=0x03 start=0x000F count=22 crc=OK,PACE Modbus rsp slave=0x01 func=0x03 regs=0x000F..0x0024 bytes=44 crc=OK
33,true,complete,65,66,0x01,0x03,0x0000,13,8209273.685,8219065.260,8224324.955,8256618.075,5259.695,47344.390,PACE Modbus req slave=0x01 func=0x03 start=0x0000 count=13 crc=OK,PACE Modbus rsp slave=0x01 func=0x03 regs=0x0000..0x000C bytes=26 crc=OK
34,true,complete,67,68,0x01,0x03,0x000F,22,8459305.995,8469097.570,8474336.560,8525380.535,5238.990,66074.540,PACE Modbus req slave=0x01 func=0x03 start=0x000F count=22 crc=OK,PACE Modbus rsp slave=0x01 func=0x03 regs=0x000F..0x0024 bytes=44 crc=OK
35,true,complete,69,70,0x01,0x03,0x0000,13,8709307.740,8719099.315,8724348.160,8756641.260,5248.845,47333.520,PACE Modbus req slave=0x01 func=0x03 start=0x0000 count=13 crc=OK,PACE Modbus rsp slave=0x01 func=0x03 regs=0x0000..0x000C bytes=26 crc=OK
36,true,complete,71,72,0x01,0x03,0x000F,22,8960223.920,8970015.495,8975401.455,9026445.440,5385.960,66221.520,PACE Modbus req slave=0x01 func=0x03 start=0x000F count=22 crc=OK,PACE Modbus rsp slave=0x01 func=0x03 regs=0x000F..0x0024 bytes=44 crc=OK
37,true,complete,73,74,0x01,0x03,0x0000,13,9210368.840,9220160.420,9225308.885,9257602.000,5148.465,47233.160,PACE Modbus req slave=0x01 func=0x03 start=0x0000 count=13 crc=OK,PACE Modbus rsp slave=0x01 func=0x03 regs=0x0000..0x000C bytes=26 crc=OK
38,true,complete,75,76,0x01,0x03,0x000F,22,9460300.760,9470092.340,9475320.470,9526364.460,5228.130,66063.700,PACE Modbus req slave=0x01 func=0x03 start=0x000F count=22 crc=OK,PACE Modbus rsp slave=0x01 func=0x03 regs=0x000F..0x0024 bytes=44 crc=OK
