frame_no,status,frame_type,can_id,rtr_type,dlc,start_sample,end_sample,start_us,end_us,duration_us,gap_from_previous_us,data_hex,summary,decoded,error
1,ok,standard,0x351,data,8,14513737,14559217,72568.685,72796.085,227.400,,9E 02 7C 20 B6 03 E3 00,Pylon CAN v2026.07.03a 0x351 limits DLC=8 [9E 02 7C 20 B6 03 E3 00],0x351 limits chgV=67.0V chgI=831.6A disI=95.0A lowV=22.7V,
2,ok,standard,0x355,data,8,34514727,34561407,172573.635,172807.035,233.400,99777.550,63 00 64 00 00 00 00 00,Pylon CAN v2026.07.03a 0x355 SOC/SOH DLC=8 [63 00 64 00 00 00 00 00],0x355 SOC=99% SOH=100%,
3,ok,standard,0x356,data,8,54515715,54561995,272578.575,272809.975,231.400,99771.540,4C 16 00 00 34 01 00 00,Pylon CAN v2026.07.03a 0x356 pack DLC=8 [4C 16 00 00 34 01 00 00],0x356 pack V=57.08V I=0.0A temp=30.8C,
4,ok,standard,0x35C,data,8,74516701,74565381,372583.505,372826.905,243.400,99773.530,C0 00 00 00 00 00 00 00,Pylon CAN v2026.07.03a 0x35C status DLC=8 [C0 00 00 00 00 00 00 00],"0x35C status=0xC0 (charge=ON, discharge=ON, balance=OFF)",
5,ok,standard,0x35E,data,8,94517691,94562371,472588.455,472811.855,223.400,99761.550,4A 4B 2D 42 4D 53 00 00,Pylon CAN v2026.07.03a 0x35E ASCII name DLC=8 [4A 4B 2D 42 4D 53 00 00],0x35E name='JK-BMS',
6,ok,standard,0x370,data,8,114525889,114571369,572629.445,572856.845,227.400,99817.590,1F 08 0F 00 79 06 F7 86,Pylon CAN v2026.07.03a 0x370 JK ext cell/temp DLC=8 [1F 08 0F 00 79 06 F7 86],0x370 JK ext raw=1F 08 0F 00 79 06 F7 86,
7,ok,standard,0x371,data,8,134537273,134584353,672686.365,672921.765,235.400,99829.520,04 00 03 00 01 00 05 00,Pylon CAN v2026.07.03a 0x371 JK ext indexes DLC=8 [04 00 03 00 01 00 05 00],0x371 JK ext idx tMax#4 tMin#3 cellMax#1 cellMin#5,
8,ok,standard,0x359,data,8,154532664,154580144,772663.320,772900.720,237.400,99741.555,00 00 00 00 01 50 4E 00,Pylon CAN v2026.07.03a 0x359 module info DLC=8 [00 00 00 00 01 50 4E 00],0x359 module info modules=1 raw=00 00 00 00 01 50 4E 00,
9,ok,standard,0x351,data,8,174521263,174566743,872606.315,872833.715,227.400,99705.595,9E 02 7C 20 B6 03 E3 00,Pylon CAN v2026.07.03a 0x351 limits DLC=8 [9E 02 7C 20 B6 03 E3 00],0x351 limits chgV=67.0V chgI=831.6A disI=95.0A lowV=22.7V,
10,ok,standard,0x355,data,8,194522244,194568924,972611.220,972844.620,233.400,99777.505,63 00 64 00 00 00 00 00,Pylon CAN v2026.07.03a 0x355 SOC/SOH DLC=8 [63 00 64 00 00 00 00 00],0x355 SOC=99% SOH=100%,
11,ok,standard,0x356,data,8,214604437,214650717,1073022.185,1073253.585,231.400,100177.565,4C 16 00 00 34 01 00 00,Pylon CAN v2026.07.03a 0x356 pack DLC=8 [4C 16 00 00 34 01 00 00],0x356 pack V=57.08V I=0.0A temp=30.8C,
12,ok,standard,0x35C,data,8,234532964,234581644,1172664.820,1172908.220,243.400,99411.235,C0 00 00 00 00 00 00 00,Pylon CAN v2026.07.03a 0x35C status DLC=8 [C0 00 00 00 00 00 00 00],"0x35C status=0xC0 (charge=ON, discharge=ON, balance=OFF)",
13,ok,standard,0x35E,data,8,254532357,254577037,1272661.785,1272885.185,223.400,99753.565,4A 4B 2D 42 4D 53 00 00,Pylon CAN v2026.07.03a 0x35E ASCII name DLC=8 [4A 4B 2D 42 4D 53 00 00],0x35E name='JK-BMS',
14,ok,standard,0x370,data,8,274525738,274571218,1372628.690,1372856.090,227.400,99743.505,1F 08 0F 00 79 06 F7 86,Pylon CAN v2026.07.03a 0x370 JK ext cell/temp DLC=8 [1F 08 0F 00 79 06 F7 86],0x370 JK ext raw=1F 08 0F 00 79 06 F7 86,
15,ok,standard,0x371,data,8,294541928,294589008,1472709.640,1472945.040,235.400,99853.550,04 00 03 00 01 00 05 00,Pylon CAN v2026.07.03a 0x371 JK ext indexes DLC=8 [04 00 03 00 01 00 05 00],0x371 JK ext idx tMax#4 tMin#3 cellMax#1 cellMin#5,
16,ok,standard,0x359,data,8,314528528,314576008,1572642.640,1572880.040,237.400,99697.600,00 00 00 00 01 50 4E 00,Pylon CAN v2026.07.03a 0x359 module info DLC=8 [00 00 00 00 01 50 4E 00],0x359 module info modules=1 raw=00 00 00 00 01 50 4E 00,
17,ok,standard,0x351,data,8,334528713,334574193,1672643.565,1672870.965,227.400,99763.525,9E 02 7C 20 B6 03 E3 00,Pylon CAN v2026.07.03a 0x351 limits DLC=8 [9E 02 7C 20 B6 03 E3 00],0x351 limits chgV=67.0V chgI=831.6A disI=95.0A lowV=22.7V,
18,ok,standard,0x355,data,8,354529305,354575985,1772646.525,1772879.925,233.400,99775.560,63 00 64 00 00 00 00 00,Pylon CAN v2026.07.03a 0x355 SOC/SOH DLC=8 [63 00 64 00 00 00 00 00],0x355 SOC=99% SOH=100%,
19,ok,standard,0x356,data,8,374530289,374576569,1872651.445,1872882.845,231.400,99771.520,4C 16 00 00 34 01 00 00,Pylon CAN v2026.07.03a 0x356 pack DLC=8 [4C 16 00 00 34 01 00 00],0x356 pack V=57.08V I=0.0A temp=30.8C,
20,ok,standard,0x35C,data,8,394531280,394579960,1972656.400,1972899.800,243.400,99773.555,C0 00 00 00 00 00 00 00,Pylon CAN v2026.07.03a 0x35C status DLC=8 [C0 00 00 00 00 00 00 00],"0x35C status=0xC0 (charge=ON, discharge=ON, balance=OFF)",
21,ok,standard,0x35E,data,8,414532271,414576951,2072661.355,2072884.755,223.400,99761.555,4A 4B 2D 42 4D 53 00 00,Pylon CAN v2026.07.03a 0x35E ASCII name DLC=8 [4A 4B 2D 42 4D 53 00 00],0x35E name='JK-BMS',
22,ok,standard,0x370,data,8,434533260,434578740,2172666.300,2172893.700,227.400,99781.545,1F 08 0F 00 79 06 F7 86,Pylon CAN v2026.07.03a 0x370 JK ext cell/temp DLC=8 [1F 08 0F 00 79 06 F7 86],0x370 JK ext raw=1F 08 0F 00 79 06 F7 86,
23,ok,standard,0x371,data,8,454534251,454581331,2272671.255,2272906.655,235.400,99777.555,04 00 03 00 01 00 05 00,Pylon CAN v2026.07.03a 0x371 JK ext indexes DLC=8 [04 00 03 00 01 00 05 00],0x371 JK ext idx tMax#4 tMin#3 cellMax#1 cellMin#5,
24,ok,standard,0x359,data,8,474536045,474583525,2372680.225,2372917.625,237.400,99773.570,00 00 00 00 01 50 4E 00,Pylon CAN v2026.07.03a 0x359 module info DLC=8 [00 00 00 00 01 50 4E 00],0x359 module info modules=1 raw=00 00 00 00 01 50 4E 00,
25,ok,standard,0x351,data,8,494535839,494581319,2472679.195,2472906.595,227.400,99761.570,9E 02 7C 20 B6 03 E3 00,Pylon CAN v2026.07.03a 0x351 limits DLC=8 [9E 02 7C 20 B6 03 E3 00],0x351 limits chgV=67.0V chgI=831.6A disI=95.0A lowV=22.7V,
26,ok,standard,0x355,data,8,514536821,514583501,2572684.105,2572917.505,233.400,99777.510,63 00 64 00 00 00 00 00,Pylon CAN v2026.07.03a 0x355 SOC/SOH DLC=8 [63 00 64 00 00 00 00 00],0x355 SOC=99% SOH=100%,
27,ok,standard,0x356,data,8,534537820,534584100,2672689.100,2672920.500,231.400,99771.595,4C 16 00 00 34 01 00 00,Pylon CAN v2026.07.03a 0x356 pack DLC=8 [4C 16 00 00 34 01 00 00],0x356 pack V=57.08V I=0.0A temp=30.8C,
28,ok,standard,0x35C,data,8,554538808,554587488,2772694.040,2772937.440,243.400,99773.540,C0 00 00 00 00 00 00 00,Pylon CAN v2026.07.03a 0x35C status DLC=8 [C0 00 00 00 00 00 00 00],"0x35C status=0xC0 (charge=ON, discharge=ON, balance=OFF)",
29,ok,standard,0x35E,data,8,574539797,574584477,2872698.985,2872922.385,223.400,99761.545,4A 4B 2D 42 4D 53 00 00,Pylon CAN v2026.07.03a 0x35E ASCII name DLC=8 [4A 4B 2D 42 4D 53 00 00],0x35E name='JK-BMS',
30,ok,standard,0x370,data,8,594547988,594593468,2972739.940,2972967.340,227.400,99817.555,1F 08 0F 00 79 06 F7 86,Pylon CAN v2026.07.03a 0x370 JK ext cell/temp DLC=8 [1F 08 0F 00 79 06 F7 86],0x370 JK ext raw=1F 08 0F 00 79 06 F7 86,
31,ok,standard,0x371,data,8,614559373,614606453,3072796.865,3073032.265,235.400,99829.525,04 00 03 00 01 00 05 00,Pylon CAN v2026.07.03a 0x371 JK ext indexes DLC=8 [04 00 03 00 01 00 05 00],0x371 JK ext idx tMax#4 tMin#3 cellMax#1 cellMin#5,
32,ok,standard,0x359,data,8,634554364,634601844,3172771.820,3173009.220,237.400,99739.555,00 00 00 00 01 50 4E 00,Pylon CAN v2026.07.03a 0x359 module info DLC=8 [00 00 00 00 01 50 4E 00],0x359 module info modules=1 raw=00 00 00 00 01 50 4E 00,
33,ok,standard,0x351,data,8,654543364,654588844,3272716.820,3272944.220,227.400,99707.600,9E 02 7C 20 B6 03 E3 00,Pylon CAN v2026.07.03a 0x351 limits DLC=8 [9E 02 7C 20 B6 03 E3 00],0x351 limits chgV=67.0V chgI=831.6A disI=95.0A lowV=22.7V,
34,ok,standard,0x355,data,8,674544344,674591024,3372721.720,3372955.120,233.400,99777.500,63 00 64 00 00 00 00 00,Pylon CAN v2026.07.03a 0x355 SOC/SOH DLC=8 [63 00 64 00 00 00 00 00],0x355 SOC=99% SOH=100%,
35,ok,standard,0x356,data,8,694625737,694672017,3473128.685,3473360.085,231.400,100173.565,4C 16 00 00 34 01 00 00,Pylon CAN v2026.07.03a 0x356 pack DLC=8 [4C 16 00 00 34 01 00 00],0x356 pack V=57.08V I=0.0A temp=30.8C,
36,ok,standard,0x35C,data,8,714555058,714603738,3572775.290,3573018.690,243.400,99415.205,C0 00 00 00 00 00 00 00,Pylon CAN v2026.07.03a 0x35C status DLC=8 [C0 00 00 00 00 00 00 00],"0x35C status=0xC0 (charge=ON, discharge=ON, balance=OFF)",
37,ok,standard,0x35E,data,8,734554455,734599135,3672772.275,3672995.675,223.400,99753.585,4A 4B 2D 42 4D 53 00 00,Pylon CAN v2026.07.03a 0x35E ASCII name DLC=8 [4A 4B 2D 42 4D 53 00 00],0x35E name='JK-BMS',
38,ok,standard,0x370,data,8,754547842,754593322,3772739.210,3772966.610,227.400,99743.535,1F 08 0F 00 79 06 F7 86,Pylon CAN v2026.07.03a 0x370 JK ext cell/temp DLC=8 [1F 08 0F 00 79 06 F7 86],0x370 JK ext raw=1F 08 0F 00 79 06 F7 86,
39,ok,standard,0x371,data,8,774566832,774614312,3872834.160,3873071.560,237.400,99867.550,04 00 03 00 01 00 06 00,Pylon CAN v2026.07.03a 0x371 JK ext indexes DLC=8 [04 00 03 00 01 00 06 00],0x371 JK ext idx tMax#4 tMin#3 cellMax#1 cellMin#6,
40,ok,standard,0x359,data,8,794550621,794598101,3972753.105,3972990.505,237.400,99681.545,00 00 00 00 01 50 4E 00,Pylon CAN v2026.07.03a 0x359 module info DLC=8 [00 00 00 00 01 50 4E 00],0x359 module info modules=1 raw=00 00 00 00 01 50 4E 00,
41,ok,standard,0x351,data,8,814550809,814596289,4072754.045,4072981.445,227.400,99763.540,9E 02 7C 20 B6 03 E3 00,Pylon CAN v2026.07.03a 0x351 limits DLC=8 [9E 02 7C 20 B6 03 E3 00],0x351 limits chgV=67.0V chgI=831.6A disI=95.0A lowV=22.7V,
42,ok,standard,0x355,data,8,834551799,834598479,4172758.995,4172992.395,233.400,99777.550,63 00 64 00 00 00 00 00,Pylon CAN v2026.07.03a 0x355 SOC/SOH DLC=8 [63 00 64 00 00 00 00 00],0x355 SOC=99% SOH=100%,
43,ok,standard,0x356,data,8,854552389,854598669,4272761.945,4272993.345,231.400,99769.550,4C 16 00 00 34 01 00 00,Pylon CAN v2026.07.03a 0x356 pack DLC=8 [4C 16 00 00 34 01 00 00],0x356 pack V=57.08V I=0.0A temp=30.8C,
44,ok,standard,0x35C,data,8,874553379,874602059,4372766.895,4373010.295,243.400,99773.550,C0 00 00 00 00 00 00 00,Pylon CAN v2026.07.03a 0x35C status DLC=8 [C0 00 00 00 00 00 00 00],"0x35C status=0xC0 (charge=ON, discharge=ON, balance=OFF)",
45,ok,standard,0x35E,data,8,894554369,894599049,4472771.845,4472995.245,223.400,99761.550,4A 4B 2D 42 4D 53 00 00,Pylon CAN v2026.07.03a 0x35E ASCII name DLC=8 [4A 4B 2D 42 4D 53 00 00],0x35E name='JK-BMS',
46,ok,standard,0x370,data,8,914555363,914601243,4572776.815,4573006.215,229.400,99781.570,1F 08 0F 00 79 06 F7 06,Pylon CAN v2026.07.03a 0x370 JK ext cell/temp DLC=8 [1F 08 0F 00 79 06 F7 06],0x370 JK ext raw=1F 08 0F 00 79 06 F7 06,
47,ok,standard,0x371,data,8,934556350,934603830,4672781.750,4673019.150,237.400,99775.535,04 00 03 00 01 00 06 00,Pylon CAN v2026.07.03a 0x371 JK ext indexes DLC=8 [04 00 03 00 01 00 06 00],0x371 JK ext idx tMax#4 tMin#3 cellMax#1 cellMin#6,
48,ok,standard,0x359,data,8,954558141,954605621,4772790.705,4773028.105,237.400,99771.555,00 00 00 00 01 50 4E 00,Pylon CAN v2026.07.03a 0x359 module info DLC=8 [00 00 00 00 01 50 4E 00],0x359 module info modules=1 raw=00 00 00 00 01 50 4E 00,
49,ok,standard,0x351,data,8,974558331,974603811,4872791.655,4873019.055,227.400,99763.550,9E 02 7C 20 B6 03 E3 00,Pylon CAN v2026.07.03a 0x351 limits DLC=8 [9E 02 7C 20 B6 03 E3 00],0x351 limits chgV=67.0V chgI=831.6A disI=95.0A lowV=22.7V,
50,ok,standard,0x355,data,8,994558921,994605601,4972794.605,4973028.005,233.400,99775.550,63 00 64 00 00 00 00 00,Pylon CAN v2026.07.03a 0x355 SOC/SOH DLC=8 [63 00 64 00 00 00 00 00],0x355 SOC=99% SOH=100%,
51,ok,standard,0x356,data,8,1014559916,1014606196,5072799.580,5073030.980,231.400,99771.575,4C 16 00 00 34 01 00 00,Pylon CAN v2026.07.03a 0x356 pack DLC=8 [4C 16 00 00 34 01 00 00],0x356 pack V=57.08V I=0.0A temp=30.8C,
52,ok,standard,0x35C,data,8,1034569702,1034618382,5172848.510,5173091.910,243.400,99817.530,C0 00 00 00 00 00 00 00,Pylon CAN v2026.07.03a 0x35C status DLC=8 [C0 00 00 00 00 00 00 00],"0x35C status=0xC0 (charge=ON, discharge=ON, balance=OFF)",
53,ok,standard,0x35E,data,8,1054561896,1054606576,5272809.480,5273032.880,223.400,99717.570,4A 4B 2D 42 4D 53 00 00,Pylon CAN v2026.07.03a 0x35E ASCII name DLC=8 [4A 4B 2D 42 4D 53 00 00],0x35E name='JK-BMS',
54,ok,standard,0x370,data,8,1074562882,1074608362,5372814.410,5373041.810,227.400,99781.530,1F 08 0F 00 79 06 F7 86,Pylon CAN v2026.07.03a 0x370 JK ext cell/temp DLC=8 [1F 08 0F 00 79 06 F7 86],0x370 JK ext raw=1F 08 0F 00 79 06 F7 86,
55,ok,standard,0x371,data,8,1094581476,1094628956,5472907.380,5473144.780,237.400,99865.570,04 00 03 00 01 00 06 00,Pylon CAN v2026.07.03a 0x371 JK ext indexes DLC=8 [04 00 03 00 01 00 06 00],0x371 JK ext idx tMax#4 tMin#3 cellMax#1 cellMin#6,
56,ok,standard,0x359,data,8,1114576466,1114623946,5572882.330,5573119.730,237.400,99737.550,00 00 00 00 01 50 4E 00,Pylon CAN v2026.07.03a 0x359 module info DLC=8 [00 00 00 00 01 50 4E 00],0x359 module info modules=1 raw=00 00 00 00 01 50 4E 00,
57,ok,standard,0x351,data,8,1134565458,1134610938,5672827.290,5673054.690,227.400,99707.560,9E 02 7C 20 B6 03 E3 00,Pylon CAN v2026.07.03a 0x351 limits DLC=8 [9E 02 7C 20 B6 03 E3 00],0x351 limits chgV=67.0V chgI=831.6A disI=95.0A lowV=22.7V,
58,ok,standard,0x355,data,8,1154566448,1154613128,5772832.240,5773065.640,233.400,99777.550,63 00 64 00 00 00 00 00,Pylon CAN v2026.07.03a 0x355 SOC/SOH DLC=8 [63 00 64 00 00 00 00 00],0x355 SOC=99% SOH=100%,
59,ok,standard,0x356,data,8,1174645837,1174692117,5873229.185,5873460.585,231.400,100163.545,4C 16 00 00 34 01 00 00,Pylon CAN v2026.07.03a 0x356 pack DLC=8 [4C 16 00 00 34 01 00 00],0x356 pack V=57.08V I=0.0A temp=30.8C,
60,ok,standard,0x35C,data,8,1194578027,1194626707,5972890.135,5973133.535,243.400,99429.550,C0 00 00 00 00 00 00 00,Pylon CAN v2026.07.03a 0x35C status DLC=8 [C0 00 00 00 00 00 00 00],"0x35C status=0xC0 (charge=ON, discharge=ON, balance=OFF)",
61,ok,standard,0x35E,data,8,1214576615,1214621295,6072883.075,6073106.475,223.400,99749.540,4A 4B 2D 42 4D 53 00 00,Pylon CAN v2026.07.03a 0x35E ASCII name DLC=8 [4A 4B 2D 42 4D 53 00 00],0x35E name='JK-BMS',
62,ok,standard,0x370,data,8,1234570005,1234615485,6172850.025,6173077.425,227.400,99743.550,1F 08 0F 00 79 06 F7 86,Pylon CAN v2026.07.03a 0x370 JK ext cell/temp DLC=8 [1F 08 0F 00 79 06 F7 86],0x370 JK ext raw=1F 08 0F 00 79 06 F7 86,
63,ok,standard,0x371,data,8,1254588999,1254636479,6272944.995,6273182.395,237.400,99867.570,04 00 03 00 01 00 06 00,Pylon CAN v2026.07.03a 0x371 JK ext indexes DLC=8 [04 00 03 00 01 00 06 00],0x371 JK ext idx tMax#4 tMin#3 cellMax#1 cellMin#6,
64,ok,standard,0x359,data,8,1274572790,1274620270,6372863.950,6373101.350,237.400,99681.555,00 00 00 00 01 50 4E 00,Pylon CAN v2026.07.03a 0x359 module info DLC=8 [00 00 00 00 01 50 4E 00],0x359 module info modules=1 raw=00 00 00 00 01 50 4E 00,
65,ok,standard,0x351,data,8,1294572977,1294618457,6472864.885,6473092.285,227.400,99763.535,9E 02 7C 20 B6 03 E3 00,Pylon CAN v2026.07.03a 0x351 limits DLC=8 [9E 02 7C 20 B6 03 E3 00],0x351 limits chgV=67.0V chgI=831.6A disI=95.0A lowV=22.7V,
66,ok,standard,0x355,data,8,1314573965,1314620645,6572869.825,6573103.225,233.400,99777.540,63 00 64 00 00 00 00 00,Pylon CAN v2026.07.03a 0x355 SOC/SOH DLC=8 [63 00 64 00 00 00 00 00],0x355 SOC=99% SOH=100%,
67,ok,standard,0x356,data,8,1334574556,1334620836,6672872.780,6673104.180,231.400,99769.555,4C 16 00 00 34 01 00 00,Pylon CAN v2026.07.03a 0x356 pack DLC=8 [4C 16 00 00 34 01 00 00],0x356 pack V=57.08V I=0.0A temp=30.8C,
68,ok,standard,0x35C,data,8,1354575547,1354624227,6772877.735,6773121.135,243.400,99773.555,C0 00 00 00 00 00 00 00,Pylon CAN v2026.07.03a 0x35C status DLC=8 [C0 00 00 00 00 00 00 00],"0x35C status=0xC0 (charge=ON, discharge=ON, balance=OFF)",
69,ok,standard,0x35E,data,8,1374576541,1374621221,6872882.705,6873106.105,223.400,99761.570,4A 4B 2D 42 4D 53 00 00,Pylon CAN v2026.07.03a 0x35E ASCII name DLC=8 [4A 4B 2D 42 4D 53 00 00],0x35E name='JK-BMS',
70,ok,standard,0x370,data,8,1394577527,1394623007,6972887.635,6973115.035,227.400,99781.530,1F 08 0F 00 79 06 F7 86,Pylon CAN v2026.07.03a 0x370 JK ext cell/temp DLC=8 [1F 08 0F 00 79 06 F7 86],0x370 JK ext raw=1F 08 0F 00 79 06 F7 86,
71,ok,standard,0x371,data,8,1414578516,1414625996,7072892.580,7073129.980,237.400,99777.545,04 00 03 00 01 00 06 00,Pylon CAN v2026.07.03a 0x371 JK ext indexes DLC=8 [04 00 03 00 01 00 06 00],0x371 JK ext idx tMax#4 tMin#3 cellMax#1 cellMin#6,
72,ok,standard,0x359,data,8,1434580307,1434627787,7172901.535,7173138.935,237.400,99771.555,00 00 00 00 01 50 4E 00,Pylon CAN v2026.07.03a 0x359 module info DLC=8 [00 00 00 00 01 50 4E 00],0x359 module info modules=1 raw=00 00 00 00 01 50 4E 00,
73,ok,standard,0x351,data,8,1454580497,1454625977,7272902.485,7273129.885,227.400,99763.550,9E 02 7C 20 B6 03 E3 00,Pylon CAN v2026.07.03a 0x351 limits DLC=8 [9E 02 7C 20 B6 03 E3 00],0x351 limits chgV=67.0V chgI=831.6A disI=95.0A lowV=22.7V,
74,ok,standard,0x355,data,8,1474581088,1474627768,7372905.440,7373138.840,233.400,99775.555,63 00 64 00 00 00 00 00,Pylon CAN v2026.07.03a 0x355 SOC/SOH DLC=8 [63 00 64 00 00 00 00 00],0x355 SOC=99% SOH=100%,
75,ok,standard,0x356,data,8,1494582078,1494628358,7472910.390,7473141.790,231.400,99771.550,4C 16 00 00 34 01 00 00,Pylon CAN v2026.07.03a 0x356 pack DLC=8 [4C 16 00 00 34 01 00 00],0x356 pack V=57.08V I=0.0A temp=30.8C,
76,ok,standard,0x35C,data,8,1514591872,1514640552,7572959.360,7573202.760,243.400,99817.570,C0 00 00 00 00 00 00 00,Pylon CAN v2026.07.03a 0x35C status DLC=8 [C0 00 00 00 00 00 00 00],"0x35C status=0xC0 (charge=ON, discharge=ON, balance=OFF)",
77,ok,standard,0x35E,data,8,1534584058,1534628738,7672920.290,7673143.690,223.400,99717.530,4A 4B 2D 42 4D 53 00 00,Pylon CAN v2026.07.03a 0x35E ASCII name DLC=8 [4A 4B 2D 42 4D 53 00 00],0x35E name='JK-BMS',
78,ok,standard,0x370,data,8,1554585057,1554630537,7772925.285,7773152.685,227.400,99781.595,1F 08 0F 00 79 06 F7 86,Pylon CAN v2026.07.03a 0x370 JK ext cell/temp DLC=8 [1F 08 0F 00 79 06 F7 86],0x370 JK ext raw=1F 08 0F 00 79 06 F7 86,
79,ok,standard,0x371,data,8,1574603641,1574651121,7873018.205,7873255.605,237.400,99865.520,04 00 03 00 01 00 06 00,Pylon CAN v2026.07.03a 0x371 JK ext indexes DLC=8 [04 00 03 00 01 00 06 00],0x371 JK ext idx tMax#4 tMin#3 cellMax#1 cellMin#6,
80,ok,standard,0x359,data,8,1594598638,1594646118,7972993.190,7973230.590,237.400,99737.585,00 00 00 00 01 50 4E 00,Pylon CAN v2026.07.03a 0x359 module info DLC=8 [00 00 00 00 01 50 4E 00],0x359 module info modules=1 raw=00 00 00 00 01 50 4E 00,
81,ok,standard,0x351,data,8,1614587620,1614633100,8072938.100,8073165.500,227.400,99707.510,9E 02 7C 20 B6 03 E3 00,Pylon CAN v2026.07.03a 0x351 limits DLC=8 [9E 02 7C 20 B6 03 E3 00],0x351 limits chgV=67.0V chgI=831.6A disI=95.0A lowV=22.7V,
