frame_no,status,type,slave,func,start_reg,count,byte_count,crc_ok,start_sample,end_sample,start_us,end_us,duration_us,gap_from_previous_us,raw_hex,summary,decoded,error
1,ok,request,2,97,,,,true,383625620,388083908,1918128.100,1940419.540,22291.440,,7E 32 30 30 32 34 36 36 31 30 30 30 30 46 44 41 42 0D,Pylon req addr=0x02 cid2=0x61 analog/telemetry chk=OK len=0 empty,request analog/telemetry empty payload,
2,ok,response,2,0,,,,true,389053940,413221712,1945269.700,2066108.560,120838.860,4850.160,7E 32 30 30 32 34 36 30 30 38 30 36 32 44 46 30 46 30 30 30 30 36 33 30 30 30 30 30 30 30 30 36 34 36 34 30 44 46 33 30 30 30 31 30 44 46 31 30 30 30 34 30 42 45 31 30 42 45 36 30 30 30 34 30 42 44 43 30 30 30 33 30 42 43 46 30 42 43 46 30 30 30 30 30 42 43 46 30 30 30 30 30 42 43 46 30 42 43 46 30 30 30 30 30 42 43 46 30 30 30 30 45 38 39 31 0D,Pylon rsp addr=0x02 OK cid2=0x61 chk=OK analog/telemetry len=98,0x61 V=57.103V I=0.0A SOC=99% SOH=100% cycles=0 cell_max=3.571V#1 cell_min=3.569V#4 MOS=31.0C T1=31.5C T2=30.5C T4=29.2C T5=29.2C,
3,ok,request,66,66,,,,true,788485199,793443481,3942425.995,3967217.405,24791.410,1876317.435,7E 32 30 34 32 34 36 34 32 45 30 30 32 34 32 46 44 32 42 0D,Pylon req addr=0x42 cid2=0x42 cell information chk=OK len=2,request cell information selector=0x42,
4,ok,frame,2,4,,,,true,794468463,798218629,3972342.315,3991093.145,18750.830,5124.910,7E 32 30 30 32 34 36 30 34 30 30 30 30 46 44 41 45 0D,Pylon frame addr=0x02 cid1=0x46 code=0x04 chk=OK,request request empty payload,
5,ok,request,2,99,,,,true,1193934051,1198392338,5969670.255,5991961.690,22291.435,1978577.110,7E 32 30 30 32 34 36 36 33 30 30 30 30 46 44 41 39 0D,Pylon req addr=0x02 cid2=0x63 charge/discharge status chk=OK len=0 empty,request charge/discharge status empty payload,
6,ok,response,2,0,,,,true,1199278794,1206779133,5996393.970,6033895.665,37501.695,4432.280,7E 32 30 30 32 34 36 30 30 44 30 31 32 30 35 45 30 42 31 38 30 30 31 37 43 30 37 36 43 43 30 46 39 42 38 0D,Pylon rsp addr=0x02 OK cid2=0x63 chk=OK charge/discharge status len=18,"0x63 status=0xC0 (charge=ON, discharge=ON, balance=OFF)",
7,ok,request,2,98,,,,true,1598782408,1603240695,7993912.040,8016203.475,22291.435,1960016.375,7E 32 30 30 32 34 36 36 32 30 30 30 30 46 44 41 41 0D,Pylon req addr=0x02 cid2=0x62 alarm/status flags chk=OK len=0 empty,request alarm/status flags empty payload,
8,ok,response,2,0,,,,true,1604109960,1609526867,8020549.800,8047634.335,27084.535,4346.325,7E 32 30 30 32 34 36 30 30 38 30 30 38 30 30 30 30 30 30 30 30 46 43 32 32 0D,Pylon rsp addr=0x02 OK cid2=0x62 chk=OK alarm/status flags len=8,0x62 flags=0x00000000 (no flags set),
9,ok,request,2,97,,,,true,2003431781,2007890068,10017158.905,10039450.340,22291.435,1969524.570,7E 32 30 30 32 34 36 36 31 30 30 30 30 46 44 41 42 0D,Pylon req addr=0x02 cid2=0x61 analog/telemetry chk=OK len=0 empty,request analog/telemetry empty payload,
10,ok,response,2,0,,,,true,2008941124,2033108896,10044705.620,10165544.480,120838.860,5255.280,7E 32 30 30 32 34 36 30 30 38 30 36 32 44 46 30 37 30 30 30 30 36 33 30 30 30 30 30 30 30 30 36 34 36 34 30 44 46 33 30 30 30 31 30 44 45 46 30 30 30 36 30 42 45 31 30 42 45 36 30 30 30 34 30 42 44 43 30 30 30 33 30 42 43 46 30 42 43 46 30 30 30 30 30 42 43 46 30 30 30 30 30 42 43 46 30 42 43 46 30 30 30 30 30 42 43 46 30 30 30 30 45 38 38 41 0D,Pylon rsp addr=0x02 OK cid2=0x61 chk=OK analog/telemetry len=98,0x61 V=57.095V I=0.0A SOC=99% SOH=100% cycles=0 cell_max=3.571V#1 cell_min=3.567V#6 MOS=31.0C T1=31.5C T2=30.5C T4=29.2C T5=29.2C,
