sequence_no,complete,status,request_frame_no,response_frame_no,slave,func,start_reg,count,request_start_us,request_end_us,response_start_us,response_end_us,request_to_response_us,full_exchange_us,request_summary,response_summary
1,true,complete,1,2,2,97,,,1918128.100,1940419.540,1945269.700,2066108.560,4850.160,147980.460,Pylon req addr=0x02 cid2=0x61 analog/telemetry chk=OK len=0 empty,Pylon rsp addr=0x02 OK cid2=0x61 chk=OK analog/telemetry len=98
2,true,complete,5,6,2,99,,,5969670.255,5991961.690,5996393.970,6033895.665,4432.280,64225.410,Pylon req addr=0x02 cid2=0x63 charge/discharge status chk=OK len=0 empty,Pylon rsp addr=0x02 OK cid2=0x63 chk=OK charge/discharge status len=18
3,true,complete,7,8,2,98,,,7993912.040,8016203.475,8020549.800,8047634.335,4346.325,53722.295,Pylon req addr=0x02 cid2=0x62 alarm/status flags chk=OK len=0 empty,Pylon rsp addr=0x02 OK cid2=0x62 chk=OK alarm/status flags len=8
4,true,complete,9,10,2,97,,,10017158.905,10039450.340,10044705.620,10165544.480,5255.280,148385.575,Pylon req addr=0x02 cid2=0x61 analog/telemetry chk=OK len=0 empty,Pylon rsp addr=0x02 OK cid2=0x61 chk=OK analog/telemetry len=98
5,false,request_replaced,3,,66,66,,,3942425.995,3967217.405,,,,,Pylon req addr=0x42 cid2=0x42 cell information chk=OK len=2,
6,true,complete,13,14,2,99,,,14068445.380,14090736.815,14095829.895,14133331.575,5093.080,64886.195,Pylon req addr=0x02 cid2=0x63 charge/discharge status chk=OK len=0 empty,Pylon rsp addr=0x02 OK cid2=0x63 chk=OK charge/discharge status len=18
7,true,complete,15,16,2,98,,,16092356.080,16114647.515,16118944.000,16146028.535,4296.485,53672.455,Pylon req addr=0x02 cid2=0x62 alarm/status flags chk=OK len=0 empty,Pylon rsp addr=0x02 OK cid2=0x62 chk=OK alarm/status flags len=8
8,true,complete,18,19,2,97,,,18116144.350,18138435.785,18144141.545,18264980.400,5705.760,148836.050,Pylon req addr=0x02 cid2=0x61 analog/telemetry chk=OK len=0 empty,Pylon rsp addr=0x02 OK cid2=0x61 chk=OK analog/telemetry len=98
9,false,request_replaced,11,,66,66,,,12041654.450,12066445.860,,,,,Pylon req addr=0x42 cid2=0x42 cell information chk=OK len=2,
10,true,complete,23,24,2,99,,,22967090.290,22989381.725,22994365.160,23031866.845,4983.435,64776.555,Pylon req addr=0x02 cid2=0x63 charge/discharge status chk=OK len=0 empty,Pylon rsp addr=0x02 OK cid2=0x63 chk=OK charge/discharge status len=18
11,true,complete,25,26,2,98,,,24991544.925,25013836.360,25018312.650,25045397.180,4476.290,53852.255,Pylon req addr=0x02 cid2=0x62 alarm/status flags chk=OK len=0 empty,Pylon rsp addr=0x02 OK cid2=0x62 chk=OK alarm/status flags len=8
12,true,complete,27,28,2,97,,,27015748.830,27038040.260,27043510.190,27164349.040,5469.930,148600.210,Pylon req addr=0x02 cid2=0x61 analog/telemetry chk=OK len=0 empty,Pylon rsp addr=0x02 OK cid2=0x61 chk=OK analog/telemetry len=98
13,false,request_replaced,21,,66,66,,,20940298.615,20965090.020,,,,,Pylon req addr=0x42 cid2=0x42 cell information chk=OK len=2,
14,true,complete,31,32,2,99,,,31065509.550,31087800.985,31092551.030,31130052.715,4750.045,64543.165,Pylon req addr=0x02 cid2=0x63 charge/discharge status chk=OK len=0 empty,Pylon rsp addr=0x02 OK cid2=0x63 chk=OK charge/discharge status len=18
15,true,complete,33,34,2,98,,,33089167.340,33111458.775,33115665.145,33142749.680,4206.370,53582.340,Pylon req addr=0x02 cid2=0x62 alarm/status flags chk=OK len=0 empty,Pylon rsp addr=0x02 OK cid2=0x62 chk=OK alarm/status flags len=8
16,true,complete,35,36,2,97,,,35113798.475,35136089.910,35140862.680,35261701.550,4772.770,147903.075,Pylon req addr=0x02 cid2=0x61 analog/telemetry chk=OK len=0 empty,Pylon rsp addr=0x02 OK cid2=0x61 chk=OK analog/telemetry len=98
17,false,request_replaced,29,,66,66,,,29039145.585,29063936.985,,,,,Pylon req addr=0x42 cid2=0x42 cell information chk=OK len=2,
18,true,complete,39,40,2,99,,,39162412.100,39184703.535,39190007.700,39227509.380,5304.165,65097.280,Pylon req addr=0x02 cid2=0x63 charge/discharge status chk=OK len=0 empty,Pylon rsp addr=0x02 OK cid2=0x63 chk=OK charge/discharge status len=18
19,true,complete,42,43,2,98,,,42386490.030,42408781.460,42413072.965,42440157.495,4291.505,53667.465,Pylon req addr=0x02 cid2=0x62 alarm/status flags chk=OK len=0 empty,Pylon rsp addr=0x02 OK cid2=0x62 chk=OK alarm/status flags len=8
20,true,complete,44,45,2,97,,,44410367.140,44432658.575,44438166.335,44559005.180,5507.760,148638.040,Pylon req addr=0x02 cid2=0x61 analog/telemetry chk=OK len=0 empty,Pylon rsp addr=0x02 OK cid2=0x61 chk=OK analog/telemetry len=98
21,true,complete,46,47,2,99,,,47234394.305,47256685.740,47261317.340,47298819.010,4631.600,64424.705,Pylon req addr=0x02 cid2=0x63 charge/discharge status chk=OK len=0 empty,Pylon rsp addr=0x02 OK cid2=0x63 chk=OK charge/discharge status len=18
22,true,complete,48,49,2,98,,,49258839.985,49281131.420,49285473.160,49312557.680,4341.740,53717.695,Pylon req addr=0x02 cid2=0x62 alarm/status flags chk=OK len=0 empty,Pylon rsp addr=0x02 OK cid2=0x62 chk=OK alarm/status flags len=8
23,false,unmatched_request,37,,66,66,,,37137938.695,37160230.130,,,,,Pylon req addr=0x42 cid2=0x42 cell information chk=OK len=0 empty,
