frame_no,status,frame_type,can_id,rtr_type,dlc,start_sample,end_sample,start_us,end_us,duration_us,gap_from_previous_us,data_hex,summary,decoded,error
1,ok,standard,0x35E,data,8,1777260,1823140,8886.300,9115.700,229.400,,53 4D 41 20 20 20 20 20,SMA CAN v2026.07.04a 0x35E manufacturer DLC=8 [53 4D 41 20 20 20 20 20],0x35E SMA manufacturer 'SMA' raw=53 4D 41 20 20 20 20 20,
2,ok,standard,0x35F,data,8,34885888,34933368,174429.440,174666.840,237.400,165313.740,00 00 00 01 22 01 00 00,SMA CAN v2026.07.04a 0x35F battery info raw DLC=8 [00 00 00 01 22 01 00 00],"0x35F SMA battery info '."".' raw=00 00 00 01 22 01 00 00",
3,ok,standard,0x35A,data,8,68086116,68129996,340430.580,340649.980,219.400,165763.740,AA AA AA 02 AA AA AA 02,SMA CAN v2026.07.04a 0x35A vendor raw DLC=8 [AA AA AA 02 AA AA AA 02],0x35A SMA vendor '........' raw=AA AA AA 02 AA AA AA 02,
4,ok,standard,0x351,data,8,101776340,101822620,508881.700,509113.100,231.400,168231.720,40 02 08 07 08 07 00 02,SMA CAN v2026.07.04a 0x351 limits DLC=8 [40 02 08 07 08 07 00 02],0x351 SMA limits chgV=57.6V chgI=180.0A disI=180.0A lowV=51.2V,
5,ok,standard,0x355,data,8,134885768,134932048,674428.840,674660.240,231.400,165315.740,46 00 64 00 76 1B 00 00,SMA CAN v2026.07.04a 0x355 SOC/SOH DLC=8 [46 00 64 00 76 1B 00 00],0x355 SMA SOC=70%% SOH=100%% raw_tail=76 1B 00 00,
6,ok,standard,0x356,data,8,168085596,168132676,840427.980,840663.380,235.400,165767.740,3D 0B 00 00 7C 80 00 00,SMA CAN v2026.07.04a 0x356 pack DLC=8 [3D 0B 00 00 7C 80 00 00],0x356 SMA pack V=28.77V I=+0.0A temp=-3264.4C raw_tail=00 00,
7,ok,standard,0x35E,data,8,201775421,201821301,1008877.105,1009106.505,229.400,168213.725,53 4D 41 20 20 20 20 20,SMA CAN v2026.07.04a 0x35E manufacturer DLC=8 [53 4D 41 20 20 20 20 20],0x35E SMA manufacturer 'SMA' raw=53 4D 41 20 20 20 20 20,
8,ok,standard,0x35F,data,8,234884449,234931929,1174422.245,1174659.645,237.400,165315.740,00 00 00 01 22 01 00 00,SMA CAN v2026.07.04a 0x35F battery info raw DLC=8 [00 00 00 01 22 01 00 00],"0x35F SMA battery info '."".' raw=00 00 00 01 22 01 00 00",
9,ok,standard,0x35A,data,8,268084676,268128556,1340423.380,1340642.780,219.400,165763.735,AA AA AA 02 AA AA AA 02,SMA CAN v2026.07.04a 0x35A vendor raw DLC=8 [AA AA AA 02 AA AA AA 02],0x35A SMA vendor '........' raw=AA AA AA 02 AA AA AA 02,
10,ok,standard,0x351,data,8,301773701,301819981,1508868.505,1509099.905,231.400,168225.725,40 02 08 07 08 07 00 02,SMA CAN v2026.07.04a 0x351 limits DLC=8 [40 02 08 07 08 07 00 02],0x351 SMA limits chgV=57.6V chgI=180.0A disI=180.0A lowV=51.2V,
11,ok,standard,0x355,data,8,334884329,334930609,1674421.645,1674653.045,231.400,165321.740,46 00 64 00 76 1B 00 00,SMA CAN v2026.07.04a 0x355 SOC/SOH DLC=8 [46 00 64 00 76 1B 00 00],0x355 SMA SOC=70%% SOH=100%% raw_tail=76 1B 00 00,
12,ok,standard,0x356,data,8,368083757,368130837,1840418.785,1840654.185,235.400,165765.740,3D 0B 00 00 7C 80 00 00,SMA CAN v2026.07.04a 0x356 pack DLC=8 [3D 0B 00 00 7C 80 00 00],0x356 SMA pack V=28.77V I=+0.0A temp=-3264.4C raw_tail=00 00,
13,ok,standard,0x35E,data,8,401774781,401820661,2008873.905,2009103.305,229.400,168219.720,53 4D 41 20 20 20 20 20,SMA CAN v2026.07.04a 0x35E manufacturer DLC=8 [53 4D 41 20 20 20 20 20],0x35E SMA manufacturer 'SMA' raw=53 4D 41 20 20 20 20 20,
14,ok,standard,0x35F,data,8,434883009,434930489,2174415.045,2174652.445,237.400,165311.740,00 00 00 01 22 01 00 00,SMA CAN v2026.07.04a 0x35F battery info raw DLC=8 [00 00 00 01 22 01 00 00],"0x35F SMA battery info '."".' raw=00 00 00 01 22 01 00 00",
15,ok,standard,0x35A,data,8,468083237,468127117,2340416.185,2340635.585,219.400,165763.740,AA AA AA 02 AA AA AA 02,SMA CAN v2026.07.04a 0x35A vendor raw DLC=8 [AA AA AA 02 AA AA AA 02],0x35A SMA vendor '........' raw=AA AA AA 02 AA AA AA 02,
16,ok,standard,0x351,data,8,501773862,501820142,2508869.310,2509100.710,231.400,168233.725,40 02 08 07 08 07 00 02,SMA CAN v2026.07.04a 0x351 limits DLC=8 [40 02 08 07 08 07 00 02],0x351 SMA limits chgV=57.6V chgI=180.0A disI=180.0A lowV=51.2V,
17,ok,standard,0x355,data,8,534882889,534929169,2674414.445,2674645.845,231.400,165313.735,46 00 64 00 76 1B 00 00,SMA CAN v2026.07.04a 0x355 SOC/SOH DLC=8 [46 00 64 00 76 1B 00 00],0x355 SMA SOC=70%% SOH=100%% raw_tail=76 1B 00 00,
