sequence_no,frame_count,start_us,end_us,duration_us,gap_from_previous_us,unique_can_ids,first_frame_no,last_frame_no
1,1,8886.300,9115.700,229.400,,0x35E,1,1
2,1,174429.440,174666.840,237.400,165313.740,0x35F,2,2
3,1,340430.580,340649.980,219.400,165763.740,0x35A,3,3
4,1,508881.700,509113.100,231.400,168231.720,0x351,4,4
5,1,674428.840,674660.240,231.400,165315.740,0x355,5,5
6,1,840427.980,840663.380,235.400,165767.740,0x356,6,6
7,1,1008877.105,1009106.505,229.400,168213.725,0x35E,7,7
8,1,1174422.245,1174659.645,237.400,165315.740,0x35F,8,8
9,1,1340423.380,1340642.780,219.400,165763.735,0x35A,9,9
10,1,1508868.505,1509099.905,231.400,168225.725,0x351,10,10
11,1,1674421.645,1674653.045,231.400,165321.740,0x355,11,11
12,1,1840418.785,1840654.185,235.400,165765.740,0x356,12,12
13,1,2008873.905,2009103.305,229.400,168219.720,0x35E,13,13
14,1,2174415.045,2174652.445,237.400,165311.740,0x35F,14,14
15,1,2340416.185,2340635.585,219.400,165763.740,0x35A,15,15
16,1,2508869.310,2509100.710,231.400,168233.725,0x351,16,16
17,1,2674414.445,2674645.845,231.400,165313.735,0x355,17,17
18,1,2840413.585,2840648.985,235.400,165767.740,0x356,18,18
19,1,3008870.710,3009100.110,229.400,168221.725,0x35E,19,19
20,1,3174411.850,3174649.250,237.400,165311.740,0x35F,20,20
21,1,3340410.990,3340630.390,219.400,165761.740,0x35A,21,21
22,1,3508866.110,3509097.510,231.400,168235.720,0x351,22,22
23,1,3674405.250,3674636.650,231.400,165307.740,0x355,23,23
24,1,3840408.390,3840643.790,235.400,165771.740,0x356,24,24
25,1,4008863.510,4009092.910,229.400,168219.720,0x35E,25,25
26,1,4174402.655,4174640.055,237.400,165309.745,0x35F,26,26
27,1,4340401.790,4340621.190,219.400,165761.735,0x35A,27,27
28,1,4508862.915,4509094.315,231.400,168241.725,0x351,28,28
29,1,4674402.055,4674633.455,231.400,165307.740,0x355,29,29
30,1,4840399.195,4840634.595,235.400,165765.740,0x356,30,30
31,1,5008850.320,5009079.720,229.400,168215.725,0x35E,31,31
32,1,5174393.460,5174630.860,237.400,165313.740,0x35F,32,32
33,1,5340396.595,5340615.995,219.400,165765.735,0x35A,33,33
34,1,5508849.720,5509081.120,231.400,168233.725,0x351,34,34
35,1,5674394.860,5674626.260,231.400,165313.740,0x355,35,35
36,1,5840394.000,5840629.400,235.400,165767.740,0x356,36,36
37,1,6008847.125,6009076.525,229.400,168217.725,0x35E,37,37
38,1,6174388.265,6174625.665,237.400,165311.740,0x35F,38,38
39,1,6340389.405,6340608.805,219.400,165763.740,0x35A,39,39
40,1,6508842.530,6509073.930,231.400,168233.725,0x351,40,40
41,1,6674387.670,6674619.070,231.400,165313.740,0x355,41,41
42,1,6840386.810,6840622.210,235.400,165767.740,0x356,42,42
43,1,7008835.935,7009065.335,229.400,168213.725,0x35E,43,43
44,1,7174385.075,7174622.475,237.400,165319.740,0x35F,44,44
45,1,7340380.215,7340599.615,219.400,165757.740,0x35A,45,45
46,1,7508837.340,7509068.740,231.400,168237.725,0x351,46,46
47,1,7674382.480,7674613.880,231.400,165313.740,0x355,47,47
48,1,7840381.620,7840617.020,235.400,165767.740,0x356,48,48
49,1,8008832.745,8009062.145,229.400,168215.725,0x35E,49,49
50,1,8174375.885,8174613.285,237.400,165313.740,0x35F,50,50
51,1,8340379.025,8340598.425,219.400,165765.740,0x35A,51,51
52,1,8508828.150,8509059.550,231.400,168229.725,0x351,52,52
53,1,8674373.290,8674604.690,231.400,165313.740,0x355,53,53
54,1,8840372.430,8840607.830,235.400,165767.740,0x356,54,54
55,1,9008825.555,9009054.955,229.400,168217.725,0x35E,55,55
56,1,9174370.700,9174608.100,237.400,165315.745,0x35F,56,56
57,1,9340367.835,9340587.235,219.400,165759.735,0x35A,57,57
58,1,9508824.960,9509056.360,231.400,168237.725,0x351,58,58
59,1,9674366.100,9674597.500,231.400,165309.740,0x355,59,59
60,1,9840363.240,9840598.640,235.400,165765.740,0x356,60,60
