frame_no,status,frame_type,can_id,rtr_type,dlc,start_sample,end_sample,start_us,end_us,duration_us,gap_from_previous_us,data_hex,summary,decoded,error
1,ok,standard,0x35F,data,8,3308119,3355599,16540.595,16777.995,237.400,,00 00 00 01 22 01 00 00,Sofar CAN v2026.07.04a 0x35F module raw DLC=8 [00 00 00 01 22 01 00 00],"0x35F Sofar module raw='."".' u16=[0, 256, 290, 0] raw=00 00 00 01 22 01 00 00",
2,ok,standard,0x35A,data,8,78907657,78951537,394538.285,394757.685,219.400,377760.290,AA AA AA 02 AA AA AA 02,Sofar CAN v2026.07.04a 0x35A Sofar? DLC=8 [AA AA AA 02 AA AA AA 02],0x35A unknown raw=AA AA AA 02 AA AA AA 02,
3,ok,standard,0x351,data,8,104107136,104153416,520535.680,520767.080,231.400,125777.995,40 02 08 07 08 07 00 02,Sofar CAN v2026.07.04a 0x351 limits DLC=8 [40 02 08 07 08 07 00 02],0x351 Sofar limits chgV=57.6V chgI=180.0A disI=180.0A lowV=51.2V,
4,ok,standard,0x355,data,8,129307416,129353696,646537.080,646768.480,231.400,125770.000,46 00 64 00 6C 1B 00 00,Sofar CAN v2026.07.04a 0x355 SOC/SOH DLC=8 [46 00 64 00 6C 1B 00 00],0x355 Sofar SOC=70%% SOH=100%%,
5,ok,standard,0x356,data,8,154998092,155044372,774990.460,775221.860,231.400,128221.980,EE 15 00 00 F8 40 00 00,Sofar CAN v2026.07.04a 0x356 pack DLC=8 [EE 15 00 00 F8 40 00 00],0x356 Sofar pack V=56.14V I=+0.0A temp=1663.2C,
6,ok,standard,0x35E,data,8,180106772,180151052,900533.860,900755.260,221.400,125312.000,53 6F 66 61 72 20 20 20,Sofar CAN v2026.07.04a 0x35E brand DLC=8 [53 6F 66 61 72 20 20 20],0x35E Sofar brand 'Sofar' raw=53 6F 66 61 72 20 20 20,
7,ok,standard,0x35F,data,8,205305851,205353331,1026529.255,1026766.655,237.400,125773.995,00 00 00 01 22 01 00 00,Sofar CAN v2026.07.04a 0x35F module raw DLC=8 [00 00 00 01 22 01 00 00],"0x35F Sofar module raw='."".' u16=[0, 256, 290, 0] raw=00 00 00 01 22 01 00 00",
8,ok,standard,0x35A,data,8,281705384,281749264,1408526.920,1408746.320,219.400,381760.265,AA AA AA 02 AA AA AA 02,Sofar CAN v2026.07.04a 0x35A Sofar? DLC=8 [AA AA AA 02 AA AA AA 02],0x35A unknown raw=AA AA AA 02 AA AA AA 02,
9,ok,standard,0x351,data,8,306905662,306951942,1534528.310,1534759.710,231.400,125781.990,40 02 08 07 08 07 00 02,Sofar CAN v2026.07.04a 0x351 limits DLC=8 [40 02 08 07 08 07 00 02],0x351 Sofar limits chgV=57.6V chgI=180.0A disI=180.0A lowV=51.2V,
10,ok,standard,0x355,data,8,332105542,332151822,1660527.710,1660759.110,231.400,125768.000,46 00 64 00 6C 1B 00 00,Sofar CAN v2026.07.04a 0x355 SOC/SOH DLC=8 [46 00 64 00 6C 1B 00 00],0x355 Sofar SOC=70%% SOH=100%%,
