sequence_no,frame_count,start_us,end_us,duration_us,gap_from_previous_us,unique_can_ids,first_frame_no,last_frame_no
1,1,16540.595,16777.995,237.400,,0x35F,1,1
2,1,394538.285,394757.685,219.400,377760.290,0x35A,2,2
3,1,520535.680,520767.080,231.400,125777.995,0x351,3,3
4,1,646537.080,646768.480,231.400,125770.000,0x355,4,4
5,1,774990.460,775221.860,231.400,128221.980,0x356,5,5
6,1,900533.860,900755.260,221.400,125312.000,0x35E,6,6
7,1,1026529.255,1026766.655,237.400,125773.995,0x35F,7,7
8,1,1408526.920,1408746.320,219.400,381760.265,0x35A,8,8
9,1,1534528.310,1534759.710,231.400,125781.990,0x351,9,9
10,1,1660527.710,1660759.110,231.400,125768.000,0x355,10,10
11,1,1786525.105,1786756.505,231.400,125765.995,0x356,11,11
12,1,1912528.500,1912749.900,221.400,125771.995,0x35E,12,12
13,1,2038521.895,2038759.295,237.400,125771.995,0x35F,13,13
14,1,2416521.585,2416740.985,219.400,377762.290,0x35A,14,14
15,1,2542522.980,2542754.380,231.400,125781.995,0x351,15,15
16,1,2668522.375,2668753.775,231.400,125767.995,0x355,16,16
17,1,2794519.770,2794751.170,231.400,125765.995,0x356,17,17
18,1,2920521.165,2920742.565,221.400,125769.995,0x35E,18,18
19,1,3046516.560,3046753.960,237.400,125773.995,0x35F,19,19
20,1,3426512.235,3426731.635,219.400,379758.275,0x35A,20,20
21,1,3552511.630,3552743.030,231.400,125779.995,0x351,21,21
22,1,3678513.030,3678744.430,231.400,125770.000,0x355,22,22
23,1,3804512.425,3804743.825,231.400,125767.995,0x356,23,23
24,1,3930513.820,3930735.220,221.400,125769.995,0x35E,24,24
25,1,4056509.215,4056746.615,237.400,125773.995,0x35F,25,25
26,1,4434510.905,4434730.305,219.400,377764.290,0x35A,26,26
27,1,4560506.300,4560737.700,231.400,125775.995,0x351,27,27
28,1,4686509.695,4686741.095,231.400,125771.995,0x355,28,28
29,1,4812503.090,4812734.490,231.400,125761.995,0x356,29,29
30,1,4938504.485,4938725.885,221.400,125769.995,0x35E,30,30
31,1,5064505.885,5064743.285,237.400,125780.000,0x35F,31,31
32,1,5442503.570,5442722.970,219.400,377760.285,0x35A,32,32
33,1,5568502.965,5568734.365,231.400,125779.995,0x351,33,33
34,1,5694500.360,5694731.760,231.400,125765.995,0x355,34,34
35,1,5820497.760,5820729.160,231.400,125766.000,0x356,35,35
36,1,5946497.155,5946718.555,221.400,125767.995,0x35E,36,36
37,1,6074954.535,6075191.935,237.400,128235.980,0x35F,37,37
38,1,6452494.225,6452713.625,219.400,377302.290,0x35A,38,38
39,1,6578495.620,6578727.020,231.400,125781.995,0x351,39,39
40,1,6704505.015,6704736.415,231.400,125777.995,0x355,40,40
41,1,6830494.410,6830725.810,231.400,125757.995,0x356,41,41
42,1,6956489.810,6956711.210,221.400,125764.000,0x35E,42,42
43,1,7082487.205,7082724.605,237.400,125775.995,0x35F,43,43
