group,topology,target,kind,capture,duration_s,frames,frames_per_s,complete_sequences,complete_sequences_per_s,incomplete_orphan_rows,can_cycles,can_cycles_per_s,unique_can_ids,bad_or_invalid_frames,decode_errors,request_to_response_avg_us,request_to_response_p95_us,full_exchange_avg_us,full_exchange_p95_us,cycle_duration_avg_us,cycle_duration_p95_us,inter_cycle_gap_avg_us,inter_cycle_gap_p95_us
Growatt CAN JKBMS,Bridge,growatt_can,CAN,examples/bridge/growatt-can-raw-capture.sr,10.000004,519,51.900,0,0.000,0,1,0.100,10,0,0,,,,,9980699.265,9980699.265,,
Growatt CAN JKBMS,Bridge Forward,forward_growatt_can,CAN,examples/bridge_forward/growatt-can-raw-capture.sr,10.000003,520,52.000,0,0.000,0,1,0.100,10,0,0,,,,,9980680.500,9980680.500,,
Growatt CAN JKBMS,Direct cable,direct_growatt_can,CAN,examples/direct/growatt-can-raw-capture.sr,5.000001,260,52.000,0,0.000,0,1,0.200,10,0,0,,,,,4980232.085,4980232.085,,
Growatt CAN SeplosBMS,Bridge,growatt_seplos_can,CAN,examples/bridge/growatt-seplos-can-raw-capture.sr,10.000002,130,13.000,0,0.000,0,10,1.000,12,0,0,,,,,851373.724,1221318.481,155493.468,165776.235
Growatt CAN SeplosBMS,Bridge Forward,forward_growatt_seplos_can,CAN,examples/bridge_forward/growatt-seplos-can-raw-capture.sr,10.000005,129,12.900,0,0.000,0,11,1.100,12,0,0,,,,,755942.000,861952.157,160226.810,165777.835
Growatt CAN SeplosBMS,Direct cable,direct_growatt_seplos_can,CAN,examples/direct/growatt-seplos-can-raw-capture.sr,5.000000,65,13.000,0,0.000,0,6,1.200,12,0,0,,,,,687125.942,831768.787,168228.483,168229.680
Growatt RS485 JKBMS,Bridge,growatt_rs485,RS485/UART,examples/bridge/growatt-rs485-raw-capture.sr,10.000007,50,5.000,25,2.500,0,0,0.000,0,0,0,4759.997,5294.317,49094.793,53520.070,,,,
Growatt RS485 JKBMS,Bridge Forward,forward_growatt_rs485,RS485/UART,examples/bridge_forward/growatt-rs485-raw-capture.sr,10.000001,50,5.000,25,2.500,0,0,0.000,0,0,0,5008.099,5293.782,48926.211,53484.774,,,,
Growatt RS485 JKBMS,Direct cable,direct_growatt_rs485,RS485/UART,examples/direct/growatt-rs485-raw-capture.sr,25.000003,100,4.000,50,2.000,0,0,0.000,0,0,0,5126.758,5438.647,59337.414,75000.908,,,,
Growatt RS485 SeplosBMS,Bridge,growatt_seplos_rs485,RS485/UART,examples/bridge/growatt-seplos-rs485-raw-capture.sr,10.000005,49,4.900,24,2.400,1,0,0.000,0,0,0,49517.093,49863.536,86044.643,97806.109,,,,
Growatt RS485 SeplosBMS,Bridge Forward,forward_growatt_seplos_rs485,RS485/UART,examples/bridge_forward/growatt-seplos-rs485-raw-capture.sr,10.000000,49,4.900,24,2.400,1,0,0.000,0,0,0,49604.182,50490.317,86131.735,97846.399,,,,
Anenji Pylon RS485 JKBMS,Bridge,anenji_pylon_rs485,RS485/UART,examples/bridge/anenji-pylon-rs485-raw-capture.sr,10.000003,20,2.000,8,0.800,4,0,0.000,0,0,0,9706.670,9912.793,111164.319,153034.215,,,,
Anenji Pylon RS485 JKBMS,Bridge Forward,forward_anenji_pylon_rs485,RS485/UART,examples/bridge_forward/anenji-pylon-rs485-raw-capture.sr,10.000004,24,2.400,8,0.800,8,0,0.000,0,0,0,5488.619,6190.079,106950.364,149320.428,,,,
Anenji Pylon RS485 JKBMS,Direct cable,direct_anenji_jkbms_pylon_rs485,RS485/UART,examples/direct/anenji-jkbms-pylon-rs485-raw-capture.sr,25.000008,61,2.440,20,0.800,21,0,0.000,0,0,0,5124.941,5692.958,102917.894,145154.533,,,,
Anenji Pylon RS485 SeplosBMS,Bridge Forward,forward_anenji_seplos_pylon_rs485,RS485/UART,examples/bridge_forward/anenji-seplos-pylon-rs485-raw-capture.sr,10.000006,20,2.000,8,0.800,4,0,0.000,0,0,0,9469.731,9877.579,110927.388,153001.644,,,,
Anenji Pylon RS485 SeplosBMS,Direct cable,direct_anenji_seplos_pylon_rs485,RS485/UART,examples/direct/anenji-seplos-pylon-rs485-raw-capture.sr,25.000002,50,2.000,20,0.800,10,0,0.000,0,0,0,9887.208,12043.433,107676.065,151498.699,,,,
