frame_no,status,frame_type,can_id,rtr_type,dlc,start_sample,end_sample,start_us,end_us,duration_us,gap_from_previous_us,data_hex,summary,decoded,error
1,ok,standard,0x375,data,8,2419701,2465981,12098.505,12329.905,231.400,,30 30 3A 3A 30 31 00 00,Victron CAN v2026.07.03a 0x375 ASCII segment DLC=8 [30 30 3A 3A 30 31 00 00],0x375 ASCII '00::01' raw=30 30 3A 3A 30 31 00 00,
2,ok,standard,0x376,data,8,10430537,10476417,52152.685,52382.085,229.400,39822.780,30 30 3A 3A 30 33 00 00,Victron CAN v2026.07.03a 0x376 ASCII segment DLC=8 [30 30 3A 3A 30 33 00 00],0x376 ASCII '00::03' raw=30 30 3A 3A 30 33 00 00,
3,ok,standard,0x377,data,8,18420191,18466071,92100.955,92330.355,229.400,39718.870,30 30 3A 3A 30 34 00 00,Victron CAN v2026.07.03a 0x377 ASCII segment DLC=8 [30 30 3A 3A 30 34 00 00],0x377 ASCII '00::04' raw=30 30 3A 3A 30 34 00 00,
4,ok,standard,0x378,data,8,26431415,26479695,132157.075,132398.475,241.400,39826.720,00 00 00 00 08 00 00 00,Victron CAN v2026.07.03a 0x378 raw DLC=8 [00 00 00 00 08 00 00 00],0x378 raw raw=00 00 00 00 08 00 00 00,
5,ok,standard,0x379,data,8,34511049,34558929,172555.245,172794.645,239.400,40156.770,28 00 00 00 00 00 00 00,Victron CAN v2026.07.03a 0x379 raw DLC=8 [28 00 00 00 00 00 00 00],0x379 raw raw=28 00 00 00 00 00 00 00,
6,ok,standard,0x380,data,8,42421480,42466560,212107.400,212332.800,225.400,39312.755,34 30 39 30 34 34 39 30,Victron CAN v2026.07.03a 0x380 ASCII segment DLC=8 [34 30 39 30 34 34 39 30],0x380 ASCII '40904490' raw=34 30 39 30 34 34 39 30,
7,ok,standard,0x381,data,8,50468740,50516220,252343.700,252581.100,237.400,40010.900,38 30 39 00 30 30 30 00,Victron CAN v2026.07.03a 0x381 ASCII segment DLC=8 [38 30 39 00 30 30 30 00],0x381 ASCII '809 000' raw=38 30 39 00 30 30 30 00,
8,ok,standard,0x351,data,8,58421956,58467436,292109.780,292337.180,227.400,39528.680,9E 02 7C 20 B6 03 E3 00,Victron CAN v2026.07.03a 0x351 limits DLC=8 [9E 02 7C 20 B6 03 E3 00],0x351 limits chgV=67.0V chgI=831.6A disI=95.0A lowV=22.7V flags=charge=ON discharge=ON,
9,ok,standard,0x355,data,8,66422387,66467867,332111.935,332339.335,227.400,39774.755,63 00 64 00 8E 26 00 00,Victron CAN v2026.07.03a 0x355 SOC/SOH DLC=8 [63 00 64 00 8E 26 00 00],0x355 SOC=99% SOH=100% raw_tail=8E 26 00 00,
10,ok,standard,0x356,data,8,74430024,74475904,372150.120,372379.520,229.400,39810.785,52 16 00 00 33 01 00 00,Victron CAN v2026.07.03a 0x356 pack DLC=8 [52 16 00 00 33 01 00 00],0x356 pack V=57.14V I=+0.0A temp=30.7C raw_tail=00 00,
11,ok,standard,0x35A,data,8,82424059,82469139,412120.295,412345.695,225.400,39740.775,A8 A8 02 00 A8 A8 02 02,Victron CAN v2026.07.03a 0x35A vendor/raw DLC=8 [A8 A8 02 00 A8 A8 02 02],0x35A vendor/raw raw=A8 A8 02 00 A8 A8 02 02,
12,ok,standard,0x35E,data,8,90434103,90478783,452170.515,452393.915,223.400,39824.820,4A 4B 2D 42 4D 53 00 00,Victron CAN v2026.07.03a 0x35E manufacturer DLC=8 [4A 4B 2D 42 4D 53 00 00],0x35E ASCII 'JK-BMS' raw=4A 4B 2D 42 4D 53 00 00,
13,ok,standard,0x35F,data,8,98423732,98469612,492118.660,492348.060,229.400,39724.745,69 4C 0F 26 27 00 00 00,Victron CAN v2026.07.03a 0x35F battery/raw DLC=8 [69 4C 0F 26 27 00 00 00],"0x35F battery/raw raw=69 4C 0F 26 27 00 00 00 u16=[19561, 9743, 39, 0]",
