frame_no,status,type,slave,func,start_reg,count,byte_count,crc_ok,start_sample,end_sample,start_us,end_us,duration_us,gap_from_previous_us,raw_hex,summary,decoded,error
1,ok,request,0x01,0x03,0x0035,1,,true,4351445,6309760,21757.225,31548.800,9791.575,,01 03 00 35 00 01 94 04,Voltronic Modbus req slave=0x01 func=0x03 start=0x0035 total_capacity_lo count=1 order=classic crc=OK,read holding registers start=0x0035 total_capacity_lo count=1 classic poll-block,
2,ok,response,0x01,0x03,0x0035,1,2,true,27277059,28943729,136385.295,144718.645,8333.350,104836.495,01 03 00 02 0D 40 E1 6A,Voltronic Modbus rsp slave=0x01 func=0x03 regs=0x0035..0x0035 bytes=2 fmt=wide-byte-count order=classic crc=OK,response wide-byte-count regs 0x0035..0x0035: regs 0x0035..0x0035,
3,ok,request,0x01,0x03,0x0070,1,,true,54961933,56920247,274809.665,284601.235,9791.570,130091.020,01 03 00 70 00 01 85 D1,Voltronic Modbus req slave=0x01 func=0x03 start=0x0070 charge_voltage_limit count=1 order=classic crc=OK,read holding registers start=0x0070 charge_voltage_limit count=1 classic poll-block,
4,ok,response,0x01,0x03,0x0070,1,2,true,76814491,78481158,384072.455,392405.790,8333.335,99471.220,01 03 00 02 02 40 E4 9A,Voltronic Modbus rsp slave=0x01 func=0x03 regs=0x0070..0x0070 bytes=2 fmt=wide-byte-count order=classic crc=OK,response wide-byte-count regs 0x0070..0x0070: chg_v_limit=57.6V,
5,ok,request,0x01,0x03,0x0071,1,,true,106570010,108528326,532850.050,542641.630,9791.580,140444.260,01 03 00 71 00 01 D4 11,Voltronic Modbus req slave=0x01 func=0x03 start=0x0071 discharge_voltage_limit count=1 order=classic crc=OK,read holding registers start=0x0071 discharge_voltage_limit count=1 classic poll-block,
6,ok,response,0x01,0x03,0x0071,1,2,true,128413108,130079775,642065.540,650398.875,8333.335,99423.910,01 03 00 02 02 00 E5 6A,Voltronic Modbus rsp slave=0x01 func=0x03 regs=0x0071..0x0071 bytes=2 fmt=wide-byte-count order=classic crc=OK,response wide-byte-count regs 0x0071..0x0071: dsg_v_limit=51.2V,
7,ok,request,0x01,0x03,0x0072,1,,true,158153961,160112276,790769.805,800561.380,9791.575,140370.930,01 03 00 72 00 01 24 11,Voltronic Modbus req slave=0x01 func=0x03 start=0x0072 charge_current_limit count=1 order=classic crc=OK,read holding registers start=0x0072 charge_current_limit count=1 classic poll-block,
8,ok,response,0x01,0x03,0x0072,1,2,true,180013026,181679690,900065.130,908398.450,8333.320,99503.750,01 03 00 02 07 08 E7 FC,Voltronic Modbus rsp slave=0x01 func=0x03 regs=0x0072..0x0072 bytes=2 fmt=wide-byte-count order=classic crc=OK,response wide-byte-count regs 0x0072..0x0072: chg_i_limit=180.0A,
9,ok,request,0x01,0x03,0x0073,1,,true,209547622,211505937,1047738.110,1057529.685,9791.575,139339.660,01 03 00 73 00 01 75 D1,Voltronic Modbus req slave=0x01 func=0x03 start=0x0073 discharge_current_limit count=1 order=classic crc=OK,read holding registers start=0x0073 discharge_current_limit count=1 classic poll-block,
10,ok,response,0x01,0x03,0x0073,1,2,true,231413705,233080373,1157068.525,1165401.865,8333.340,99538.840,01 03 00 02 07 08 E7 FC,Voltronic Modbus rsp slave=0x01 func=0x03 regs=0x0073..0x0073 bytes=2 fmt=wide-byte-count order=classic crc=OK,response wide-byte-count regs 0x0073..0x0073: dsg_i_limit=180.0A,
11,ok,request,0x01,0x03,0x0074,1,,true,260964165,262922480,1304820.825,1314612.400,9791.575,139418.960,01 03 00 74 00 01 C4 10,Voltronic Modbus req slave=0x01 func=0x03 start=0x0074 charge_discharge_status count=1 order=classic crc=OK,read holding registers start=0x0074 charge_discharge_status count=1 classic poll-block,
12,ok,response,0x01,0x03,0x0074,1,2,true,282813094,284479759,1414065.470,1422398.795,8333.325,99453.070,01 03 00 02 00 C0 E4 5A,Voltronic Modbus rsp slave=0x01 func=0x03 regs=0x0074..0x0074 bytes=2 fmt=wide-byte-count order=classic crc=OK,"response wide-byte-count regs 0x0074..0x0074: status=0x00C0 (charge_enable, discharge_enable)",
13,ok,request,0x01,0x03,0x0001,1,,true,312557235,314515550,1562786.175,1572577.750,9791.575,140387.380,01 03 00 01 00 01 D5 CA,Voltronic Modbus req slave=0x01 func=0x03 start=0x0001 protocol_type count=1 order=classic crc=OK,read holding registers start=0x0001 protocol_type count=1 classic poll-block,
14,ok,response,0x01,0x03,0x0001,1,2,true,334413009,336079675,1672065.045,1680398.375,8333.330,99487.295,01 03 00 02 00 00 E4 0A,Voltronic Modbus rsp slave=0x01 func=0x03 regs=0x0001..0x0001 bytes=2 fmt=wide-byte-count order=classic crc=OK,response wide-byte-count regs 0x0001..0x0001: regs 0x0001..0x0001,
15,ok,request,0x01,0x03,0x0030,1,,true,364156576,366114890,1820782.880,1830574.450,9791.570,140384.505,01 03 00 30 00 01 84 05,Voltronic Modbus req slave=0x01 func=0x03 start=0x0030 charge_current count=1 order=classic crc=OK,read holding registers start=0x0030 charge_current count=1 classic poll-block,
16,ok,response,0x01,0x03,0x0030,1,2,true,386012922,387679593,1930064.610,1938397.965,8333.355,99490.160,01 03 00 02 00 00 E4 0A,Voltronic Modbus rsp slave=0x01 func=0x03 regs=0x0030..0x0030 bytes=2 fmt=wide-byte-count order=classic crc=OK,response wide-byte-count regs 0x0030..0x0030: charge_i=0.0A,
17,ok,request,0x01,0x03,0x0031,1,,true,415747419,417705734,2078737.095,2088528.670,9791.575,140339.130,01 03 00 31 00 01 D5 C5,Voltronic Modbus req slave=0x01 func=0x03 start=0x0031 discharge_current count=1 order=classic crc=OK,read holding registers start=0x0031 discharge_current count=1 classic poll-block,
18,ok,response,0x01,0x03,0x0031,1,2,true,437612840,439279507,2188064.200,2196397.535,8333.335,99535.530,01 03 00 02 00 00 E4 0A,Voltronic Modbus rsp slave=0x01 func=0x03 regs=0x0031..0x0031 bytes=2 fmt=wide-byte-count order=classic crc=OK,response wide-byte-count regs 0x0031..0x0031: discharge_i=0.0A,
19,ok,request,0x01,0x03,0x0032,1,,true,467365779,469324094,2336828.895,2346620.470,9791.575,140431.360,01 03 00 32 00 01 25 C5,Voltronic Modbus req slave=0x01 func=0x03 start=0x0032 pack_voltage count=1 order=classic crc=OK,read holding registers start=0x0032 pack_voltage count=1 classic poll-block,
20,ok,response,0x01,0x03,0x0032,1,2,true,489211422,490878089,2446057.110,2454390.445,8333.335,99436.640,01 03 00 02 02 30 E5 7E,Voltronic Modbus rsp slave=0x01 func=0x03 regs=0x0032..0x0032 bytes=2 fmt=wide-byte-count order=classic crc=OK,response wide-byte-count regs 0x0032..0x0032: pack_v=56.0V,
21,ok,request,0x01,0x03,0x0033,1,,true,518946533,520904850,2594732.665,2604524.250,9791.585,140342.220,01 03 00 33 00 01 74 05,Voltronic Modbus req slave=0x01 func=0x03 start=0x0033 soc count=1 order=classic crc=OK,read holding registers start=0x0033 soc count=1 classic poll-block,
22,ok,response,0x01,0x03,0x0033,1,2,true,540811338,542478005,2704056.690,2712390.025,8333.335,99532.440,01 03 00 02 00 46 65 F8,Voltronic Modbus rsp slave=0x01 func=0x03 regs=0x0033..0x0033 bytes=2 fmt=wide-byte-count order=classic crc=OK,response wide-byte-count regs 0x0033..0x0033: SOC=70%,
23,ok,request,0x01,0x03,0x0034,1,,true,570363325,572321640,2851816.625,2861608.200,9791.575,139426.600,01 03 00 34 00 01 C5 C4,Voltronic Modbus req slave=0x01 func=0x03 start=0x0034 total_capacity_hi count=1 order=classic crc=OK,read holding registers start=0x0034 total_capacity_hi count=1 classic poll-block,
24,ok,response,0x01,0x03,0x0034,1,2,true,592210722,593877390,2961053.610,2969386.950,8333.340,99445.410,01 03 00 02 00 03 A4 0B,Voltronic Modbus rsp slave=0x01 func=0x03 regs=0x0034..0x0034 bytes=2 fmt=wide-byte-count order=classic crc=OK,response wide-byte-count regs 0x0034..0x0034: regs 0x0034..0x0034,
25,ok,request,0x01,0x03,0x0035,1,,true,621962996,623921310,3109814.980,3119606.550,9791.570,140428.030,01 03 00 35 00 01 94 04,Voltronic Modbus req slave=0x01 func=0x03 start=0x0035 total_capacity_lo count=1 order=classic crc=OK,read holding registers start=0x0035 total_capacity_lo count=1 classic poll-block,
26,ok,response,0x01,0x03,0x0035,1,2,true,643810638,645477304,3219053.190,3227386.520,8333.330,99446.640,01 03 00 02 0D 40 E1 6A,Voltronic Modbus rsp slave=0x01 func=0x03 regs=0x0035..0x0035 bytes=2 fmt=wide-byte-count order=classic crc=OK,response wide-byte-count regs 0x0035..0x0035: regs 0x0035..0x0035,
27,ok,request,0x01,0x03,0x0070,1,,true,673551536,675509851,3367757.680,3377549.255,9791.575,140371.160,01 03 00 70 00 01 85 D1,Voltronic Modbus req slave=0x01 func=0x03 start=0x0070 charge_voltage_limit count=1 order=classic crc=OK,read holding registers start=0x0070 charge_voltage_limit count=1 classic poll-block,
28,ok,response,0x01,0x03,0x0070,1,2,true,695410554,697077220,3477052.770,3485386.100,8333.330,99503.515,01 03 00 02 02 40 E4 9A,Voltronic Modbus rsp slave=0x01 func=0x03 regs=0x0070..0x0070 bytes=2 fmt=wide-byte-count order=classic crc=OK,response wide-byte-count regs 0x0070..0x0070: chg_v_limit=57.6V,
29,ok,request,0x01,0x03,0x0071,1,,true,725160139,727118454,3625800.695,3635592.270,9791.575,140414.595,01 03 00 71 00 01 D4 11,Voltronic Modbus req slave=0x01 func=0x03 start=0x0071 discharge_voltage_limit count=1 order=classic crc=OK,read holding registers start=0x0071 discharge_voltage_limit count=1 classic poll-block,
30,ok,response,0x01,0x03,0x0071,1,2,true,747272166,748938832,3736360.830,3744694.160,8333.330,100768.560,01 03 00 02 02 00 E5 6A,Voltronic Modbus rsp slave=0x01 func=0x03 regs=0x0071..0x0071 bytes=2 fmt=wide-byte-count order=classic crc=OK,response wide-byte-count regs 0x0071..0x0071: dsg_v_limit=51.2V,
31,ok,request,0x01,0x03,0x0072,1,,true,776947849,778906164,3884739.245,3894530.820,9791.575,140045.085,01 03 00 72 00 01 24 11,Voltronic Modbus req slave=0x01 func=0x03 start=0x0072 charge_current_limit count=1 order=classic crc=OK,read holding registers start=0x0072 charge_current_limit count=1 classic poll-block,
32,ok,response,0x01,0x03,0x0072,1,2,true,798809584,800476248,3994047.920,4002381.240,8333.320,99517.100,01 03 00 02 07 08 E7 FC,Voltronic Modbus rsp slave=0x01 func=0x03 regs=0x0072..0x0072 bytes=2 fmt=wide-byte-count order=classic crc=OK,response wide-byte-count regs 0x0072..0x0072: chg_i_limit=180.0A,
33,ok,request,0x01,0x03,0x0073,1,,true,828359832,830318147,4141799.160,4151590.735,9791.575,139417.920,01 03 00 73 00 01 75 D1,Voltronic Modbus req slave=0x01 func=0x03 start=0x0073 discharge_current_limit count=1 order=classic crc=OK,read holding registers start=0x0073 discharge_current_limit count=1 classic poll-block,
34,ok,response,0x01,0x03,0x0073,1,2,true,850208967,851875632,4251044.835,4259378.160,8333.325,99454.100,01 03 00 02 07 08 E7 FC,Voltronic Modbus rsp slave=0x01 func=0x03 regs=0x0073..0x0073 bytes=2 fmt=wide-byte-count order=classic crc=OK,response wide-byte-count regs 0x0073..0x0073: dsg_i_limit=180.0A,
35,ok,request,0x01,0x03,0x0074,1,,true,879751648,881709962,4398758.240,4408549.810,9791.570,139380.080,01 03 00 74 00 01 C4 10,Voltronic Modbus req slave=0x01 func=0x03 start=0x0074 charge_discharge_status count=1 order=classic crc=OK,read holding registers start=0x0074 charge_discharge_status count=1 classic poll-block,
36,ok,response,0x01,0x03,0x0074,1,2,true,901608348,903275017,4508041.740,4516375.085,8333.345,99491.930,01 03 00 02 00 C0 E4 5A,Voltronic Modbus rsp slave=0x01 func=0x03 regs=0x0074..0x0074 bytes=2 fmt=wide-byte-count order=classic crc=OK,"response wide-byte-count regs 0x0074..0x0074: status=0x00C0 (charge_enable, discharge_enable)",
37,ok,request,0x01,0x03,0x0001,1,,true,931347253,933305568,4656736.265,4666527.840,9791.575,140361.180,01 03 00 01 00 01 D5 CA,Voltronic Modbus req slave=0x01 func=0x03 start=0x0001 protocol_type count=1 order=classic crc=OK,read holding registers start=0x0001 protocol_type count=1 classic poll-block,
38,ok,response,0x01,0x03,0x0001,1,2,true,953208266,954874935,4766041.330,4774374.675,8333.345,99513.490,01 03 00 02 00 00 E4 0A,Voltronic Modbus rsp slave=0x01 func=0x03 regs=0x0001..0x0001 bytes=2 fmt=wide-byte-count order=classic crc=OK,response wide-byte-count regs 0x0001..0x0001: regs 0x0001..0x0001,
39,ok,request,0x01,0x03,0x0030,1,,true,982961736,984920051,4914808.680,4924600.255,9791.575,140434.005,01 03 00 30 00 01 84 05,Voltronic Modbus req slave=0x01 func=0x03 start=0x0030 charge_current count=1 order=classic crc=OK,read holding registers start=0x0030 charge_current count=1 classic poll-block,
40,ok,response,0x01,0x03,0x0030,1,2,true,1004808182,1006474848,5024040.910,5032374.240,8333.330,99440.655,01 03 00 02 00 00 E4 0A,Voltronic Modbus rsp slave=0x01 func=0x03 regs=0x0030..0x0030 bytes=2 fmt=wide-byte-count order=classic crc=OK,response wide-byte-count regs 0x0030..0x0030: charge_i=0.0A,
41,ok,request,0x01,0x03,0x0031,1,,true,1034556539,1036514854,5172782.695,5182574.270,9791.575,140408.455,01 03 00 31 00 01 D5 C5,Voltronic Modbus req slave=0x01 func=0x03 start=0x0031 discharge_current count=1 order=classic crc=OK,read holding registers start=0x0031 discharge_current count=1 classic poll-block,
42,ok,response,0x01,0x03,0x0031,1,2,true,1056408098,1058074762,5282040.490,5290373.810,8333.320,99466.220,01 03 00 02 00 00 E4 0A,Voltronic Modbus rsp slave=0x01 func=0x03 regs=0x0031..0x0031 bytes=2 fmt=wide-byte-count order=classic crc=OK,response wide-byte-count regs 0x0031..0x0031: discharge_i=0.0A,
43,ok,request,0x01,0x03,0x0032,1,,true,1086148687,1088107002,5430743.435,5440535.010,9791.575,140369.625,01 03 00 32 00 01 25 C5,Voltronic Modbus req slave=0x01 func=0x03 start=0x0032 pack_voltage count=1 order=classic crc=OK,read holding registers start=0x0032 pack_voltage count=1 classic poll-block,
44,ok,response,0x01,0x03,0x0032,1,2,true,1108006711,1109673380,5540033.555,5548366.900,8333.345,99498.545,01 03 00 02 02 30 E5 7E,Voltronic Modbus rsp slave=0x01 func=0x03 regs=0x0032..0x0032 bytes=2 fmt=wide-byte-count order=classic crc=OK,response wide-byte-count regs 0x0032..0x0032: pack_v=56.0V,
45,ok,request,0x01,0x03,0x0033,1,,true,1137749663,1139707977,5688748.315,5698539.885,9791.570,140381.415,01 03 00 33 00 01 74 05,Voltronic Modbus req slave=0x01 func=0x03 start=0x0033 soc count=1 order=classic crc=OK,read holding registers start=0x0033 soc count=1 classic poll-block,
46,ok,response,0x01,0x03,0x0033,1,2,true,1159607929,1161274593,5798039.645,5806372.965,8333.320,99499.760,01 03 00 02 00 46 65 F8,Voltronic Modbus rsp slave=0x01 func=0x03 regs=0x0033..0x0033 bytes=2 fmt=wide-byte-count order=classic crc=OK,response wide-byte-count regs 0x0033..0x0033: SOC=70%,
47,ok,request,0x01,0x03,0x0034,1,,true,1189148348,1191106663,5945741.740,5955533.315,9791.575,139368.775,01 03 00 34 00 01 C5 C4,Voltronic Modbus req slave=0x01 func=0x03 start=0x0034 total_capacity_hi count=1 order=classic crc=OK,read holding registers start=0x0034 total_capacity_hi count=1 classic poll-block,
48,ok,response,0x01,0x03,0x0034,1,2,true,1211007312,1212673978,6055036.560,6063369.890,8333.330,99503.245,01 03 00 02 00 03 A4 0B,Voltronic Modbus rsp slave=0x01 func=0x03 regs=0x0034..0x0034 bytes=2 fmt=wide-byte-count order=classic crc=OK,response wide-byte-count regs 0x0034..0x0034: regs 0x0034..0x0034,
49,ok,request,0x01,0x03,0x0035,1,,true,1240747951,1242706265,6203739.755,6213531.325,9791.570,140369.865,01 03 00 35 00 01 94 04,Voltronic Modbus req slave=0x01 func=0x03 start=0x0035 total_capacity_lo count=1 order=classic crc=OK,read holding registers start=0x0035 total_capacity_lo count=1 classic poll-block,
50,ok,response,0x01,0x03,0x0035,1,2,true,1262607226,1264273893,6313036.130,6321369.465,8333.335,99504.805,01 03 00 02 0D 40 E1 6A,Voltronic Modbus rsp slave=0x01 func=0x03 regs=0x0035..0x0035 bytes=2 fmt=wide-byte-count order=classic crc=OK,response wide-byte-count regs 0x0035..0x0035: regs 0x0035..0x0035,
51,ok,request,0x01,0x03,0x0070,1,,true,1292350014,1294308329,6461750.070,6471541.645,9791.575,140380.605,01 03 00 70 00 01 85 D1,Voltronic Modbus req slave=0x01 func=0x03 start=0x0070 charge_voltage_limit count=1 order=classic crc=OK,read holding registers start=0x0070 charge_voltage_limit count=1 classic poll-block,
52,ok,response,0x01,0x03,0x0070,1,2,true,1314205809,1315872475,6571029.045,6579362.375,8333.330,99487.400,01 03 00 02 02 40 E4 9A,Voltronic Modbus rsp slave=0x01 func=0x03 regs=0x0070..0x0070 bytes=2 fmt=wide-byte-count order=classic crc=OK,response wide-byte-count regs 0x0070..0x0070: chg_v_limit=57.6V,
53,ok,request,0x01,0x03,0x0071,1,,true,1343767652,1345725967,6718838.260,6728629.835,9791.575,139475.885,01 03 00 71 00 01 D4 11,Voltronic Modbus req slave=0x01 func=0x03 start=0x0071 discharge_voltage_limit count=1 order=classic crc=OK,read holding registers start=0x0071 discharge_voltage_limit count=1 classic poll-block,
54,ok,response,0x01,0x03,0x0071,1,2,true,1365696359,1367363026,6828481.795,6836815.130,8333.335,99851.960,01 03 00 02 02 00 E5 6A,Voltronic Modbus rsp slave=0x01 func=0x03 regs=0x0071..0x0071 bytes=2 fmt=wide-byte-count order=classic crc=OK,response wide-byte-count regs 0x0071..0x0071: dsg_v_limit=51.2V,
55,ok,request,0x01,0x03,0x0072,1,,true,1395347207,1397305522,6976736.035,6986527.610,9791.575,139920.905,01 03 00 72 00 01 24 11,Voltronic Modbus req slave=0x01 func=0x03 start=0x0072 charge_current_limit count=1 order=classic crc=OK,read holding registers start=0x0072 charge_current_limit count=1 classic poll-block,
56,ok,response,0x01,0x03,0x0072,1,2,true,1417205110,1418871775,7086025.550,7094358.875,8333.325,99497.940,01 03 00 02 07 08 E7 FC,Voltronic Modbus rsp slave=0x01 func=0x03 regs=0x0072..0x0072 bytes=2 fmt=wide-byte-count order=classic crc=OK,response wide-byte-count regs 0x0072..0x0072: chg_i_limit=180.0A,
57,ok,request,0x01,0x03,0x0073,1,,true,1446761223,1448719538,7233806.115,7243597.690,9791.575,139447.240,01 03 00 73 00 01 75 D1,Voltronic Modbus req slave=0x01 func=0x03 start=0x0073 discharge_current_limit count=1 order=classic crc=OK,read holding registers start=0x0073 discharge_current_limit count=1 classic poll-block,
58,ok,response,0x01,0x03,0x0073,1,2,true,1469066755,1470733423,7345333.775,7353667.115,8333.340,101736.085,01 03 00 02 07 08 E7 FC,Voltronic Modbus rsp slave=0x01 func=0x03 regs=0x0073..0x0073 bytes=2 fmt=wide-byte-count order=classic crc=OK,response wide-byte-count regs 0x0073..0x0073: dsg_i_limit=180.0A,
59,ok,request,0x01,0x03,0x0074,1,,true,1498570473,1500528788,7492852.365,7502643.940,9791.575,139185.250,01 03 00 74 00 01 C4 10,Voltronic Modbus req slave=0x01 func=0x03 start=0x0074 charge_discharge_status count=1 order=classic crc=OK,read holding registers start=0x0074 charge_discharge_status count=1 classic poll-block,
60,ok,response,0x01,0x03,0x0074,1,2,true,1520403641,1522070307,7602018.205,7610351.535,8333.330,99374.265,01 03 00 02 00 C0 E4 5A,Voltronic Modbus rsp slave=0x01 func=0x03 regs=0x0074..0x0074 bytes=2 fmt=wide-byte-count order=classic crc=OK,"response wide-byte-count regs 0x0074..0x0074: status=0x00C0 (charge_enable, discharge_enable)",
61,ok,request,0x01,0x03,0x0001,1,,true,1550144959,1552103274,7750724.795,7760516.370,9791.575,140373.260,01 03 00 01 00 01 D5 CA,Voltronic Modbus req slave=0x01 func=0x03 start=0x0001 protocol_type count=1 order=classic crc=OK,read holding registers start=0x0001 protocol_type count=1 classic poll-block,
62,ok,response,0x01,0x03,0x0001,1,2,true,1572004857,1573671525,7860024.285,7868357.625,8333.340,99507.915,01 03 00 02 00 00 E4 0A,Voltronic Modbus rsp slave=0x01 func=0x03 regs=0x0001..0x0001 bytes=2 fmt=wide-byte-count order=classic crc=OK,response wide-byte-count regs 0x0001..0x0001: regs 0x0001..0x0001,
63,ok,request,0x01,0x03,0x0030,1,,true,1601760477,1603718792,8008802.385,8018593.960,9791.575,140444.760,01 03 00 30 00 01 84 05,Voltronic Modbus req slave=0x01 func=0x03 start=0x0030 charge_current count=1 order=classic crc=OK,read holding registers start=0x0030 charge_current count=1 classic poll-block,
64,ok,response,0x01,0x03,0x0030,1,2,true,1623603440,1625270108,8118017.200,8126350.540,8333.340,99423.240,01 03 00 02 00 00 E4 0A,Voltronic Modbus rsp slave=0x01 func=0x03 regs=0x0030..0x0030 bytes=2 fmt=wide-byte-count order=classic crc=OK,response wide-byte-count regs 0x0030..0x0030: charge_i=0.0A,
65,ok,request,0x01,0x03,0x0031,1,,true,1653347345,1655305660,8266736.725,8276528.300,9791.575,140386.185,01 03 00 31 00 01 D5 C5,Voltronic Modbus req slave=0x01 func=0x03 start=0x0031 discharge_current count=1 order=classic crc=OK,read holding registers start=0x0031 discharge_current count=1 classic poll-block,
