sequence_no,complete,status,request_frame_no,response_frame_no,slave,func,start_reg,count,request_start_us,request_end_us,response_start_us,response_end_us,request_to_response_us,full_exchange_us,request_summary,response_summary
1,true,complete,1,2,0x01,0x03,0x0035,1,21757.225,31548.800,136385.295,144718.645,104836.495,122961.420,Voltronic Modbus req slave=0x01 func=0x03 start=0x0035 total_capacity_lo count=1 order=classic crc=OK,Voltronic Modbus rsp slave=0x01 func=0x03 regs=0x0035..0x0035 bytes=2 fmt=wide-byte-count order=classic crc=OK
2,true,complete,3,4,0x01,0x03,0x0070,1,274809.665,284601.235,384072.455,392405.790,99471.220,117596.125,Voltronic Modbus req slave=0x01 func=0x03 start=0x0070 charge_voltage_limit count=1 order=classic crc=OK,Voltronic Modbus rsp slave=0x01 func=0x03 regs=0x0070..0x0070 bytes=2 fmt=wide-byte-count order=classic crc=OK
3,true,complete,5,6,0x01,0x03,0x0071,1,532850.050,542641.630,642065.540,650398.875,99423.910,117548.825,Voltronic Modbus req slave=0x01 func=0x03 start=0x0071 discharge_voltage_limit count=1 order=classic crc=OK,Voltronic Modbus rsp slave=0x01 func=0x03 regs=0x0071..0x0071 bytes=2 fmt=wide-byte-count order=classic crc=OK
4,true,complete,7,8,0x01,0x03,0x0072,1,790769.805,800561.380,900065.130,908398.450,99503.750,117628.645,Voltronic Modbus req slave=0x01 func=0x03 start=0x0072 charge_current_limit count=1 order=classic crc=OK,Voltronic Modbus rsp slave=0x01 func=0x03 regs=0x0072..0x0072 bytes=2 fmt=wide-byte-count order=classic crc=OK
5,true,complete,9,10,0x01,0x03,0x0073,1,1047738.110,1057529.685,1157068.525,1165401.865,99538.840,117663.755,Voltronic Modbus req slave=0x01 func=0x03 start=0x0073 discharge_current_limit count=1 order=classic crc=OK,Voltronic Modbus rsp slave=0x01 func=0x03 regs=0x0073..0x0073 bytes=2 fmt=wide-byte-count order=classic crc=OK
6,true,complete,11,12,0x01,0x03,0x0074,1,1304820.825,1314612.400,1414065.470,1422398.795,99453.070,117577.970,Voltronic Modbus req slave=0x01 func=0x03 start=0x0074 charge_discharge_status count=1 order=classic crc=OK,Voltronic Modbus rsp slave=0x01 func=0x03 regs=0x0074..0x0074 bytes=2 fmt=wide-byte-count order=classic crc=OK
7,true,complete,13,14,0x01,0x03,0x0001,1,1562786.175,1572577.750,1672065.045,1680398.375,99487.295,117612.200,Voltronic Modbus req slave=0x01 func=0x03 start=0x0001 protocol_type count=1 order=classic crc=OK,Voltronic Modbus rsp slave=0x01 func=0x03 regs=0x0001..0x0001 bytes=2 fmt=wide-byte-count order=classic crc=OK
8,true,complete,15,16,0x01,0x03,0x0030,1,1820782.880,1830574.450,1930064.610,1938397.965,99490.160,117615.085,Voltronic Modbus req slave=0x01 func=0x03 start=0x0030 charge_current count=1 order=classic crc=OK,Voltronic Modbus rsp slave=0x01 func=0x03 regs=0x0030..0x0030 bytes=2 fmt=wide-byte-count order=classic crc=OK
9,true,complete,17,18,0x01,0x03,0x0031,1,2078737.095,2088528.670,2188064.200,2196397.535,99535.530,117660.440,Voltronic Modbus req slave=0x01 func=0x03 start=0x0031 discharge_current count=1 order=classic crc=OK,Voltronic Modbus rsp slave=0x01 func=0x03 regs=0x0031..0x0031 bytes=2 fmt=wide-byte-count order=classic crc=OK
10,true,complete,19,20,0x01,0x03,0x0032,1,2336828.895,2346620.470,2446057.110,2454390.445,99436.640,117561.550,Voltronic Modbus req slave=0x01 func=0x03 start=0x0032 pack_voltage count=1 order=classic crc=OK,Voltronic Modbus rsp slave=0x01 func=0x03 regs=0x0032..0x0032 bytes=2 fmt=wide-byte-count order=classic crc=OK
