frame_no,status,type,slave,func,start_reg,count,byte_count,crc_ok,start_sample,end_sample,start_us,end_us,duration_us,gap_from_previous_us,raw_hex,summary,decoded,error
1,ok,request,0x01,0x03,0x000F,22,,true,16504224,18462538,82521.120,92312.690,9791.570,,01 03 00 0F 00 16 F4 07,WOW Modbus req slave=0x01 func=0x03 start=0x000F count=22 crc=OK,read holding registers start=0x000F count=22 poll-block,
2,ok,response,0x01,0x03,0x000F,22,44,true,19367056,29575856,96835.280,147879.280,51044.000,4522.590,01 03 2C 0D F2 0D ED 0D EF 0D EE 0D EF 0D F1 0D EE 0D EE 0D EF 0D EF 0D EF 0D F1 0D F2 0D F3 0D F2 0D F1 01 3D 01 3B 01 39 01 40 01 28 01 3C B9 70,WOW Modbus rsp slave=0x01 func=0x03 regs=0x000F..0x0024 bytes=44 crc=OK,"response regs 0x000F..0x0024: cells count=16 C01=3.570V C02=3.565V C03=3.567V C04=3.566V C05=3.567V C06=3.569V C07=3.566V C08=3.566V C09=3.567V C10=3.567V C11=3.567V C12=3.569V C13=3.570V C14=3.571V C15=3.570V C16=3.569V min=3.565V#2 max=3.571V#14, temp1=31.7C, temp2=31.5C, temp3=31.3C, temp4=32.0C, mos_temp=29.6C, env_temp=31.6C",
3,ok,request,0x01,0x03,0x0000,13,,true,67500576,69458891,337502.880,347294.455,9791.575,189623.600,01 03 00 00 00 0D 84 0F,WOW Modbus req slave=0x01 func=0x03 start=0x0000 count=13 crc=OK,read holding registers start=0x0000 count=13 poll-block,
4,ok,response,0x01,0x03,0x0000,13,26,true,70369434,76828061,351847.170,384140.305,32293.135,4552.715,01 03 1A 00 00 16 4C 00 57 00 64 01 B0 01 F4 01 F4 00 00 00 00 00 00 00 00 0C 00 00 00 AD 7C,WOW Modbus rsp slave=0x01 func=0x03 regs=0x0000..0x000C bytes=26 crc=OK,"response regs 0x0000..0x000C: pack_i=+0.00A, pack_v=57.08V, SOC=87% raw=0x0057, SOH=100% raw=0x0064, remain=4.32Ah, full=5.00Ah, design=5.00Ah, cycles=0, warning=0x0000 (none), protection=0x0000 (none), status=0x0C00 (charge MOS, discharge MOS), balance=0x0000 (none)",
5,ok,request,0x01,0x03,0x000F,22,,true,118901914,120860229,594509.570,604301.145,9791.575,210369.265,01 03 00 0F 00 16 F4 07,WOW Modbus req slave=0x01 func=0x03 start=0x000F count=22 crc=OK,read holding registers start=0x000F count=22 poll-block,
6,ok,response,0x01,0x03,0x000F,22,44,true,121788498,131997297,608942.490,659986.485,51043.995,4641.345,01 03 2C 0D F2 0D ED 0D EF 0D EE 0D F1 0D F1 0D EE 0D EE 0D EF 0D EF 0D EF 0D F1 0D F2 0D F3 0D F2 0D F2 01 3D 01 3B 01 39 01 40 01 28 01 3C EA B0,WOW Modbus rsp slave=0x01 func=0x03 regs=0x000F..0x0024 bytes=44 crc=OK,"response regs 0x000F..0x0024: cells count=16 C01=3.570V C02=3.565V C03=3.567V C04=3.566V C05=3.569V C06=3.569V C07=3.566V C08=3.566V C09=3.567V C10=3.567V C11=3.567V C12=3.569V C13=3.570V C14=3.571V C15=3.570V C16=3.570V min=3.565V#2 max=3.571V#14, temp1=31.7C, temp2=31.5C, temp3=31.3C, temp4=32.0C, mos_temp=29.6C, env_temp=31.6C",
7,ok,request,0x01,0x03,0x0000,13,,true,169925275,171883589,849626.375,859417.945,9791.570,189639.890,01 03 00 00 00 0D 84 0F,WOW Modbus req slave=0x01 func=0x03 start=0x0000 count=13 crc=OK,read holding registers start=0x0000 count=13 poll-block,
8,ok,response,0x01,0x03,0x0000,13,26,true,172853380,179312005,864266.900,896560.025,32293.125,4848.955,01 03 1A 00 00 16 4C 00 57 00 64 01 B0 01 F4 01 F4 00 00 00 00 00 00 00 00 0C 00 00 00 AD 7C,WOW Modbus rsp slave=0x01 func=0x03 regs=0x0000..0x000C bytes=26 crc=OK,"response regs 0x0000..0x000C: pack_i=+0.00A, pack_v=57.08V, SOC=87% raw=0x0057, SOH=100% raw=0x0064, remain=4.32Ah, full=5.00Ah, design=5.00Ah, cycles=0, warning=0x0000 (none), protection=0x0000 (none), status=0x0C00 (charge MOS, discharge MOS), balance=0x0000 (none)",
9,ok,request,0x01,0x03,0x000F,22,,true,221318295,223276609,1106591.475,1116383.045,9791.570,210031.450,01 03 00 0F 00 16 F4 07,WOW Modbus req slave=0x01 func=0x03 start=0x000F count=22 crc=OK,read holding registers start=0x000F count=22 poll-block,
10,ok,response,0x01,0x03,0x000F,22,44,true,224209940,234418738,1121049.700,1172093.690,51043.990,4666.655,01 03 2C 0D F1 0D EE 0D EF 0D EF 0D F1 0D F1 0D F1 0D F1 0D EF 0D EF 0D EF 0D F1 0D F2 0D F2 0D F2 0D F1 01 3D 01 3B 01 39 01 40 01 29 01 3C 8E 2F,WOW Modbus rsp slave=0x01 func=0x03 regs=0x000F..0x0024 bytes=44 crc=OK,"response regs 0x000F..0x0024: cells count=16 C01=3.569V C02=3.566V C03=3.567V C04=3.567V C05=3.569V C06=3.569V C07=3.569V C08=3.569V C09=3.567V C10=3.567V C11=3.567V C12=3.569V C13=3.570V C14=3.570V C15=3.570V C16=3.569V min=3.566V#2 max=3.570V#13, temp1=31.7C, temp2=31.5C, temp3=31.3C, temp4=32.0C, mos_temp=29.7C, env_temp=31.6C",
11,ok,request,0x01,0x03,0x0000,13,,true,272507555,274465870,1362537.775,1372329.350,9791.575,190444.085,01 03 00 00 00 0D 84 0F,WOW Modbus req slave=0x01 func=0x03 start=0x0000 count=13 crc=OK,read holding registers start=0x0000 count=13 poll-block,
12,ok,response,0x01,0x03,0x0000,13,26,true,275483163,281941788,1377415.815,1409708.940,32293.125,5086.465,01 03 1A 00 00 16 4D 00 57 00 64 01 B0 01 F4 01 F4 00 00 00 00 00 00 00 00 0C 00 00 00 60 E0,WOW Modbus rsp slave=0x01 func=0x03 regs=0x0000..0x000C bytes=26 crc=OK,"response regs 0x0000..0x000C: pack_i=+0.00A, pack_v=57.09V, SOC=87% raw=0x0057, SOH=100% raw=0x0064, remain=4.32Ah, full=5.00Ah, design=5.00Ah, cycles=0, warning=0x0000 (none), protection=0x0000 (none), status=0x0C00 (charge MOS, discharge MOS), balance=0x0000 (none)",
13,ok,request,0x01,0x03,0x000F,22,,true,323901033,325859347,1619505.165,1629296.735,9791.570,209796.225,01 03 00 0F 00 16 F4 07,WOW Modbus req slave=0x01 func=0x03 start=0x000F count=22 crc=OK,read holding registers start=0x000F count=22 poll-block,
14,ok,response,0x01,0x03,0x000F,22,44,true,326798056,337006856,1633990.280,1685034.280,51044.000,4693.545,01 03 2C 0D F1 0D ED 0D EF 0D EF 0D F1 0D F2 0D F1 0D F1 0D F2 0D F1 0D EF 0D F1 0D F2 0D F3 0D F2 0D F2 01 3E 01 3B 01 39 01 40 01 29 01 3C 6A 06,WOW Modbus rsp slave=0x01 func=0x03 regs=0x000F..0x0024 bytes=44 crc=OK,"response regs 0x000F..0x0024: cells count=16 C01=3.569V C02=3.565V C03=3.567V C04=3.567V C05=3.569V C06=3.570V C07=3.569V C08=3.569V C09=3.570V C10=3.569V C11=3.567V C12=3.569V C13=3.570V C14=3.571V C15=3.570V C16=3.570V min=3.565V#2 max=3.571V#14, temp1=31.8C, temp2=31.5C, temp3=31.3C, temp4=32.0C, mos_temp=29.7C, env_temp=31.6C",
15,ok,request,0x01,0x03,0x0000,13,,true,374934406,376892720,1874672.030,1884463.600,9791.570,189637.750,01 03 00 00 00 0D 84 0F,WOW Modbus req slave=0x01 func=0x03 start=0x0000 count=13 crc=OK,read holding registers start=0x0000 count=13 poll-block,
16,ok,response,0x01,0x03,0x0000,13,26,true,377779600,384238225,1888898.000,1921191.125,32293.125,4434.400,01 03 1A 00 00 16 4D 00 57 00 64 01 B0 01 F4 01 F4 00 00 00 00 00 00 00 00 0C 00 00 00 60 E0,WOW Modbus rsp slave=0x01 func=0x03 regs=0x0000..0x000C bytes=26 crc=OK,"response regs 0x0000..0x000C: pack_i=+0.00A, pack_v=57.09V, SOC=87% raw=0x0057, SOH=100% raw=0x0064, remain=4.32Ah, full=5.00Ah, design=5.00Ah, cycles=0, warning=0x0000 (none), protection=0x0000 (none), status=0x0C00 (charge MOS, discharge MOS), balance=0x0000 (none)",
17,ok,request,0x01,0x03,0x000F,22,,true,426318756,428277070,2131593.780,2141385.350,9791.570,210402.655,01 03 00 0F 00 16 F4 07,WOW Modbus req slave=0x01 func=0x03 start=0x000F count=22 crc=OK,read holding registers start=0x000F count=22 poll-block,
