sequence_no,complete,status,request_frame_no,response_frame_no,slave,func,start_reg,count,request_start_us,request_end_us,response_start_us,response_end_us,request_to_response_us,full_exchange_us,request_summary,response_summary
1,true,complete,1,2,0x01,0x03,0x000F,22,82521.120,92312.690,96835.280,147879.280,4522.590,65358.160,WOW Modbus req slave=0x01 func=0x03 start=0x000F count=22 crc=OK,WOW Modbus rsp slave=0x01 func=0x03 regs=0x000F..0x0024 bytes=44 crc=OK
2,true,complete,3,4,0x01,0x03,0x0000,13,337502.880,347294.455,351847.170,384140.305,4552.715,46637.425,WOW Modbus req slave=0x01 func=0x03 start=0x0000 count=13 crc=OK,WOW Modbus rsp slave=0x01 func=0x03 regs=0x0000..0x000C bytes=26 crc=OK
3,true,complete,5,6,0x01,0x03,0x000F,22,594509.570,604301.145,608942.490,659986.485,4641.345,65476.915,WOW Modbus req slave=0x01 func=0x03 start=0x000F count=22 crc=OK,WOW Modbus rsp slave=0x01 func=0x03 regs=0x000F..0x0024 bytes=44 crc=OK
4,true,complete,7,8,0x01,0x03,0x0000,13,849626.375,859417.945,864266.900,896560.025,4848.955,46933.650,WOW Modbus req slave=0x01 func=0x03 start=0x0000 count=13 crc=OK,WOW Modbus rsp slave=0x01 func=0x03 regs=0x0000..0x000C bytes=26 crc=OK
5,true,complete,9,10,0x01,0x03,0x000F,22,1106591.475,1116383.045,1121049.700,1172093.690,4666.655,65502.215,WOW Modbus req slave=0x01 func=0x03 start=0x000F count=22 crc=OK,WOW Modbus rsp slave=0x01 func=0x03 regs=0x000F..0x0024 bytes=44 crc=OK
6,true,complete,11,12,0x01,0x03,0x0000,13,1362537.775,1372329.350,1377415.815,1409708.940,5086.465,47171.165,WOW Modbus req slave=0x01 func=0x03 start=0x0000 count=13 crc=OK,WOW Modbus rsp slave=0x01 func=0x03 regs=0x0000..0x000C bytes=26 crc=OK
7,true,complete,13,14,0x01,0x03,0x000F,22,1619505.165,1629296.735,1633990.280,1685034.280,4693.545,65529.115,WOW Modbus req slave=0x01 func=0x03 start=0x000F count=22 crc=OK,WOW Modbus rsp slave=0x01 func=0x03 regs=0x000F..0x0024 bytes=44 crc=OK
8,true,complete,15,16,0x01,0x03,0x0000,13,1874672.030,1884463.600,1888898.000,1921191.125,4434.400,46519.095,WOW Modbus req slave=0x01 func=0x03 start=0x0000 count=13 crc=OK,WOW Modbus rsp slave=0x01 func=0x03 regs=0x0000..0x000C bytes=26 crc=OK
9,true,complete,17,18,0x01,0x03,0x000F,22,2131593.780,2141385.350,2145993.315,2197037.310,4607.965,65443.530,WOW Modbus req slave=0x01 func=0x03 start=0x000F count=22 crc=OK,WOW Modbus rsp slave=0x01 func=0x03 regs=0x000F..0x0024 bytes=44 crc=OK
10,true,complete,19,20,0x01,0x03,0x0000,13,2387529.885,2397321.455,2401942.750,2434235.875,4621.295,46705.990,WOW Modbus req slave=0x01 func=0x03 start=0x0000 count=13 crc=OK,WOW Modbus rsp slave=0x01 func=0x03 regs=0x0000..0x000C bytes=26 crc=OK
11,true,complete,21,22,0x01,0x03,0x000F,22,2643509.785,2653301.355,2657996.355,2709040.355,4695.000,65530.570,WOW Modbus req slave=0x01 func=0x03 start=0x000F count=22 crc=OK,WOW Modbus rsp slave=0x01 func=0x03 regs=0x000F..0x0024 bytes=44 crc=OK
12,true,complete,23,24,0x01,0x03,0x0000,13,2899510.085,2909301.655,2914049.965,2946343.080,4748.310,46832.995,WOW Modbus req slave=0x01 func=0x03 start=0x0000 count=13 crc=OK,WOW Modbus rsp slave=0x01 func=0x03 regs=0x0000..0x000C bytes=26 crc=OK
13,true,complete,25,26,0x01,0x03,0x000F,22,3155575.300,3165366.870,3169999.400,3221043.385,4632.530,65468.085,WOW Modbus req slave=0x01 func=0x03 start=0x000F count=22 crc=OK,WOW Modbus rsp slave=0x01 func=0x03 regs=0x000F..0x0024 bytes=44 crc=OK
14,true,complete,27,28,0x01,0x03,0x0000,13,3411542.150,3421333.725,3426053.000,3458346.115,4719.275,46803.965,WOW Modbus req slave=0x01 func=0x03 start=0x0000 count=13 crc=OK,WOW Modbus rsp slave=0x01 func=0x03 regs=0x0000..0x000C bytes=26 crc=OK
